Date,0239.KL,0321.KL,5606.KL,5227.KL,1015.KL,6262.KL,1066.KL,6491.KL,4863.KL,5246.KL,5235SS.KL,5027.KL,5053.KL,7161.KL,3301.KL,0828EA.KL,0393.KL,0827EA.KL,5309.KL,5299.KL,1929.KL,2038.KL,5285.KL,2593.KL,5878.KL
2023-09-29,0.3524999916553497,,1.1104873418807983,1.4390373229980469,3.1316285133361816,0.9765772819519044,4.47379732131958,1.4736789464950562,4.293126583099365,2.846804618835449,5.789566516876221,1.5526002645492554,0.7162414193153381,1.0903334617614746,7.179756164550781,2.7699999809265137,,2.049999952316284,1.7814139127731323,0.3969549238681793,6.682494163513184,2.8880743980407715,3.871184825897217,4.654519557952881,1.0752813816070557
2023-10-31,0.3524999916553497,,1.1261274814605713,1.4783871173858645,3.233194828033448,0.9609518647193908,4.59738302230835,1.4573047161102295,4.44207239151001,2.961381673812866,5.849164962768555,1.6110318899154663,0.6927577257156372,1.1658180952072144,7.268593788146973,2.994999885559082,,1.934999942779541,1.7617298364639282,0.3929453194141388,6.63015079498291,2.783686637878418,3.925454616546631,4.599761009216309,1.2073333263397217
2023-11-30,0.3524999916553497,,1.2251851558685305,1.495780110359192,3.351688861846924,1.007827639579773,4.490274906158447,1.5064274072647097,4.6173014640808105,3.0847725868225098,5.968361854553223,1.6967250108718872,0.7103703022003174,1.1993669271469116,7.543186187744141,2.9749999046325684,,2.150000095367432,1.732203722000122,0.3929453194141388,6.665045738220215,2.8706765174865723,4.109993934631348,4.517622470855713,1.2639272212982178
2023-12-29,0.3625000119209289,,1.186875820159912,1.495780110359192,3.445174217224121,1.045228362083435,4.490274906158447,1.5146143436431885,4.862623691558838,3.216977596282959,6.112884521484375,1.7310022115707395,0.727982759475708,1.3180686235427856,7.602031230926514,3.0,,2.240000009536743,1.7617298364639282,0.3889356851577759,6.63015079498291,2.808957815170288,4.116338729858398,4.618014335632324,1.371657371520996
2024-01-31,0.387499988079071,,1.2839840650558472,1.53056538105011,3.642777681350708,1.156932353973389,4.613861083984375,1.5228015184402466,5.186798572540283,3.349181652069092,6.35429573059082,1.7729960680007937,0.892366349697113,1.462631106376648,7.635047435760498,3.049999952316284,,2.345000028610229,1.968413233757019,0.4089838862419128,6.612562656402588,2.889726400375366,4.079420566558838,4.590634822845459,1.533589005470276
2024-02-29,0.4199999868869781,,1.2839840650558472,1.5279158353805542,3.728692054748535,1.1728899478912354,4.613861083984375,1.5637370347976685,5.3006978034973145,3.4001541137695312,6.626420974731445,1.859907507896424,0.827787458896637,1.4796388149261477,8.501728057861328,3.059999942779541,,2.400000095367432,2.234149217605591,0.406907856464386,6.64801836013794,3.024341106414795,3.9963552951812735,4.572198390960693,1.5716906785964966
2024-03-29,0.4300000071525574,,1.310957670211792,1.536747932434082,3.599820375442505,1.1794698238372805,4.671534538269043,1.6537952423095703,5.387001037597656,3.463286638259888,6.556114673614502,1.8859809637069704,0.8630124926567078,1.5392600297927856,8.88303279876709,3.259999990463257,,2.5299999713897705,2.275599718093872,0.3944514989852905,6.736658573150635,3.5807480812072754,3.977895975112915,4.701251983642578,1.839893341064453
2024-04-30,0.4424999952316284,,1.3433271646499634,1.6428070068359375,3.608411312103272,1.1794698238372805,4.7385759353637695,1.7111047506332395,5.566867828369141,3.526419878005981,6.626420974731445,1.972123384475708,0.8809511661529541,1.547858953475952,9.24666690826416,3.4600000381469727,,2.490000009536743,2.226130247116089,0.4149554371833801,6.718930244445801,3.499979019165039,4.125567436218262,4.67359733581543,1.935721516609192
2024-05-31,0.4449999928474426,,1.3433271646499634,1.6248526573181152,3.651368379592896,1.1794698238372805,4.729960441589356,1.7929760217666626,5.584854602813721,3.652685642242432,6.6791510581970215,1.93658983707428,0.9473239779472352,1.5822559595108032,10.44145965576172,3.4800000190734863,,2.640000104904175,2.25581169128418,0.4107212424278259,6.64801836013794,3.3743391036987305,3.976216316223145,4.692033767700195,1.820728182792664
2024-06-28,0.4325000047683716,,1.3595123291015625,1.651784062385559,3.831617593765259,1.164760947227478,4.747191905975342,1.768414855003357,6.079487323760986,3.760913133621216,6.581321716308594,1.954356551170349,0.9593923091888428,1.5769920349121094,9.932337760925291,3.400000095367432,,2.755000114440918,2.532841444015503,0.4064868986606598,6.488466262817383,3.419354200363159,3.948148488998413,4.682816028594971,1.85896098613739
