Date,ZWACK.BD,OTP.BD,ANY.BD,VIG.BD,VVT.BD,EON.BD,NAP.BD,SAP.BD,DELTA.BD,BASF.BD,AKKO.BD,BAYER.BD,DMKER.BD,OPUS.BD,AMIXA.BD,CHOME.BD,UBM.BD,GRNT.BD
2023-09-29,15526.6923828125,12096.82421875,1457.5936279296875,10577.052734375,129.10345458984375,,927.9366455078124,48560.0546875,37.70000076293945,16519.25390625,225.0,17851.46875,33.5,330.54107666015625,364.3921508789063,150.0,1370.0,
2023-10-31,15657.169921875,12233.25390625,1532.1298828125,10577.052734375,130.0965576171875,,909.1143188476562,48995.01171875,37.5,16559.236328125,222.0,15547.537109375,33.70000076293945,342.68341064453125,367.0980529785156,120.0,1460.0,
2023-11-30,15613.67578125,13201.9091796875,1755.7379150390625,10577.052734375,197.6275787353516,4528.7578125,922.2899169921876,54394.4609375,36.59999847412109,16193.38671875,237.0,11925.6455078125,30.5,346.7308349609375,386.9411926269531,102.0,1450.0,
2023-12-29,15874.6279296875,14370.6640625,2062.163818359375,10996.935546875,197.6275787353516,4650.72412109375,909.1143188476562,52744.6328125,35.099998474121094,18652.3828125,240.0,12949.61328125,30.5,343.58282470703125,351.76470947265625,150.0,1470.0,
2024-01-31,16744.47265625,14961.861328125,2136.69970703125,11096.9072265625,178.7586212158203,4998.62890625,1105.8067626953125,61993.6875,38.29999923706055,17530.83984375,264.0,11137.66796875,30.700000762939453,378.2109680175781,528.5490112304688,80.0,1480.0,
2024-02-29,17744.791015625,15839.564453125,2327.180908203125,9897.2412109375,178.7586212158203,4580.74365234375,964.6399536132812,65293.3515625,35.29999923706055,18442.46875,250.0,11105.66796875,29.200000762939453,380.4595336914063,405.8823547363281,100.0,1480.0,
2024-03-28,18440.666015625,15280.1982421875,2815.80615234375,11476.8017578125,178.7586212158203,4992.63037109375,964.6399536132812,70972.7734375,38.20000076293945,20821.494140625,255.0,11263.6650390625,29.0,362.4709167480469,421.2156982421875,100.0,1450.0,
2024-04-30,20876.2265625,16553.548828125,3031.13232421875,11556.779296875,178.7586212158203,4922.64990234375,988.167724609375,65993.2890625,37.400001525878906,19175.421875,245.0,10789.7890625,30.200000762939453,339.985107421875,423.9215698242188,100.0,1430.0,
2024-05-31,20441.302734375,16230.2099609375,3519.7578125,11798.11328125,173.79310607910156,4763.181640625,1251.67919921875,64805.5625,72.19999694824219,18917.482421875,275.0,10907.787109375,31.799999237060547,342.2336730957031,396.8627624511719,100.0,1480.0,
2024-06-28,21485.115234375,17181.896484375,3577.72998046875,11658.1357421875,158.89654541015625,4801.17529296875,1270.50146484375,64805.5625,80.19999694824219,17995.701171875,280.0,10439.7958984375,34.599998474121094,400.5506896972656,420.313720703125,98.0,1500.0,
2024-07-31,22891.71484375,17481.93359375,3773.655029296875,11658.1357421875,208.55172729492188,5111.1220703125,1345.7904052734375,75734.8125,78.80000305175781,16995.94140625,277.0,11037.7841796875,36.59999847412109,403.78466796875,423.9215698242188,98.0,1460.0,
2024-08-30,22156.23828125,17149.078125,3773.655029296875,11658.1357421875,214.5103454589844,4904.15771484375,1204.6236572265625,77814.671875,72.5999984741211,16746.0,268.0,10855.787109375,33.79999923706055,415.7965698242188,378.8235168457031,96.0,1500.0,
2024-09-30,22064.3046875,17495.998046875,3738.38720703125,11218.2060546875,228.41378784179688,5199.10693359375,1082.2789306640625,76214.78125,70.0,18763.51953125,308.0,12129.7626953125,35.0,469.38812255859375,369.8039245605469,91.0,1430.0,
2024-10-31,22340.107421875,17514.751953125,3729.5703125,11218.2060546875,228.41378784179688,5023.13671875,1082.2789306640625,84844.1875,72.0,18495.58203125,323.0,10199.7998046875,32.0,484.1719970703125,348.1568603515625,75.0,1480.0,
2024-11-29,22523.9765625,19849.42578125,3817.73974609375,12438.0107421875,228.41378784179688,4964.14697265625,1138.7457275390625,90493.8046875,68.5999984741211,17391.845703125,340.0,7914.84521484375,32.79999923706055,463.84417724609375,395.058837890625,75.0,1470.0,
2024-12-30,23075.583984375,20336.990234375,3667.8515625,11538.154296875,248.2758636474609,4647.20166015625,1110.5123291015625,97993.2890625,62.59999847412109,17501.8203125,341.0,7935.8447265625,34.0,466.61614990234375,362.5882263183594,57.0,1260.0,16000.0
2025-01-31,24638.470703125,22831.05859375,4055.79736328125,13117.9013671875,295.94482421875,4664.19873046875,1110.5123291015625,109842.4765625,70.0,19495.34375,340.0,8901.826171875,34.0,500.8038635253906,377.0196228027344,46.0,1400.0,14500.0
2025-02-28,25649.75390625,22305.9921875,4293.85498046875,13817.7890625,295.94482421875,4895.15869140625,1157.80517578125,125991.3671875,69.0,19965.232421875,337.0,9194.8193359375,32.79999923706055,545.155517578125,348.1568603515625,51.0,1380.0,14288.0
2025-03-31,28315.85546875,23440.51171875,5448.8759765625,16277.396484375,291.972412109375,5589.0400390625,1061.3214111328125,99113.2109375,58.400001525878906,18295.630859375,337.0,8843.8271484375,31.200000762939453,507.2718200683594,351.76470947265625,51.0,1280.0,14500.0
2025-04-30,27948.1171875,24640.666015625,5448.8759765625,16717.326171875,297.9310302734375,6114.94921875,1032.3763427734375,97053.359375,54.0,17895.7265625,323.0,9329.9267578125,29.89999961853028,508.19580078125,306.6666564941406,49.0,1200.0,13350.0
2025-05-30,27948.1171875,26238.814453125,6789.05224609375,17498.68359375,295.94482421875,6299.49560546875,1157.80517578125,105245.125,56.70000076293945,17298.04296875,291.0,10033.921875,29.299999237060547,524.8276977539062,297.6470642089844,47.0,1390.0,11950.0
2025-06-30,30338.41796875,26355.517578125,7353.3369140625,17258.701171875,293.9586181640625,6259.4990234375,1157.80517578125,102035.2734375,61.400001525878906,16598.123046875,293.0,10499.91796875,29.5,567.0606689453125,308.4705810546875,45.0,1380.0,12200.0
2025-07-31,32137.138671875,27717.05859375,7500.1865234375,18598.6015625,288.0,6351.49169921875,1167.45361328125,100195.359375,61.0,17697.998046875,305.0,11541.91015625,32.20000076293945,545.214111328125,294.0392150878906,44.0,1290.0,12000.0
2025-08-29,29930.708984375,28718.76171875,7369.5859375,18298.623046875,316.0,6167.50634765625,1254.2889404296875,92195.7265625,57.79999923706055,18332.927734375,294.0,11289.912109375,35.400001525878906,550.9132080078125,268.7843017578125,32.0,1330.0,12600.0
2025-09-30,31177.8203125,27901.837890625,7052.4140625,17858.65625,316.0,6251.49951171875,1138.5084228515625,89995.828125,50.0,16453.138671875,268.0,10983.9140625,37.400001525878906,533.81591796875,380.62744140625,45.0,1220.0,14450.0
2025-10-31,31849.34375,31208.43359375,6530.01318359375,17418.689453125,310.0,6349.49169921875,1379.7178955078125,92345.7265625,50.0,16598.123046875,263.0,10371.9189453125,37.0,519.5681762695312,331.92156982421875,60.0,1100.0,13750.0
2025-11-28,31465.615234375,33270.1953125,6641.9560546875,18698.59375,298.0,5835.53271484375,1399.0146484375,80236.28125,64.9000015258789,17103.06640625,264.0,11657.9091796875,36.79999923706055,511.9693603515625,288.62744140625,60.0,1160.0,12850.0
2025-12-30,33000.5234375,34135.74609375,6623.298828125,25498.08203125,298.0,6249.49951171875,1437.608154296875,79656.3125,52.400001525878906,17208.0546875,249.0,14169.8896484375,32.0,521.4678344726562,243.5294189453125,48.0,1180.0,12500.0
2026-01-30,33863.91015625,39426.30078125,7145.7001953125,25598.07421875,290.0,6807.455078125,1456.9049072265625,64996.98828125,55.59999847412109,17483.0234375,270.0,17221.865234375,31.0,522.417724609375,259.76470947265625,56.0,1180.0,12450.0
2026-02-27,34151.70703125,38230.08984375,7015.099609375,24798.134765625,288.0,7403.4072265625,1500.0,64077.03125,52.900001525878906,18197.94140625,255.0,15799.876953125,32.900001525878906,515.7687377929688,252.5490264892578,46.0,1100.0,10700.0
2026-03-31,33576.11328125,34446.953125,6343.44140625,23348.244140625,270.0,7389.408203125,1390.0,56887.3671875,47.0,20207.71484375,229.0,15077.8818359375,31.5,445.0049133300781,202.03921508789065,42.79999923706055,925.0,9200.0
2026-04-30,34631.36328125,40457.1796875,6884.49951171875,23098.26171875,288.0,6810.0,1400.0,53407.52734375,52.5,19901.75,250.0,13695.0,32.599998474121094,311.5509338378906,306.6666564941406,38.400001525878906,1020.0,9080.0
2026-05-28,35015.08984375,40460.0,7453.54345703125,22500.0,258.0,6500.0,1400.0,53500.0,53.0,18152.0,234.0,13370.0,29.200000762939453,316.3001708984375,246.0,20.0,1000.0,8700.0
2026-06-30,35974.41015625,45950.0,7350.9287109375,23050.0,278.0,6410.0,1410.0,49100.0,49.900001525878906,16680.0,234.0,17000.0,30.600000381469727,359.0,240.0,15.0,930.0,8780.0
2026-07-31,37700.0,46820.0,6720.0,23950.0,220.0,6814.0,1470.0,57280.0,50.09999847412109,18494.0,238.0,16965.0,30.0,358.0,232.0,18.0,950.0,9060.0
2026-08-31,39900.0,45240.0,6650.0,26500.0,308.0,6482.0,1420.0,69420.0,50.59999847412109,19406.0,248.0,17850.0,34.79999923706055,319.5,226.0,26.0,900.0,8720.0
