Date,NN.AS,ASRNL.AS,VLK.AS,ABN.AS,INGA.AS,SPYY.AS,SBMO.AS,GOLD.AS,NRP.AS,MICC.AS,MORE.AS,AGN.AS,FFARM.AS,AMZY.AS,BNPNL.AS,ADPT.AS,VTA.AS,NVDY.AS,KPN.AS,THEON.AS,AAPY.AS,ECMPA.AS,NEDAP.AS,HAL.AS,QQQY.AS
2023-09-29,25.13142204284668,29.877025604248047,20.304298400878903,10.880861282348633,10.35334014892578,,10.84699535369873,73.73100280761719,4.317598819732666,,0.3300000131130218,3.848152875900269,2.1236391067504883,,181.49899291992188,,3.971059799194336,,2.728250741958618,,,16.947370529174805,50.57610321044922,104.00192260742188,
2023-10-31,24.982812881469727,29.60786437988281,20.224515914916992,10.269622802734377,9.922706604003906,,10.253596305847168,79.10700225830078,4.159154891967773,,0.3179999887943268,3.849832773208618,1.9823485612869265,,178.1088409423828,,3.879420518875122,,2.7772350311279297,,,16.31849479675293,49.36366653442383,99.33396911621094,
2023-11-30,28.80536460876465,35.55467224121094,23.05674362182617,9.970074653625488,10.623929977416992,,10.65501308441162,81.0479965209961,4.39682149887085,,0.3799999952316284,4.221042633056641,2.063697338104248,,194.9755249023437,,3.925239562988281,,2.7527432441711426,,,17.28599739074707,53.0009880065918,108.6698760986328,
2023-12-29,29.515384674072266,35.91635513305664,24.0596981048584,11.002299308776855,11.15850830078125,,10.86444854736328,82.04900360107422,4.832541942596436,,0.4199999868869781,4.407487869262695,2.038008451461792,,203.6423492431641,,4.076486110687256,,2.7273764610290527,,,17.898746490478516,55.42586517333984,106.24253845214844,
2024-01-31,31.40602302551269,36.765899658203125,23.88875961303711,11.058971405029297,10.881318092346191,,10.340860366821287,81.48799896240234,4.674098014831543,,0.4099999964237213,4.588893413543701,2.0422897338867188,,212.81349182128903,,3.998092412948608,,2.753618001937866,,,17.269174575805664,55.07945251464844,107.7362823486328,
2024-02-29,34.06446838378906,35.857479095458984,26.88019561767578,12.022380828857422,10.46883487701416,,11.466575622558594,81.26100158691406,5.149429798126221,,0.3899999856948852,4.657760620117188,2.0765419006347656,,219.0427703857422,,4.045129299163818,,2.959176540374756,11.570685386657717,,16.43143081665039,58.02396011352539,106.615966796875,
2024-03-28,35.35240936279297,38.17900466918945,26.92293167114257,12.831968307495115,12.5774507522583,,12.906441688537598,88.19499969482422,5.113224983215332,,0.5,4.745103359222412,2.222114086151123,,,,4.17360782623291,,3.031778812408448,12.15915584564209,,17.53460121154785,58.5435676574707,121.36669158935548,
2024-04-30,35.78998565673828,39.50799560546875,28.50411605834961,12.94226360321045,12.885095596313477,,12.83421516418457,91.33399963378906,5.113224983215332,,0.5199999809265137,4.918110370635986,2.196347951889038,,228.84896850585932,,4.149435997009277,,3.070085525512696,10.708237648010254,,17.750255584716797,56.52711486816406,115.7651596069336,
2024-05-31,37.04973602294922,38.852787017822266,33.799530029296875,13.42255973815918,14.18730354309082,,13.018218994140623,92.47699737548828,5.360639572143555,,0.5849999785423279,4.9920172691345215,2.486774206161499,,238.64584350585932,,4.189721584320068,,3.1025161743164062,13.264707565307615,,19.077381134033203,56.7088737487793,110.92208099365234,
2024-06-28,37.62119674682617,38.94903945922852,33.70964050292969,13.165258407592772,13.838777542114258,,13.156221389770508,92.49400329589844,5.525581359863281,,0.5600000023841858,4.981677532196045,2.4459328651428223,,242.0441131591797,,4.310579776763916,,3.225030899047852,12.328944206237791,,19.54031181335449,55.25479888916016,108.05340576171876,
