Date,VFQS.QA,DHBK.QA,QIIK.QA,SIIS.QA,MHAR.QA,ORDS.QA,ABQK.QA,QIBK.QA,QNBK.QA,MCCS.QA,QAMC.QA,MERS.QA,QISI.QA,NLCS.QA,MCGS.QA,DBIS.QA,QIGD.QA,ZHCD.QA,AHCS.QA,ERES.QA,QCFS.QA,IQCD.QA,QGMD.QA,QNCD.QA,QFLS.QA
2023-09-28,1.52519690990448,1.4003067016601562,8.3732328414917,0.5542915463447571,,9.11522102355957,3.0383670330047607,16.570390701293945,13.556674003601074,3.9348220825195312,1.1592761278152466,11.927581787109377,7.454444885253906,0.6808895468711853,5.02984094619751,1.5190000534057615,1.3600105047225952,11.964347839355469,0.7371904253959656,1.0049999952316284,2.8228461742401123,11.467716217041016,1.7769999504089355,2.8898186683654785,13.74924373626709
2023-10-31,1.5074127912521362,1.3055167198181152,8.067959785461426,0.4952889680862427,1.4014742374420166,8.433073043823242,3.0711257457733154,15.53474235534668,13.107720375061035,3.101362466812134,1.0369826555252075,11.0922212600708,7.320130825042725,0.5933960676193237,4.674282550811768,1.3669999837875366,1.222659707069397,11.704253196716309,0.7205158472061157,0.8320000171661377,2.7408926486968994,10.221406936645508,1.5,2.827871322631836,12.37431812286377
2023-11-30,1.5582244396209717,1.387380838394165,8.748283386230469,0.5484743118286133,1.2711822986602783,8.774147033691406,3.0711257457733154,16.963226318359375,13.82076644897461,3.163191318511963,1.0579233169555664,11.316131591796877,7.3872880935668945,0.6306458115577698,4.813036918640137,1.3209999799728394,1.3012592792510986,11.366130828857422,0.7319247126579285,0.8740000128746033,2.7499985694885254,10.455612182617188,1.508999943733215,2.977510929107666,13.265935897827148
2023-12-31,1.6149641275405884,1.5769609212875366,9.32394313812256,0.5675878524780273,1.2377740144729614,9.720629692077637,2.9662981033325195,19.19522857666016,14.551417350769045,3.463270425796509,1.1726782321929932,11.875908851623535,7.470394611358643,0.6315119862556458,4.76013708114624,1.3200000524520874,1.3044350147247314,11.704253196716309,0.7415785193443298,0.8579999804496765,2.6407270431518555,10.940752029418944,1.4509999752044678,3.175421714782715,13.815905570983888
2024-01-31,1.6073423624038696,1.4683831930160522,9.105890274047852,0.5385020971298218,1.1517479419708252,9.123748779296877,3.275867462158203,17.409626007080078,13.653509140014648,3.2390353679656982,1.0721629858016968,11.11805534362793,7.472074031829834,0.667895495891571,4.193846702575684,1.2389999628067017,1.3623921871185305,11.877650260925291,0.7600082159042358,0.8130000233650208,2.7773165702819824,10.037386894226074,1.225000023841858,3.436084508895874,13.082612991333008
2024-02-29,1.555760622024536,1.4218499660491943,9.95193576812744,0.5542915463447571,1.3680661916732788,9.695048332214355,3.3024051189422607,18.64094352722168,14.02072525024414,3.4426605701446533,1.1231660842895508,11.161115646362305,7.723073482513428,0.6527783870697021,4.011731147766113,1.3899999856948853,1.5045065879821775,12.033706665039062,0.6924323439598083,0.8640000224113464,2.6498332023620605,10.790191650390623,1.4859999418258667,3.2852237224578857,13.208003997802734
2024-03-31,1.571048378944397,1.3458220958709717,9.53327465057373,0.5472148656845093,1.362715482711792,9.498773574829102,3.599447011947632,17.57706642150879,13.072508811950684,3.431118965148926,1.1620484590530396,11.290294647216797,7.177845001220703,0.6166634559631348,3.709941148757935,1.2350000143051147,1.422277569770813,11.842970848083496,0.6687370538711548,0.8009999990463257,2.715146064758301,10.666913032531738,1.315000057220459,3.140427350997925,13.040254592895508
2024-04-30,1.5917320251464844,1.3485318422317505,9.151216506958008,0.5506947636604309,1.499877691268921,8.95214557647705,3.249986171722412,16.92949104309082,12.768710136413574,3.3827240467071533,1.2486497163772583,12.049139976501465,7.5102925300598145,0.6256921291351318,3.706310272216797,1.284999966621399,1.3653866052627563,12.10306453704834,0.6871667504310608,0.8109999895095825,2.799119472503662,10.916430473327637,1.3899999856948853,3.0970754623413086,12.766558647155762
2024-05-30,1.508098602294922,1.237433671951294,9.12392520904541,0.5611344575881958,1.450000524520874,8.445843696594238,3.0359411239624023,15.911870956420898,12.428088188171388,3.451132774353028,1.1929773092269895,12.02160930633545,7.179622173309326,0.6401380896568298,3.6367595195770255,1.2100000381469729,1.3205631971359253,11.3847017288208,0.6661041975021362,0.7860000133514404,2.715146064758301,10.292634963989258,1.7389999628067017,3.047653913497925,11.874841690063477
2024-06-30,1.5314799547195437,1.3151119947433472,9.205795288085938,0.5915836095809937,1.4134833812713623,9.122406005859377,3.232513189315796,17.20702362060547,13.486776351928713,3.3581671714782715,1.1779545545578003,13.132002830505373,7.120066642761231,0.6356238126754761,3.9177072048187256,1.253999948501587,1.3334931135177612,11.411981582641602,0.6669818162918091,0.7649999856948853,2.705815553665161,11.477846145629885,1.906999945640564,3.1248209476470947,13.08439826965332
2024-07-31,1.5197893381118774,1.3394994735717771,9.699448585510254,0.5915836095809937,1.733231544494629,9.36435604095459,3.3006579875946045,18.46293830871582,14.388758659362791,3.3783390522003174,1.1487929821014404,13.434836387634276,7.333402156829834,0.6419438719749451,3.779521226882935,1.218999981880188,1.3472847938537598,12.43951416015625,0.6968204379081726,0.7630000114440918,2.521073579788208,11.664986610412598,1.8480000495910645,3.208923816680908,13.01376724243164
2024-08-29,1.6178112030029297,1.411758303642273,10.13652801513672,0.6089831590652466,2.0485265254974365,9.875140190124512,3.249986171722412,18.312986373901367,14.906341552734377,3.370445489883423,1.1528242826461792,13.177885055541992,7.147622585296631,0.6536812782287598,3.871034860610962,1.190999984741211,1.258500337600708,12.575912475585938,0.693310022354126,0.734000027179718,2.4846854209899902,11.773429870605469,1.7899999618530271,3.0866708755493164,13.198689460754396
2024-09-30,1.6906530857086182,1.5445340871810913,10.220224380493164,0.6246426701545715,2.0707931518554688,10.50241756439209,3.276195764541626,20.00932502746582,15.950915336608888,3.5783028602600098,1.1818033456802368,13.765201568603516,7.381402015686035,0.7448716163635254,4.272780895233154,1.2339999675750732,1.299013614654541,12.503166198730469,0.7608857750892639,0.9290000200271606,2.4846854209899902,11.901203155517578,1.7350000143051147,3.1976523399353027,13.833678245544434
2024-10-31,1.6726675033569336,1.6195026636123655,9.75524616241455,0.6072432398796082,2.272083282470703,10.251505851745604,3.228144645690918,19.21270179748535,16.32733917236328,3.3581671714782715,1.161880373954773,13.5816650390625,7.533404350280762,0.7394543290138245,4.368870258331299,1.2020000219345093,1.2757399082183838,12.484979629516602,0.7696618437767029,1.2050000429153442,2.4846854209899902,12.184130668640137,1.4520000219345093,3.1872477531433105,13.906248092651367
