Date,PLAN.SW,ELMN.SW,DHL.SW,LUKN.SW,IREN.SW,VAHN.SW,OFN.SW,EPIC.SW,SLHN.SW,GALD.SW,VATN.SW,CFT.SW,SDZ.SW,HBAN.SW,MOBN.SW,VZN.SW,BAS.SW,HIAG.SW,SGKN.SW,CMBN.SW,CFTE.SW,ACLN.SW,ZURN.SW,ISN.SW,C.SW
2023-09-29,277.76177978515625,1004.6268310546876,,67.56693267822266,87.10794830322266,389.7091064453125,63.46534729003906,56.14225387573242,498.7156372070313,,82.77103424072266,105.8846664428711,,113.41100311279295,225.72381591796875,90.06673431396484,52.56856155395508,71.53829193115234,446.8468933105469,53.32819747924805,117.0,22.28678131103516,357.1053161621094,107.46466827392578,
2023-10-31,280.5486755371094,1014.5736694335938,,64.66861724853516,88.41925811767578,373.8026123046875,61.5315055847168,56.85291290283203,507.6150512695313,,86.3470230102539,105.43022918701172,22.608905792236328,107.58147430419922,230.78076171875,84.12515258789062,52.56856155395508,70.63273620605469,441.4793701171875,53.45659637451172,116.5,20.90204620361328,366.0308227539063,106.9326629638672,
2023-11-30,276.832763671875,1014.5736694335938,,64.57805633544922,88.04459381103516,385.2906494140625,65.0475845336914,57.741241455078125,489.1182556152344,,82.16049194335938,105.8846664428711,23.90903854370117,105.72661590576172,238.1363220214844,89.21794128417969,52.56856155395508,71.90050506591797,432.0862121582031,56.195762634277344,116.0,23.521818161010746,372.2361755371094,108.52867126464844,
2023-12-29,278.69073486328125,994.6800537109376,,65.2120590209961,91.41651153564452,388.825439453125,66.10240936279297,58.27423858642578,509.5345458984375,,83.2071304321289,107.24799346923828,25.86879539489746,102.3702163696289,239.9752197265625,92.61312103271484,52.56856155395508,72.26272583007812,439.6902160644531,56.15296173095703,119.0,24.56972885131836,373.6812744140625,109.06067657470705,
2024-01-31,286.1224670410156,994.6800537109376,,65.1214828491211,92.54048919677734,387.9417114257813,64.87178802490234,60.40622329711914,542.1657104492188,,90.1846694946289,108.61131286621094,28.488176345825195,110.4962387084961,234.91827392578125,96.00831604003906,52.56856155395508,68.64053344726562,447.294189453125,57.137351989746094,122.5,25.97317695617676,373.2562255859375,109.94734954833984,
2024-02-29,281.4776306152344,994.6800537109376,,64.12519836425781,88.04459381103516,397.6623840332031,65.22339630126953,61.47220993041992,559.7899780273438,,89.48690795898438,107.70243072509766,26.25118637084961,110.31958770751952,238.1363220214844,104.68489837646484,52.56856155395508,64.29390716552734,446.8468933105469,64.32767486572266,120.0,27.88187026977539,399.522705078125,109.06067657470705,
2024-03-28,286.1224670410156,994.6800537109376,,64.03460693359375,91.04186248779295,396.7786865234375,67.68465423583984,63.604190826416016,551.5885620117188,63.10667037963867,92.2779312133789,124.9711685180664,26.012191772460938,109.78962707519533,247.3485717773437,103.74179077148438,52.56856155395508,71.71939086914062,434.7699890136719,64.62726593017578,138.0,31.605688095092773,413.3785095214844,114.91272735595705,
2024-04-30,287.05145263671875,996.63427734375,,63.76290130615234,94.72605895996094,395.0112915039063,70.32171630859375,65.55852508544922,541.8167114257812,68.23689270019531,93.6734390258789,131.78778076171875,29.778751373291016,106.25657653808594,245.4385528564453,102.27532196044922,55.75740051269531,69.9652099609375,423.5875854492188,63.707706451416016,146.5,33.55180740356445,399.74261474609375,114.26454162597656,
2024-05-31,284.1904602050781,996.63427734375,,64.32634735107422,92.9967803955078,404.07427978515625,71.32000732421875,66.77193450927734,576.45947265625,72.98857116699219,94.54595184326172,136.25747680664062,31.100147247314453,112.45518493652344,245.4385528564453,107.8609848022461,55.75740051269531,69.39945983886719,404.5536193847656,66.15103912353516,146.0,34.8469123840332,426.2901306152344,111.11624145507812,
2024-06-28,288.005126953125,1026.5333251953125,,62.072566986083984,97.0317611694336,423.581298828125,70.2114028930664,66.77193450927734,606.5771484375,73.67591857910156,93.4444580078125,133.89190673828125,31.56577491760254,112.82662963867188,243.051010131836,110.9427261352539,55.75740051269531,69.21087646484375,403.1553955078125,69.40882110595703,144.0,33.698116302490234,431.149658203125,109.44950103759766,
2024-07-31,297.5417175292969,1026.5333251953125,,62.729923248291016,104.71745300292967,418.00787353515625,71.50477600097656,65.84454345703125,618.6976928710938,68.82462310791016,91.51680755615234,135.78436279296875,37.02721405029297,121.8341827392578,251.1686248779297,114.21707916259766,55.75740051269531,70.3423843383789,404.5536193847656,69.45407104492188,145.5,41.64397430419922,434.8393249511719,108.52352905273438,
