Date,NBGRY,TRUH,PZLV,ZINC,RWIN,WIMA,SMCP,VPX,TISC,VLNT,JAN,PZIV,AHD,JATT,SWKHL,MCVT,SAZ,MITN,PDPA,EIIA,TRTN-PA,BNY,FXLG,GLOP-PC,WAMA
2023-09-29,,,,,,,,,,,,,,,,,19.448692321777344,,,,19.34291076660156,39.61364364624024,24.13064193725586,,
2023-10-31,,,,,,,,,,,,,,,19.01559257507324,,19.42536735534668,,,,19.67842102050781,39.87449264526367,22.4915771484375,,
2023-11-30,,,,,,,,,,,,,,,19.099899291992188,,20.03953742980957,,,,20.02174186706543,45.334957122802734,22.855812072753903,,
2023-12-29,,,,,,,,,,,,,,,19.65060806274414,,20.25399208068848,,,,20.03817749023437,48.83452987670898,23.415958404541016,,
2024-01-31,,,,,,,,,,,,,,,19.72892951965332,,20.26987648010254,,,,20.396709442138672,52.43693542480469,24.79336929321289,,
2024-02-29,,,,,,,,,,,,,,,19.65844345092773,,20.560503005981445,19.66488075256348,,,20.59590148925781,53.03258895874024,25.06885528564453,,
2024-03-28,,,,,,,,,,,,,,,20.05870056152344,,20.519948959350582,19.90085792541504,,,20.566452026367188,54.47919464111328,25.686080932617188,,
2024-04-30,,,,,,,,,,,,,,,20.130765914916992,,20.59294891357422,20.27806854248047,,,20.78199958801269,53.80071640014648,25.713850021362305,,
2024-05-31,,,,,,,,,,,,,,,20.19482612609864,,20.861082077026367,20.269975662231445,,,20.960947036743164,56.77219009399414,26.65798568725586,,
2024-06-28,,,,,,,,,,,,,,,20.39127922058105,,20.885929107666016,20.32661819458008,,,21.316850662231445,57.03886032104492,27.342947006225582,20.32475471496582,
2024-07-31,,,,,,,,,,,,,,,20.57144546508789,,21.130279541015625,20.59364891052246,,,21.5045223236084,62.44038391113281,27.815019607543945,20.308687210083008,
2024-08-30,,,,,,,,,,,,,,,20.96043586730957,,21.443941116333008,20.8123779296875,,,21.82340240478516,65.46308898925781,27.87055778503418,20.65412712097168,
2024-09-30,,,,,,,,,,,,,,,21.34868431091309,,21.75692749023437,21.14792823791504,,,21.86564445495605,68.95598602294922,28.609861373901367,20.92506980895996,
2024-10-31,,,,,,,,,,,,,,,21.273334503173828,,21.58182716369629,21.127216339111328,,21.190895080566406,21.823266983032227,72.76058197021484,29.07887077331543,20.8342342376709,
2024-11-29,,,,,,,,,,,,,,,21.357053756713867,,21.989961624145508,21.245973587036133,,21.621734619140625,21.950395584106445,79.04602813720703,29.547889709472656,21.22276306152344,
2024-12-31,,,,,,,,,,,,,,,21.57193756103516,,22.05128669738769,21.300264358520508,21.56821060180664,21.73330879211425,22.06200408935547,74.17988586425781,30.03909111022949,21.49326705932617,
