Date,2887G.TW,2887H.TW,8112A.TW,2891B.TW,1522A.TW,2836A.TW,2883B.TW,2838.TW,2937.TWO,2832.TW,6592A.TW,2597.TW,7867.TWO,3045.TW,8349A.TWO,6592B.TW,2412.TW,2891C.TW,2348A.TW,6023.TWO,2852.TW,1240.TWO,6183.TW,2812.TW,1472.TW
2023-09-28,,,35.7900276184082,51.711463928222656,39.71820831298828,18.946887969970703,5.76321268081665,10.368168830871582,22.427324295043945,25.70570373535156,83.11776733398438,52.68462753295898,,83.7934341430664,36.79705047607422,83.2962875366211,103.44795989990234,52.648738861083984,29.65897750854492,42.961036682128906,13.908801078796388,34.46403121948242,60.5621452331543,11.38939094543457,36.90100860595703
2023-10-31,,,35.26754379272461,52.11498260498047,39.58596420288086,18.856666564941406,5.76321268081665,10.290213584899902,21.1059684753418,26.586414337158203,81.8902816772461,52.160404205322266,,84.85636901855469,36.05411529541016,83.1171646118164,103.44795989990234,53.66575241088867,29.39689445495605,43.18172454833984,13.99183750152588,32.84219741821289,59.753448486328125,11.428263664245604,41.61270523071289
2023-11-30,,,35.96419143676758,52.55965042114258,39.67412567138672,18.992000579833984,6.215912342071533,10.83590602874756,22.070201873779297,27.46712112426757,83.55614471435547,57.66476821899414,,87.15934753417969,36.31632995605469,84.01282501220703,106.56922912597656,53.39333724975586,29.61529541015625,44.064483642578125,15.154363632202148,35.09065246582031,60.20272445678711,12.283440589904783,49.671043395996094
2023-12-29,,,36.74791717529297,52.826454162597656,39.89453887939453,19.082225799560547,6.154971599578857,11.22568702697754,22.855871200561523,29.283586502075195,83.90685272216797,60.285892486572266,,87.33649444580078,37.36518096923828,84.998046875,107.01512908935548,53.75655746459961,28.82904815673828,44.65299224853516,15.40347671508789,35.238094329833984,60.11286926269531,12.36118221282959,54.25064086914063
2024-01-31,,,36.74791717529297,53.62685394287109,39.806373596191406,19.082225799560547,6.242029666900635,11.03079605102539,23.534404754638672,28.733139038085938,84.95897674560547,61.85857391357422,,86.80504608154297,37.97700500488281,84.55021667480469,106.12334442138672,53.84736251831055,28.523286819458008,44.57942962646485,15.237401962280272,35.12751007080078,60.20272445678711,12.205696105957031,55.39554214477539
2024-02-29,,,36.704376220703125,53.62685394287109,39.85045623779297,18.946887969970703,6.285557746887207,11.069772720336914,24.07008934020996,29.22854232788086,85.22201538085938,63.95547103881836,,87.69081115722656,38.28291702270508,84.3710708618164,107.46102905273438,53.84736251831055,28.741687774658203,51.200138092041016,15.278922080993652,36.71248626708984,62.718658447265625,12.944257736206056,62.1768684387207
2024-03-29,,,37.18331527709961,53.53791809082031,39.89453887939453,19.037113189697266,6.572848320007324,11.888313293457031,25.712854385375977,29.06340980529785,85.66039276123047,80.99279022216797,,90.79098510742188,38.85104751586914,84.81890106201172,113.25768280029295,53.03011703491211,29.877376556396484,59.586368560791016,16.39992904663086,37.74456787109375,67.12153625488281,13.332975387573242,63.40983963012695
2024-04-30,,,37.444557189941406,53.4489860534668,40.423526763916016,18.90178108215332,6.642494201660156,12.005248069763184,25.462867736816406,31.705537796020508,85.83575439453125,91.7394027709961,,92.11964416503906,39.5142822265625,84.998046875,110.5822982788086,52.66689682006836,29.17849349975586,60.17486953735352,17.562456130981445,38.62920379638672,66.6722640991211,13.7605619430542,71.33606719970703
2024-05-31,,,37.70579528808594,53.62685394287109,40.37944030761719,19.037113189697266,6.555437088012695,12.16115951538086,24.28436279296875,30.87986946105957,86.88787841796875,96.45742797851562,,93.4482879638672,40.426849365234375,85.625,114.14947509765624,53.39333724975586,29.440574645996094,68.266845703125,20.925477981567383,40.10359954833984,66.49256134033203,14.53799533843994,65.611572265625
2024-06-28,,,38.04192733764648,53.62685394287109,40.82026672363281,19.398006439208984,6.616376876831055,12.745830535888672,25.07003402709961,31.320226669311523,86.88787841796875,95.6710968017578,,94.77693939208984,41.15690612792969,85.625,111.91999053955078,53.30253219604492,29.52793312072754,71.41343688964844,20.38573455810547,40.02988052368164,67.39110565185547,14.227022171020508,61.51787567138672
