Date,1WFRD.MI,CE.MI,1STT.MI,1UQA.MI,UNI.MI,1CABK.MI,BPE.MI,BMED.MI,BAMI.MI,1CSX.MI,ISP.MI,PST.MI,1ACX.MI,G.MI,UCG.MI,1LOG.MI,1IBE.MI,BMPS.MI,1CFG.MI,1DBK.MI,1SAB.MI,1SANX.MI,1HOT.MI,1BBVA.MI,EQUI.MI
2023-09-29,,6.409142971038818,,,4.433787822723389,,2.384619951248169,6.4771599769592285,3.3965675830841064,,1.913267016410828,8.292093276977539,,16.867177963256836,19.5107421875,,,1.867225170135498,,9.533092498779297,,3.25158953666687,,6.437325954437256,2.770247220993042
2023-10-31,,6.302048683166504,,,4.425131320953369,,2.5261988639831543,6.160577297210693,3.612269639968872,,1.926205039024353,7.769676208496094,,16.327150344848633,20.27898406982422,,,1.9723777770996087,,9.39445686340332,,3.173535823822021,,6.331769943237305,2.809821844100952
2023-11-30,,6.722185134887695,,,4.553245544433594,,2.823350429534912,6.752942562103272,3.800260543823242,,2.188671588897705,8.411581993103027,,16.553611755371094,21.44636917114257,,,2.412315845489502,,10.426935195922852,,3.489786386489868,90.7917709350586,7.298910140991211,2.9381532669067383
2023-12-29,,6.623329639434815,,,4.468413352966309,3.043780565261841,2.490804433822632,7.057262897491455,3.5808136463165283,,2.190328598022461,8.75141716003418,,16.64071273803711,21.08585357666016,,,2.3551008701324463,,10.857437133789062,0.8043620586395264,3.470480442047119,91.7513198852539,7.0335893630981445,3.037192106246948
2024-01-31,,6.944610595703125,,,4.986063480377197,3.043780565261841,2.761615514755249,7.8511433601379395,3.7523272037506095,,2.372199773788452,8.572556495666504,,18.021270751953125,23.31332015991211,,,2.529839038848877,,10.937701225280762,0.8438422679901123,3.4235942363739014,99.97604370117188,7.429003238677978,3.045445203781128
2024-02-29,,7.282368183135986,,,6.433406829833984,3.41059947013855,3.0505356788635254,8.231544494628906,4.024951457977295,,2.434342861175537,9.23263931274414,,19.09261703491211,26.532207489013672,,9.566356658935549,2.922613382339477,,11.29158878326416,0.8836914300918579,3.5394299030303955,93.39627075195312,7.86036491394043,3.0289385318756104
2024-03-28,,7.636601448059082,,,6.722529411315918,4.314783573150635,3.60532808303833,8.418436050415039,4.619631290435791,,2.786485433578491,9.884204864501951,,20.43397521972656,30.193153381347656,,10.335803031921388,3.2473480701446533,,13.3985013961792,1.0630125999450684,4.157221794128418,100.34159088134766,9.43603229522705,3.251776218414306
2024-04-30,,8.17206859588623,,,7.2886552810668945,4.4016642570495605,4.025949478149414,8.781076431274414,5.076503753662109,,2.9215428829193115,10.152496337890623,,19.946208953857425,31.281206130981445,,10.326804161071776,3.517960786819458,,13.79069709777832,1.352378249168396,4.3067402839660645,97.32453918457033,9.134819984436035,3.334308624267578
2024-05-31,,8.279842376708984,,,8.534830093383789,4.664966583251953,4.302700042724609,9.100232124328612,5.421286582946777,,3.1133882999420166,10.73166561126709,,21.670818328857425,32.91400909423828,,10.848800659179688,4.0088090896606445,,14.242382049560549,1.457391619682312,4.507402896881104,94.65026092529295,8.82869815826416,3.349964141845703
2024-06-28,,8.012751579284668,,,8.376860618591309,4.445104598999023,4.119458198547363,8.89321231842041,4.936949729919434,,2.996830463409424,10.606446266174316,,21.38615798950196,31.303815841674805,,10.929829597473145,3.558426856994629,,13.93072509765625,1.3365696668624878,4.205001831054688,93.21761322021484,8.19161319732666,3.323928117752075
2024-07-31,,8.71925163269043,,,8.990682601928711,4.783762454986572,4.713685989379883,9.410760879516602,5.253820896148682,,3.2381486892700195,11.159284591674805,,21.973840713500977,34.3342399597168,,11.246392250061035,4.089959144592285,,13.527070999145508,1.4660487174987793,4.18578052520752,104.58329010009766,8.667208671569824,3.358642578125
2024-08-30,,8.891568183898926,,,8.647665023803711,4.833408355712891,4.415263175964356,9.53152084350586,5.043667793273926,,3.2502357959747314,11.190491676330566,,22.84618186950684,33.81409454345703,,11.899767875671388,4.266866207122803,,13.81056785583496,1.4577679634094238,4.212034702301025,99.2347412109375,8.429410934448242,3.428072452545166
2024-09-30,,8.753715515136719,,,9.631585121154783,4.8795084953308105,4.406537055969238,9.764418601989746,4.97307014465332,,3.3132636547088623,11.22615909576416,,23.82871627807617,35.60973358154297,,12.886778831481934,4.2051920890808105,,14.539019584655762,1.4920843839645386,4.321274280548096,103.53268432617188,8.64413833618164,3.6190028190612793
2024-10-31,,8.903340339660645,,,10.317621231079102,4.939793109893799,4.8864569664001465,9.816174507141112,5.086355209350586,,3.3991711139678955,11.538244247436523,,23.46141242980957,36.79928588867188,,12.68752384185791,4.083467483520508,,14.62913703918457,1.40034818649292,4.460608959197998,108.40367889404295,8.331497192382812,3.688432455062866
2024-11-29,,9.010826110839844,,,10.30859375,4.640721321105957,5.041776180267334,9.738640785217283,6.269872665405273,,3.274243354797364,12.144962310791016,,24.866342544555664,33.679039001464844,,12.51143741607666,5.0475287437438965,,15.087237358093262,1.4411197900772097,4.201209545135498,108.21266174316406,8.174160957336426,3.555985689163208
2024-12-30,,9.745306968688965,,,10.859228134155272,4.742675304412842,5.352415084838867,10.237601280212402,6.7990336418151855,,3.487290143966675,12.451216697692873,,25.04081153869629,35.65988540649414,,12.261207580566406,5.523067951202393,,15.372610092163086,1.4897321462631226,4.215114593505859,112.0330581665039,8.582137107849121,3.673017740249634
2025-01-31,,10.15733242034912,,,11.843148231506348,5.343474864959717,5.75380277633667,11.600833892822266,7.415229320526123,,3.7851946353912354,13.429394721984863,,28.12614822387696,41.11647415161133,,12.824034690856934,5.042660236358643,,17.75885581970215,1.7845423221588137,4.752132892608643,131.8035888671875,10.107932090759276,3.907083034515381
2025-02-28,,11.16052532196045,,,12.944416999816896,6.051689624786377,6.41172981262207,12.10870361328125,8.372594833374023,,4.272675037384033,14.192740440368652,,29.145410537719727,46.84612274169922,,13.097387313842772,5.65939998626709,,19.380041122436523,2.0715115070343018,5.950355529785156,143.64682006835938,11.69044017791748,3.8530681133270255
2025-03-31,,11.232182502746582,,,13.287434577941896,6.554176330566406,6.291313171386719,13.249184608459473,8.134123802185059,,4.27357816696167,15.02008056640625,,29.733095169067383,47.69770050048828,,14.063549995422363,5.925571918487549,,20.436111450195312,2.1264119148254395,5.950355529785156,150.23699951171875,11.502917289733888,3.961097955703736
2025-04-30,,10.820157051086426,,,14.217193603515623,6.627870559692383,6.228487491607666,12.273041725158691,8.524032592773438,,4.226634979248047,16.30908203125,,29.51271247863769,48.61811065673828,,14.968443870544434,6.018082618713379,,21.82073402404785,2.0894949436187744,6.015227317810059,165.42140197753906,11.382617950439451,3.862070322036743
2025-05-30,,11.517148971557615,,10.742856979370115,16.358776092529297,7.090014457702637,7.380584716796875,13.685564041137695,9.347569465637209,,4.59018611907959,17.4700984954834,,30.68934631347656,53.95017623901367,26.44652366638184,15.14279842376709,6.603722095489502,,23.574460983276367,2.292127847671509,6.871619701385498,162.9568328857422,12.57553482055664,4.25578498840332
2025-06-30,42.11259460449219,11.935954093933104,,11.318367958068848,15.974255561828612,6.962592124938965,7.289886474609375,13.676209449768066,9.164501190185549,,4.5728912353515625,17.365509033203125,,28.927461624145508,54.28402328491211,25.765106201171875,15.3832368850708,6.5592193603515625,33.8300895690918,24.29804801940918,2.219114303588867,6.828702449798584,165.0270538330078,12.40443992614746,4.2228312492370605
