Date,ANETD.BA,RSP.BA,GLNG.BA,SAND.BA,NVSD.BA,SLBD.BA,COP.BA,IBBD.BA,VIGD.BA,IEUR.BA,BBV.BA,VEAD.BA,SAN.BA,BCS.BA,O.BA,SMH.BA,BHPD.BA,GILDD.BA,BMNRD.BA,MFG.BA,GS.BA,TSMD.BA,TSM.BA,IVE.BA,FCXD.BA
2025-04-30,,,,,,,,4.75,,6820.0,15603.66015625,5.422399997711182,33524.44140625,19074.59375,,,,,,5979.89697265625,50548.94140625,18.692007064819336,22024.73828125,,
2025-05-30,,,,,,,,4.545000076293945,5.119999885559082,7200.0,17321.494140625,5.711461544036865,38474.359375,21549.5390625,,,,,,6679.88525390625,55499.06640625,21.44661331176757,25899.693359375,,
2025-06-30,,,,,,10.71155071258545,,4.789999961853027,5.289999961853027,7280.0,17703.236328125,5.761300086975098,40024.33203125,22574.51953125,,6760.0,,27.65363311767578,,6699.88427734375,66148.890625,24.871427536010746,30524.73046875,,14.318114280700684
2025-07-31,,,,34.95405197143555,,12.068668365478516,,4.920000076293945,5.380000114440918,7960.0,21616.080078125,5.611784934997559,46924.21875,26724.4296875,,7860.0,,,,8099.86083984375,75848.71875,26.74665069580078,36549.67578125,,14.119939804077148
2025-08-29,,,,38.40996170043945,,11.729389190673828,,5.0,5.480000019073486,8240.0,23357.771484375,5.890879154205322,51749.140625,26549.595703125,,7830.0,,28.04657936096192,,8839.84765625,77698.9921875,25.463603973388672,34774.6953125,,14.764008522033691
2025-09-30,,,,42.458309173583984,31.10243797302246,,,5.630000114440918,5.760000228881836,9565.0,28401.525390625,6.150038242340088,64498.92578125,31899.515625,,10080.0,,,,10089.9189453125,93948.7890625,32.27468490600586,47719.68359375,,13.366876602172852
2025-10-31,,,,41.59000015258789,,11.68619441986084,,6.039999961853027,5.699999809265137,9390.0,28897.787109375,6.329455375671387,61049.51171875,32239.509765625,,10970.0,27.556161880493164,29.87084579467773,,10189.9189453125,91273.8203125,33.51220703125,50199.66796875,,14.368353843688965
2025-11-28,,,,,31.977195739746094,12.58513069152832,,6.599999904632568,5.96999979019165,9735.0,31752.783203125,6.409196376800537,64024.48828125,34439.4765625,,10890.0,27.363998413085938,32.14577865600586,,10949.912109375,96298.765625,33.55181121826172,49179.671875,,14.766095161437988
2025-12-30,,,,49.7599983215332,34.13492584228516,,,6.409999847412109,5.889999866485596,9855.0,34628.80078125,6.429131984710693,72074.421875,38979.40625,,11090.0,30.6403751373291,30.939077377319336,,11289.91015625,103274.015625,34.2320442199707,50849.74609375,8086.81201171875,17.878408432006836
2026-01-30,,,,51.400001525878906,,16.341154098510742,,6.599999904632568,5.949999809265137,10180.0,37232.76171875,6.877676010131836,76474.390625,40259.390625,,12200.0,34.44519805908203,35.24166488647461,,12909.896484375,108298.9609375,37.745567321777344,55349.72265625,8146.603515625,21.39969062805176
2026-02-27,,,,,41.79389953613281,17.66387176513672,,6.650000095367432,5.960000038146973,10190.0,32782.70703125,7.22654390335083,72099.421875,35479.7421875,,11870.0,40.834617614746094,37.03193664550781,,13169.89453125,96999.0703125,42.569217681884766,60674.6953125,8091.79443359375,22.585792541503903
2026-03-31,,,,45.27999877929688,,17.57476043701172,,6.420000076293945,5.769999980926514,9430.0,30858.88671875,6.628485202789307,66299.46875,31099.775390625,,11290.0,36.64810180664063,36.37343978881836,2.7950000762939453,11640.0,95549.4296875,39.45994186401367,55249.82421875,7745.0,20.21358871459961
2026-04-30,,10144.326171875,,51.5,38.02999877929688,19.13916015625,,6.440000057220459,6.139999866485596,10160.0,33040.0,7.22654390335083,73299.4140625,35199.74609375,,15180.0,40.86052703857422,34.46376037597656,,12920.0,106649.359375,45.53070068359375,65899.7890625,8385.0,20.275798797607425
2026-05-29,5.710000038146973,10313.896484375,7331.4736328125,51.900001525878906,,18.94113540649414,6731.92578125,6.579999923706055,6.260000228881836,10220.0,34720.0,7.356123447418213,73650.0,36439.73828125,6924.62744140625,17820.0,45.2786750793457,34.8118782043457,,13360.0,116799.296875,48.08837890625,69174.78125,8475.0,22.85272216796875
2026-06-30,6.019999980926514,11120.0,7744.7998046875,57.09999847412109,40.5,,6433.83349609375,7.260000228881836,6.25,10640.0,38980.0,7.380000114440918,86025.0,41879.69921875,7424.3388671875,20600.0,42.2026252746582,,3.0,14970.0,121649.6328125,54.16082763671875,82824.859375,8880.0,21.574249267578125
2026-07-31,6.449999809265137,11340.0,7759.73193359375,58.09999847412109,40.959999084472656,,7566.58544921875,7.25,6.389999866485596,11000.0,44040.0,7.400000095367432,88900.0,43379.6875,7733.07763671875,17160.0,43.2998161315918,33.45918655395508,2.970000028610229,16380.0,123874.625,46.75984573364258,70999.8828125,9155.0,21.8700008392334
2026-08-31,7.03000020980835,11700.0,8190.0,60.59999847412109,,20.688594818115234,8445.0,8.0600004196167,6.519999980926514,11270.0,46320.0,7.619999885559082,93400.0,42560.0,7535.0,17830.0,48.10001754760742,37.9847297668457,3.25,17000.0,126149.6171875,47.97671890258789,73874.875,9470.0,26.290000915527344
