Date,ANETD.BA,RSP.BA,GLNG.BA,SAND.BA,NVSD.BA,SLBD.BA,COP.BA,IBBD.BA,VIGD.BA,IEUR.BA,BBV.BA,VEAD.BA,SAN.BA,BCS.BA,O.BA,SMH.BA,BHPD.BA,GILDD.BA,BMNRD.BA,MFG.BA,GS.BA,TSMD.BA,TSM.BA,IVE.BA,FCXD.BA
2023-09-29,,,,,,,,,,,5917.82275390625,,12488.30859375,6447.01611328125,,,,,,2797.81884765625,20512.87109375,,7928.75146484375,,12.452059745788574
2023-10-31,,,,,,,,,,,6037.173828125,,12487.1494140625,5499.5869140625,,,,,,2873.814208984375,19814.908203125,9.627042770385742,8317.23828125,,
2023-11-30,,,,,,,,,,,6859.056640625,,13699.06640625,6047.04541015625,,,,,,3217.291748046875,21899.009765625,10.6967134475708,9084.71484375,,
2023-12-29,,,,,,18.77582550048828,,,,,7917.75146484375,,15998.91015625,7585.9296875,,,,,,3329.78466796875,28767.193359375,11.182926177978516,11316.197265625,,
2024-01-31,,,,,,,,,,,10559.9990234375,,19723.15625,9364.2958984375,,,,,,4543.70654296875,37337.30859375,13.51675510406494,15730.0771484375,,
2024-02-29,,,,,,,,,,,9544.4423828125,,17648.298828125,9009.5830078125,,,,17.60197639465332,,4009.24072265625,31897.7578125,14.44056224822998,15316.0888671875,,
2024-03-27,,,,,25.75670623779297,18.72768211364746,,,,,11570.61328125,,21032.068359375,10124.03125,,,,18.000505447387695,,4324.7890625,34302.1640625,17.406469345092773,16485.615234375,,
2024-04-30,,,,,,,,,,,10862.2138671875,,21057.44921875,11242.48046875,,,,,,4262.7919921875,35891.10546875,,16703.115234375,,
2024-05-31,,,,,,,,,,,12589.3876953125,,26028.203125,14241.8427734375,,,,,,4881.26220703125,43870.0078125,16.823013305664062,20969.513671875,,
2024-06-28,,,,,,,,,,,12562.53125,,25008.751953125,14399.833984375,,,,,,5693.22265625,47069.40234375,19.89504814147949,26175.95703125,,16.54758071899414
2024-07-31,,,,,,16.368667602539062,,,,,12594.9453125,,24973.75390625,15224.296875,,,,18.59379005432129,,5799.71728515625,50248.29296875,17.700740814208984,23674.51171875,,
2024-08-30,,,,,,,,,,,12733.859375,,25898.70703125,15774.4287109375,,,25.461584091186523,18.929248809814453,,5439.73486328125,50248.5234375,18.9197998046875,24624.490234375,,14.26857089996338
2024-09-30,,,,,,,,,,,12409.724609375,,25148.744140625,14899.4609375,,,24.88509559631348,21.08735656738281,,5199.837890625,47223.61328125,19.26313591003418,23774.578125,,16.597124099731445
2024-10-31,,,,,,,,,,,10650.13671875,,22474.30859375,14224.486328125,,,,,,4864.84765625,46148.6484375,21.805479049682617,24399.564453125,,
2024-11-29,,,,,,15.213232040405272,,,,,9631.4287109375,,20199.376953125,14824.46484375,,,,23.21543884277344,,5539.82666015625,52048.46484375,20.82765388488769,22799.59765625,,
2024-12-30,,,,,,,,,,,10742.7470703125,,21449.337890625,15749.4306640625,,,,,,5779.8193359375,52448.6875,22.14790153503418,26424.60546875,,
2025-01-31,,,,,,,,,,6190.0,12456.0302734375,,23999.26171875,17499.365234375,,,,24.284948348999023,,6479.79736328125,58048.5546875,23.421894073486328,27574.587890625,,
2025-02-28,,,,,,,,,,6650.0,14956.498046875,,31024.044921875,19099.591796875,,,,27.84478759765625,,6839.78662109375,57998.78515625,19.599912643432617,24399.634765625,,
2025-03-31,,,,,,,,,,7220.0,16530.865234375,5.14330530166626,35298.9140625,20174.5703125,,,,26.33307647705078,,7369.873046875,55298.83984375,18.003353118896484,24249.708984375,,
