Date,R3N.F,NA1.F,4FWA.F,RZ2.DE,ALV1.F,H5PA.F,2LW.DU,94Y.DU,Z4Q.HM,L0T.DE,KDB.DE,A2A.DE,EAC.DE,I92.F,NO8.DE,1X80.F,DSN.DE,1JP0.F,3UB.DU,9J3.DU,4J60.MU,NJK.F,BN9.HM,W3E.F,NT4.DE
2023-09-29,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-28,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-29,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-30,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-30,,,,,,,,,,,,,,,,,,,,,71.80962371826172,,,,
2025-06-30,,,,,,,,,,,,,,,,,,,,,74.64293670654297,,,,
2025-07-31,,,,,,,,,,,,,,,,,,,,,77.18313598632812,,,,
2025-08-29,,,,,,,,,,,,,,,,,,,,,80.11414337158203,,,,
2025-09-30,,,,,,,,,,,98.88581085205078,,,,,,33.0943489074707,,,,82.75204467773438,,,,
2025-10-31,,,,,,,,,,,101.86017608642578,,,,,,35.32614517211914,,,,85.4876480102539,,,,
2025-11-28,,,,,,,,,,,103.71306610107422,,,,,,36.12776947021485,,,,91.15426635742188,,,,
2025-12-30,,,,,,,,,,,109.51554870605467,,,,,,38.7877082824707,,,,97.3093719482422,,,,
2026-01-30,9.720000267028809,,,,,,,,,,115.22049713134766,,,,,,39.270503997802734,,,,104.73458099365234,,99.9664077758789,,
2026-02-27,10.399999618530272,,,,,,,,,,,,,,,,40.1632194519043,,,,111.96439361572266,,101.31409454345705,,
2026-03-31,11.0,,,,,,,,,,102.0552215576172,,,4.633025169372559,,,40.99725341796875,,,,112.3552017211914,0.8484392762184143,100.73934936523438,,
2026-04-30,,,,,,29.856109619140625,,,,,,,,4.994675159454346,,7.081999778747559,43.84000015258789,,,,111.0,0.8677219748497009,111.49957275390624,,
2026-05-29,,15.79599952697754,,,7.5,31.42233085632324,,,,,114.0500030517578,,,4.98490047454834,,7.579999923706055,,,,,117.0,0.9207494258880616,120.45935821533205,9.28727912902832,
2026-06-30,8.5,16.8799991607666,1.7970000505447388,77.27999877929688,7.960000038146973,32.890663146972656,19.799999237060547,0.5400000214576721,4.572000026702881,57.0976448059082,,33.83000183105469,58.20000076293945,5.414634704589844,16.230680465698242,7.820000171661377,47.02999877929688,11.5,464.1091918945313,15.100000381469728,121.4000015258789,0.9418862462043762,125.43701934814452,9.75,152.89999389648438
2026-07-31,,17.81800079345703,1.901000022888184,81.66000366210938,8.4399995803833,34.55477523803711,21.200000762939453,0.5619999766349792,4.808000087738037,58.56999969482422,124.5999984741211,34.849998474121094,59.36000061035156,5.679999828338623,16.728553771972656,8.539999961853027,49.61000061035156,12.649999618530272,475.088134765625,15.600000381469728,122.0,0.9516976475715636,133.0,9.81999969482422,158.9499969482422
2026-08-31,,18.6879997253418,2.0439999103546143,85.22000122070312,8.800000190734863,35.599998474121094,22.200000762939453,0.5979999899864197,5.23199987411499,61.36000061035156,,35.349998474121094,62.29999923706055,6.130000114440918,18.12260055541992,8.640000343322754,49.70000076293945,13.050000190734863,511.5,17.299999237060547,121.8000030517578,0.9615089297294616,137.0,10.020000457763672,160.5
