Date,ZDCSZX,ZDAKSX,ZDAKUX,ZDAACX,ZDAADX,ZDAAEX,ZDAFPX,MKJQX,MKKAX,NBBOIXX,BMDAAXX,BMCKLXX,ZDBEQX,ZAHNHX,ZDBEPX,BMCNBXX,ZAHNUX,ZDCHRX,NBBPTXX,BMDEMXX,CEWWX,ZDASJX,ZDASRX,ZDASPX,ZEMXQX
2023-09-29,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-28,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-29,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-30,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-29,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-28,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-30,6.909999847412109,13.630000114440918,13.630000114440918,17.1200008392334,17.1200008392334,17.1200008392334,17.579999923706055,,19.623699188232425,,,,9.520000457763672,9.520000457763672,9.520000457763672,,7.539999961853027,7.539999961853027,,,27.02400016784668,11.609999656677246,11.609999656677246,11.609999656677246,16.094900131225586
2026-02-27,7.090000152587891,13.970000267028809,13.970000267028809,17.540000915527344,17.540000915527344,17.540000915527344,18.010000228881836,10.53090000152588,,,,,9.779999732971191,9.779999732971191,9.779999732971191,,7.739999771118164,7.739999771118164,,,,11.920000076293944,11.920000076293944,11.920000076293944,
2026-03-31,,,,,,,,,18.766000747680664,136.52999877929688,187.9550170898437,175.19361877441406,,,,177.96243286132812,,,154.61000061035156,187.2960357666016,26.23069953918457,,,,16.465599060058594
2026-04-30,7.139999866485596,14.039999961853027,14.039999961853027,17.6200008392334,17.6200008392334,17.6200008392334,18.100000381469727,,,142.47000122070312,196.5799865722656,183.27703857421875,9.770000457763672,9.770000457763672,9.770000457763672,186.0401153564453,7.760000228881836,7.760000228881836,161.74000549316406,195.9226531982422,26.80660057067871,11.899999618530272,11.899999618530272,11.899999618530272,17.132200241088867
2026-05-29,7.389999866485596,14.529999732971191,14.529999732971191,18.21999931335449,18.21999931335449,18.21999931335449,18.71999931335449,,,146.1999969482422,202.6367950439453,188.8109741210937,10.170000076293944,10.170000076293944,10.170000076293944,191.47750854492188,8.069999694824219,8.069999694824219,166.00999450683594,201.72743225097656,27.874900817871094,12.380000114440918,12.380000114440918,12.380000114440918,17.59119987487793
2026-06-30,7.710000038146973,15.140000343322754,15.140000343322754,18.979999542236328,18.979999542236328,18.979999542236328,19.5,10.463700294494627,16.805099487304688,150.63999938964844,208.33853149414065,194.2352294921875,,,,196.8534545898437,,,171.4499969482422,207.40756225585932,28.86289978027344,,,,
2026-07-31,,,,,,,,10.75759983062744,17.264699935913086,,,,,,,,,,,,,,,,
2026-08-31,7.869999885559082,15.420000076293944,15.420000076293944,19.31999969482422,19.31999969482422,19.31999969482422,19.850000381469727,11.19480037689209,17.954700469970703,159.36000061035156,200.00997924804688,186.6028289794922,10.359999656677246,10.359999656677246,10.359999656677246,189.4909210205078,8.239999771118164,8.239999771118164,184.08999633789065,199.49034118652344,29.90130043029785,12.609999656677246,12.609999656677246,12.609999656677246,18.32889938354492
