Date,SSIPEURR.CO,NDIGSEKL1.CO,IAIRIN.CO,WEIMGA.CO,SYIEUVADKK.CO,SYIVOHYADKKAK.CO,KRE.CO,SPIEUVKL.CO,MAJHIO.CO,BAIVOIGA.CO,DKIGOM.CO,DKIEAUHU.CO,DKIEUIXBNP.CO,DKIEUHUAKLDKK.CO,GDIGV.CO,JYSK.CO,MAJGANF.CO,WEISA.CO,MAJDCS.CO,SPIMIXMINRISKKLA.CO,SYVFKUDA.CO,SKIVEK.CO,SPIVEUKLA.CO,DKINMOBL.CO,BAIGOA.CO
2023-09-29,226.3999938964844,94.38613891601562,,,73.8365478515625,158.8300018310547,3973.997314453125,91.9874267578125,85.39549255371094,65.12307739257812,84.27999877929688,106.37145233154295,467.8695068359375,192.1999969482422,,474.2839965820313,81.4479751586914,120.86000061035156,,86.89260864257812,90.47769927978516,4198.75634765625,90.52295684814452,82.08999633789062,86.33999633789062
2023-10-31,,,,173.35000610351562,70.48452758789062,158.50999450683594,4011.1376953125,88.20950317382812,85.22857666015625,65.25715637207031,84.16000366210938,102.9672393798828,452.0309753417969,186.009994506836,91.71348571777344,455.0265502929688,78.68448638916016,119.08999633789062,,86.46855163574219,90.28479766845705,4203.6279296875,85.60091400146484,81.2699966430664,85.68000030517578
2023-11-30,230.0,,,,74.72980499267578,162.83999633789062,4085.418212890625,92.82420349121094,87.64054107666016,66.8086166381836,86.4800033569336,106.7719497680664,483.351318359375,193.7400054931641,94.48348236083984,434.6686401367188,82.7550277709961,121.12999725341795,,88.41534423828125,92.43558502197266,4296.38671875,90.6513671875,85.36000061035156,88.0199966430664
2023-12-29,239.1000061035156,,112.6999969482422,,77.71347045898438,167.99000549316406,4159.6982421875,96.33699798583984,90.73688507080078,68.57077026367188,89.26000213623047,110.93709564208984,498.6636657714844,200.72000122070312,100.66854095458984,451.2232055664063,86.63883209228516,123.68000030517578,,90.43923950195312,94.5670928955078,4319.90478515625,94.07540130615234,89.27999877929688,
2024-01-31,,101.90481567382812,116.5999984741211,198.8000030517578,77.58454895019531,169.9499969482422,4196.8388671875,96.5772705078125,91.62092590332033,68.70484161376953,89.19999694824219,110.89704132080078,504.86175537109375,200.5399932861328,100.1373062133789,494.2945251464844,88.42052459716797,124.93000030517578,,90.8054656982422,95.26150512695312,4413.42822265625,96.30300903320312,88.86000061035156,
2024-02-29,245.6000061035156,104.8138198852539,117.9000015258789,201.1999969482422,78.06340789794922,170.58999633789062,4531.10009765625,96.36591339111328,91.64752197265624,68.01530456542969,88.72000122070312,111.63597106933594,516.083740234375,202.22000122070312,,519.466064453125,92.4292221069336,125.4800033569336,,91.18133544921876,95.67623138427734,4571.82568359375,97.25177001953124,89.48999786376953,90.05999755859375
2024-03-27,,,121.3000030517578,,80.9918212890625,171.64999389648438,4720.28271484375,100.7934799194336,92.53394317626952,68.85807800292969,89.5,114.75358581542967,538.878173828125,208.38999938964844,,543.1459350585938,97.3542022705078,128.4199981689453,,92.2992935180664,96.82396697998048,4792.12841796875,103.60985565185548,91.33999633789062,
2024-04-30,249.3999938964844,105.8431625366211,125.4000015258789,,81.52593231201172,171.4199981689453,4663.412109375,102.0370864868164,90.920654296875,68.39838409423828,89.04000091552734,115.26605224609376,537.6092529296875,208.5800018310547,103.61890411376952,530.0007934570312,97.27783966064452,129.74000549316406,,91.55720520019533,96.07167053222656,4985.54345703125,104.05760955810548,89.94000244140625,90.18000030517578
2024-05-31,,107.6780776977539,133.60000610351562,210.8999938964844,84.2609634399414,173.02000427246094,4568.626953125,105.5826644897461,91.78047943115234,68.66653442382812,89.08000183105469,118.0420150756836,553.4202270507812,213.94000244140625,104.7890625,526.7378540039062,97.08695220947266,131.3699951171875,,91.98126220703124,96.5731964111328,4955.21728515625,107.72917938232422,91.12000274658205,90.5999984741211
2024-06-28,,,128.3000030517578,,81.75615692138672,173.6699981689453,4644.455078125,103.33360290527344,92.55168151855467,69.06877136230469,89.80000305175781,116.8462142944336,545.2044067382812,211.3600006103516,105.75746154785156,516.4827270507812,100.29391479492188,131.77000427246094,100.5,92.91610717773438,97.9041748046875,5012.330078125,104.50535583496094,91.62999725341795,
2024-07-31,258.70001220703125,114.16740417480467,129.75,,83.87419128417969,175.6699981689453,4739.23974609375,106.95857238769533,93.4646987915039,70.31376647949219,91.4800033569336,119.96381378173828,553.0460205078125,217.1499938964844,,524.8732299804688,102.96638488769533,132.4199981689453,102.69000244140624,93.91841888427734,98.70469665527344,5202.69970703125,106.0724868774414,93.29000091552734,92.54000091552734
2024-08-30,,112.69052124023438,130.1999969482422,,85.03450012207031,177.57000732421875,4720.28271484375,108.18453979492188,94.04973602294922,,91.8000030517578,122.14187622070312,562.4302978515625,221.2400054931641,106.44341278076172,504.8292541503906,103.92083740234376,131.72999572753906,107.37000274658205,94.46775817871094,99.33160400390624,5179.83251953125,107.90827178955078,95.38999938964844,
2024-09-30,,113.49610137939452,133.35000610351562,,85.04371643066406,178.97999572753906,4739.23974609375,108.74900817871094,95.45915222167967,,92.86000061035156,122.52623748779295,566.2005004882812,221.3300018310547,108.58196258544922,486.1836853027344,103.6917724609375,134.3800048828125,105.69000244140624,95.51825714111328,100.30573272705078,5187.0234375,107.01277160644533,97.08999633789062,94.26000213623048
2024-10-31,,114.92821502685548,130.0500030517578,223.5,84.04915618896484,180.10000610351562,4720.28271484375,106.35881805419922,94.29792785644533,70.92668914794922,92.66000366210938,119.3232192993164,549.8235473632812,215.6699981689453,108.98546600341795,445.8159790039063,102.39371490478516,136.39999389648438,109.04000091552734,95.20021057128906,100.21892547607422,5227.7353515625,104.86355590820312,95.68000030517578,94.12000274658205
2024-11-29,,,130.10000610351562,234.8000030517578,84.66615295410156,180.7899932861328,4739.23974609375,106.7204360961914,95.93782043457033,,93.4000015258789,118.93885803222656,554.041015625,215.5200042724609,,463.1563720703125,,140.82000732421875,115.1999969482422,96.68440246582033,102.05143737792967,5115.3349609375,104.59491729736328,96.81999969482422,94.6999969482422
