Date,OMCN.TA,MMHD.TA,PHOE.TA,HARL.TA,LBRA.TA,MAXO.TA,BSEN.TA,MTAV.TA,^TA125.TA,OPCE.TA,LUMI.TA,MGDL.TA,PAZ.TA,POLI.TA,TASE.TA,CLIS.TA,MNRV.TA,ANLT.TA,MCPL.TA,ORAD.TA,MRIN.TA,MISH.TA,TRPZ.TA,ELAL.TA,BWAY.TA
2023-09-28,,8885.0263671875,3956.890380859375,3009.205810546875,291.9501037597656,716.2131958007812,9300.0,1436.4996337890625,1874.43994140625,2464.0,3147.847412109375,467.1739501953125,31404.9609375,3386.159423828125,2189.32275390625,5898.9462890625,,3130.786865234375,,36.400001525878906,754.4185791015625,9897.9833984375,863.9764404296875,363.0,779.5
2023-10-31,,7960.5439453125,3369.6484375,2649.539794921875,228.5826110839844,643.383056640625,8911.0,1171.7760009765625,1657.97998046875,2238.0,2669.326171875,379.8787841796875,28229.51171875,2974.5048828125,1824.435546875,4888.29833984375,,2635.978759765625,,37.20000076293945,625.9856567382812,8456.27734375,705.4807739257812,287.1000061035156,654.5
2023-11-30,,8795.076171875,3555.408935546875,2779.419189453125,318.1366271972656,705.8231811523438,11000.0,1215.854248046875,1792.6400146484375,2281.0,2792.203369140625,423.9763488769531,31934.19921875,3148.359130859375,2049.365966796875,5498.08642578125,,2864.889892578125,,56.400001525878906,669.4290771484375,8818.2041015625,1080.9705810546875,278.29998779296875,1099.0
2023-12-28,,9294.7978515625,3660.273193359375,2835.3671875,340.22528076171875,694.334228515625,11480.0,1426.6556396484375,1875.760009765625,2350.0,2908.326171875,411.3770446777344,30273.130859375,3248.275146484375,1925.404296875,5764.9931640625,,3149.779541015625,,58.400001525878906,778.2875366210938,10207.9208984375,1415.96142578125,338.0,1139.0
2024-01-31,,9185.8583984375,3718.198486328125,3033.183837890625,355.0177307128906,746.0845947265625,12500.0,1562.5277099609375,1861.9200439453125,2590.0,2783.44140625,404.8774108886719,29993.474609375,3115.386962890625,2266.298583984375,5684.021484375,,3337.706787109375,,52.09999847412109,869.4688110351562,10677.8251953125,1293.9647216796875,385.0,1135.0
2024-02-29,,9981.412109375,3848.03076171875,3546.706787109375,397.99560546875,764.9664306640625,11890.0,1641.4534912109375,1981.1300048828125,2503.0,2989.251708984375,472.07366943359375,34338.17578125,3415.13525390625,2519.220703125,6832.62158203125,,3671.577392578125,,58.900001525878906,877.4585571289062,13947.1591796875,1379.96240234375,522.2000122070312,1149.0
2024-03-28,,9874.4716796875,3667.26416015625,3535.717041015625,425.5814514160156,852.58251953125,14740.0,1795.873046875,2028.5699462890625,2610.0,3054.427978515625,508.0716552734375,39232.2265625,3445.1103515625,2480.7080078125,6771.642578125,,3908.4853515625,,60.79999923706055,847.2978515625,14217.103515625,1454.9603271484375,497.8999938964844,984.5
2024-04-30,,9006.958984375,3587.324951171875,3429.8154296875,409.2898559570313,858.1132202148438,17810.0,1669.9521484375,1970.72998046875,2819.0,2927.534912109375,475.073486328125,37361.40625,3383.162353515625,2478.708251953125,6264.81884765625,,3867.50146484375,,60.400001525878906,787.575439453125,12607.4326171875,1869.9490966796875,524.5,1002.0
2024-05-30,,9519.6708984375,3538.375,3172.0546875,503.4414978027344,974.36083984375,19300.0,1754.8988037109375,1993.4300537109373,2870.0,3067.4169921875,444.3752136230469,37351.42578125,3397.724365234375,2549.699951171875,6057.89111328125,,3807.524658203125,,58.0,831.1187744140625,13647.2197265625,1751.9522705078125,500.8999938964844,1090.0
2024-06-27,,9044.9375,3436.4794921875,3020.19580078125,454.866455078125,871.0074462890625,20780.0,1586.0047607421875,1947.47998046875,2640.0,3067.4169921875,421.1000061035156,34004.87890625,3328.7705078125,2699.682373046875,5337.14208984375,,3735.552490234375,,59.59999847412109,799.3426513671875,13717.2060546875,1643.9552001953125,416.0,1161.0
