Date,HFL.NZ,EUF.NZ,EUG.NZ,CHI.NZ,TWF.NZ,SCL.NZ,EMF.NZ,AUE.NZ,FCT.NZ,TEM.NZ,USF.NZ,FPH.NZ,TWH.NZ,ESG.NZ,APA.NZ,ASD.NZ,USA.NZ,USH.NZ,USV.NZ,JPN.NZ,BIT.NZ,AUS.NZ,EMG.NZ,HLG.NZ,WBC.NZ
2023-09-29,3.777365922927856,1.820749402046204,2.825233221054077,1.2791274785995483,2.923322916030884,2.722280263900757,1.2163821458816528,2.366661071777344,3.998056411743164,2.8233189582824707,12.317426681518556,20.719526290893555,2.956017017364502,2.855664730072021,2.098752975463867,1.4767110347747805,3.206072330474853,2.4071600437164307,4.318687915802002,2.188768148422241,1.9088624715805047,2.7585370540618896,2.101022481918335,4.943440437316895,19.86252784729004
2023-10-31,,1.7910683155059814,2.7730751037597656,1.1877611875534058,2.8676676750183105,2.5775742530822754,1.2116930484771729,2.3437576293945312,3.883448600769043,2.871498346328736,12.241218566894531,19.98022651672364,2.8833279609680176,2.8131296634674072,2.044409990310669,1.4652568101882937,3.141507863998413,2.350636005401612,4.259541034698486,2.117100715637207,1.8764878511428835,2.7018861770629883,2.071117877960205,4.6755690574646,19.33135223388672
2023-11-30,,1.870749592781067,2.9381165504455566,1.2375974655151367,2.9893276691436768,2.7313241958618164,1.2256230115890503,2.384049892425537,3.989239692687988,2.929313898086548,12.627521514892578,22.62057304382324,3.064171552658081,2.9541046619415283,2.083998203277588,1.4857248067855835,3.336686372756958,2.521183729171753,4.314451217651367,2.166055202484131,1.963992595672608,2.7873241901397705,2.142494440078736,4.910971164703369,20.84206199645996
2023-12-29,,1.9186453819274905,2.9866161346435547,1.2043733596801758,3.0865259170532227,3.1202213764190674,1.2313191890716553,2.534128427505493,4.275759696960449,2.9004061222076416,13.026538848876951,22.83508682250977,3.217234373092652,3.0170814990997314,2.146546602249145,1.598759412765503,3.4044265747070312,2.646901845932007,4.465419292449951,2.213714361190796,1.9931607246398928,3.003941535949707,2.1638317108154297,4.3984150886535645,22.25249481201172
2024-01-31,3.744593143463135,1.9580888748168943,3.086525678634644,1.2209852933883667,3.184677124023437,3.049255132675171,1.2341673374176023,2.550378561019897,4.493921756744385,,13.74495792388916,22.902816772460938,3.25623106956482,3.203105926513672,2.190140724182129,1.6041849851608276,3.615388631820679,2.728764533996582,4.656264781951904,2.339184045791626,2.0968546867370605,3.0270845890045166,2.1260056495666504,4.660628795623779,23.222728729248047
2024-02-29,3.830675840377808,1.9984712600708008,3.1553955078125,1.2126795053482056,3.286640167236328,2.8844306468963623,1.281635284423828,2.5417752265930176,4.549816608428955,,14.299361228942873,23.70591735839844,3.3927197456359863,3.3067755699157715,2.2659571170806885,1.588812232017517,3.7808682918548575,2.855457067489624,4.79868745803833,2.45784592628479,2.1651244163513184,3.0085701942443848,2.194868326187134,4.863631725311279,25.109294891357425
2024-03-28,3.977015972137451,2.122436761856079,3.3513340950012207,1.3326845169067385,3.485801935195923,3.0675690174102783,1.3158122301101685,2.681339263916016,4.706320762634277,3.131667375564575,14.985170364379885,24.81864356994629,3.5097100734710693,3.497644186019897,2.4251708984375,1.6539201736450195,3.948283433914185,2.949989557266236,5.0854315757751465,2.589150905609131,2.301663875579834,3.165015935897827,2.3209543228149414,5.455726146697998,25.531524658203125
2024-04-30,4.279173851013184,2.121497869491577,3.316414594650269,1.3589874505996704,3.4372026920318604,3.113353729248047,1.3651789426803589,2.660308837890625,4.736301422119141,3.150939464569092,14.740581512451172,27.547239303588867,3.449265241622925,3.4230406284332275,2.33987808227539,1.6521116495132446,3.87376880645752,2.8700757026672363,5.025614738464356,2.462708711624145,2.318111181259156,3.089107275009156,2.351990938186645,5.306693077087402,25.39677047729492
2024-05-31,4.305697917938232,2.12816858291626,3.3367323875427246,1.3765227794647217,3.400012969970703,3.113353729248047,1.3559777736663818,2.637981414794922,4.784120559692383,3.09312391281128,14.802340507507324,28.54385757446289,3.4838016033172607,3.425286054611206,2.265533924102783,1.620574951171875,3.892667531967163,2.91127610206604,4.892374038696289,2.3897454738616943,2.2496438026428223,3.105376005172729,2.330328226089477,4.718036651611328,26.28426742553711
2024-06-27,4.367586612701416,2.118655204772949,3.3406405448913574,1.3063814640045166,3.523404598236084,3.296492338180542,1.3742239475250244,2.647584915161133,4.8164143562316895,3.2797021865844727,15.555822372436523,29.33308792114257,3.5894901752471924,3.588581085205078,2.281832695007324,1.6529864072799685,4.096416473388672,3.063678503036499,4.986310958862305,2.426978349685669,2.2887678146362305,3.165711164474488,2.4103143215179443,4.893755435943604,27.26564598083496
