Date,PPG.OL,ROGS.OL,VEI.OL,STB.OL,INSTA.OL,NONG.OL,SATS.OL,SBNOR.OL,ENDUR.OL,VVL.OL,WWI.OL,SB1NO.OL,SNTIA.OL,SNOR.OL,JAREN.OL,COSH.OL,SKUE.OL,AURG.OL,SPOG.OL,PROT.OL,SOAG.OL,RING.OL,DNB.OL,MING.OL,ODL.OL
2023-09-29,67.14569091796875,66.50228881835938,80.38074493408203,77.65657043457031,1.4764153957366943,78.4657974243164,11.397012710571287,84.68802642822266,38.75040054321289,187.6875457763672,280.8633117675781,103.1431121826172,,103.1652374267578,210.130111694336,,173.9451904296875,170.51402282714844,35.96779251098633,156.5177764892578,257.02545166015625,236.683822631836,174.80564880371094,109.16584777832033,30.39781951904297
2023-10-31,66.24036407470703,65.86437225341797,79.39246368408203,82.98454284667969,1.466981291770935,77.39990997314453,11.377954483032228,84.7758560180664,39.74399948120117,189.42539978027344,282.21142578125,101.88218688964844,,104.0108642578125,208.44908142089844,,175.52650451660156,170.51402282714844,36.34800720214844,157.4172821044922,263.6158447265625,233.54893493652344,163.21141052246094,107.73365020751952,31.32139778137207
2023-11-30,67.29657745361328,68.89446258544922,85.65161895751953,83.1270980834961,1.5754719972610474,78.6297836303711,12.33088207244873,83.61680603027344,38.45232009887695,194.6389312744141,301.0854797363281,99.8647232055664,,98.9371566772461,216.85427856445312,,173.9451904296875,172.15357971191406,35.73966979980469,173.6087646484375,261.96826171875,241.3861541748047,167.10317993164062,102.64136505126952,27.833641052246094
2023-12-29,71.49429321289062,72.88140869140625,84.169189453125,80.22254943847656,1.6462267637252808,84.61515808105469,14.446381568908691,90.57107543945312,37.75680160522461,210.2795562744141,327.59893798828125,108.35491180419922,,105.70209503173828,221.8973999023437,,181.851791381836,181.9909210205078,38.17300796508789,161.91490173339844,263.6158447265625,238.25125122070312,175.12998962402344,112.82593536376952,31.69495964050293
2024-01-31,71.18411254882812,76.54939270019531,79.06303405761719,84.48136138916016,1.5849058628082275,84.94312286376953,17.915035247802734,91.89569854736328,39.04848098754883,222.4445037841797,330.74462890625,107.43023681640624,,109.08455657958984,235.34573364257807,,194.5023498535156,181.9909210205078,41.21468353271485,169.6508331298828,265.2634582519531,235.1163787841797,166.2924041748047,114.09901428222656,31.57428550720215
2024-02-29,71.02902221679688,79.73895263671875,90.7577667236328,84.42790985107422,1.641509771347046,83.30329132080078,16.352235794067383,97.35977172851562,38.25360107421875,222.4445037841797,333.44091796875,107.93460083007812,,106.54771423339844,226.9405212402344,,189.7583770751953,181.9909210205078,42.58343505859375,198.30441284179688,263.6158447265625,235.1163787841797,172.13006591796875,114.8946762084961,35.475830078125
2024-03-27,73.96958923339844,80.53634643554688,97.181640625,89.09656524658203,1.641509771347046,84.53500366210938,17.457632064819336,103.1399383544922,44.31455993652344,227.65805053710932,313.6681823730469,114.32325744628906,,105.70209503173828,237.0267791748047,,199.50865173339844,190.1564178466797,44.12385177612305,208.88677978515625,288.2988586425781,236.19325256347656,174.40028381347656,120.34016418457033,39.75034332275391
2024-04-30,73.65074920654297,84.86096954345703,95.69921112060548,99.55440521240234,1.6745285987854004,88.76175689697266,16.485645294189453,113.22354888916016,48.63672256469727,231.7321929931641,348.7198791503906,120.4263153076172,,110.57010650634766,249.00668334960932,,204.624252319336,191.8290863037109,44.80268096923828,207.966552734375,290.06756591796875,253.9077606201172,171.4249725341797,127.7806396484375,41.79090881347656
2024-05-31,77.31734466552734,85.37841796875,101.86173248291016,105.60774993896484,1.6509437561035156,88.60258483886719,16.771526336669922,116.02357482910156,51.07104110717773,239.08876037597656,359.0677795410156,121.14100646972656,,112.06236267089844,254.81832885742188,,201.2138671875,191.03677368164065,46.57612228393555,225.1423797607422,298.0267333984375,251.3349456787109,181.228256225586,133.52691650390625,47.56632614135742
2024-06-28,79.07955169677734,82.79119110107422,101.5068130493164,101.51009368896484,1.669811487197876,87.66527557373047,15.49460220336914,111.20328521728516,55.14480209350586,233.57131958007807,357.6831970214844,116.67415618896484,,109.68914031982422,265.5475158691406,,202.06646728515625,192.79747009277344,45.693641662597656,238.1402587890625,291.8362731933594,248.8464813232422,185.2025604248047,131.9724578857422,47.97923278808594
