Date,EG7.IR,A5G.IR,C5H.IR,GVR.IR,BIRG.IR,^ISEQ,OIZ.IR,UPR.IR,HMSO.IR,RYA.IR,IRES.IR,MLC.IR,PTSB.IR,KRZ.IR,MIO.IR,GRP.IR,KMR.IR
2023-09-29,8.300073623657227,3.4685592651367188,0.962213933467865,0.996999979019165,7.860946655273437,8416.580078125,2.794971466064453,2.208988904953003,1.8356812000274656,15.0214204788208,0.8114767074584961,4.539999961853027,2.136849164962769,75.41120147705078,0.7053909301757812,0.7497740387916565,3.915225982666016
2023-10-31,7.959907531738281,3.3333988189697266,0.979804754257202,0.9120000004768372,7.150160789489746,7834.7900390625,2.692089319229126,2.056813716888428,1.8356812000274656,13.383834838867188,0.7948804497718811,4.059999942779541,1.8685005903244016,69.7292709350586,0.5114084482192993,0.6757320165634155,3.8165221214294434
2023-11-30,7.585724353790283,3.4636738300323486,1.1187716722488403,1.0720000267028809,7.268625259399414,8355.5302734375,2.970728874206543,2.223714828491211,1.8356812000274656,16.588218688964844,0.8490370512008667,4.420000076293945,1.6647545099258425,71.01134490966797,0.5893253087997437,0.7694323658943176,3.915225982666016
2023-12-29,7.721789836883545,3.1591567993164062,1.1627484560012815,1.2200000286102295,6.953849315643311,8760.3603515625,2.949295282363892,2.6507859230041504,1.8356812000274656,18.003995895385742,0.967832326889038,4.5,1.6896016597747805,75.2593994140625,0.5758293271064758,0.8059210777282715,3.767170667648315
2024-01-31,7.993924140930176,3.318743228912353,1.2471840381622314,1.22599995136261,7.219546794891357,9178.1201171875,3.041982889175415,2.7587811946868896,1.8356812000274656,18.40855407714844,1.0097600221633911,4.960000038146973,1.7094793319702148,79.1055908203125,0.584826648235321,0.7297709584236145,2.9939961433410645
2024-02-29,8.6742582321167,3.4897282123565674,1.2788474559783936,1.133999943733215,6.815075874328613,9489.669921875,2.831727981567383,2.670421600341797,1.8356812000274656,19.213897705078125,0.8472900390625,5.900000095367432,1.5603969097137451,77.6321792602539,0.4903546869754791,0.7270624041557312,2.813040256500244
2024-03-28,8.980408668518066,4.063014030456543,1.4037415981292725,1.2519999742507937,7.996333599090576,9957.26953125,2.818307638168335,2.552608728408813,1.8356812000274656,20.04307174682617,0.918346345424652,5.800000190734863,1.3665895462036133,76.00567626953125,0.4948533773422241,0.7060583233833313,3.1255998611450195
2024-04-30,9.422626495361328,4.202939510345459,1.419752597808838,1.2760000228881836,8.49980640411377,9917.33984375,2.9972474575042725,2.534756898880005,1.9031566381454468,19.15671157836914,0.8835740089416504,5.400000095367432,1.4908249378204346,78.1057357788086,0.4228746891021728,0.6907092332839966,3.3910837173461914
2024-05-31,9.862591743469238,4.508701801300049,1.5041122436523438,1.3860000371932983,9.431892395019531,9940.3203125,2.784059524536133,2.574208498001098,1.9031566381454468,16.650135040283203,0.8559344410896301,5.699999809265137,1.5206414461135864,75.20577239990234,0.486882746219635,0.7342621684074402,3.8239877223968506
2024-06-28,9.349297523498535,4.263401031494141,1.4269322156906128,1.2580000162124634,8.76183795928955,9318.349609375,2.928686141967773,2.3917455673217773,1.9031566381454468,15.563637733459473,0.8077881932258606,5.900000095367432,1.3019870519638062,73.12745666503906,0.4409504234790802,0.7136600613594055,3.4271585941314697
2024-07-31,9.275970458984377,4.577801704406738,1.6961644887924194,1.3760000467300415,9.396013259887695,9674.0703125,2.8292553424835205,2.564345598220825,1.9031566381454468,13.948183059692385,0.8202705383300781,5.900000095367432,1.5305802822113037,83.51899719238281,0.3674586415290832,0.7548644542694092,3.355008125305176
