Date,8341.T,8370.T,9436.T,8630.T,9324.T,8714.T,3763.T,8411.T,6745.T,4626.T,9072.T,9934.T,8359.T,8306.T,8060.T,8316.T,9651.T,7350.T,2914.T,9679.T,5844.T,2108.T,3964.T,6454.T,5832.T
2023-09-29,965.0206909179688,1347.4947509765625,1503.6541748046875,1985.12939453125,1002.5616455078124,293.86590576171875,573.3812255859375,2336.99755859375,502.6273498535156,1190.068359375,1488.1180419921875,1478.260009765625,755.58203125,1168.743408203125,1780.2899169921875,2251.8828125,887.837158203125,2210.802001953125,2981.981689453125,1072.900146484375,1956.869384765625,1738.2237548828125,409.26165771484375,633.78466796875,1012.3402709960938
2023-10-31,1015.2503662109376,1392.47119140625,1491.9798583984375,2007.9647216796875,1020.414306640625,323.16094970703125,592.91796875,2341.13623046875,520.0235595703125,1132.5145263671875,1500.828857421875,1430.279541015625,781.6871948242188,1158.147705078125,1652.6341552734375,2212.957275390625,863.1013793945312,2282.79443359375,3052.197021484375,1064.772216796875,1958.4803466796875,1740.947021484375,399.6749267578125,584.3388671875,1086.6903076171875
2023-11-30,1044.170654296875,1431.15087890625,1566.6954345703125,2085.110595703125,1057.05908203125,313.0907897949219,600.1874389648438,2310.326171875,513.5000610351562,1387.7943115234375,1514.4814453125,1498.8231201171875,733.781982421875,1156.304931640625,1713.247802734375,2224.60400390625,881.850341796875,2185.285888671875,3294.91650390625,1105.412353515625,2036.49755859375,1827.17724609375,420.2179260253906,650.1896362304688,960.2045288085938
2023-12-29,1059.3917236328125,1420.356689453125,1580.7047119140625,2128.004150390625,1102.16015625,295.6968994140625,622.9046630859375,2218.814453125,542.7008666992188,1445.8126220703125,1449.9852294921875,1553.658203125,719.6761474609375,1116.2259521484375,1996.373779296875,2108.745849609375,870.15234375,2137.898193359375,3246.995361328125,1137.9244384765625,2021.9989013671875,1773.6236572265625,423.5015869140625,759.0166625976562,908.0687866210938
2024-01-31,1088.311767578125,1503.11328125,1678.76904296875,2373.32958984375,1151.959228515625,314.9217529296875,646.530517578125,2485.072021484375,616.32421875,1520.0758056640625,1496.591796875,1617.63232421875,740.6517333984375,1285.295166015625,2107.024169921875,2360.0791015625,893.5484008789062,2323.802490234375,3469.69775390625,1267.9730224609375,2271.92919921875,1987.838134765625,492.3844299316406,762.4824829101562,951.5908203125
2024-02-29,1197.9041748046875,1675.8228759765625,1683.438720703125,2709.995849609375,1115.314697265625,350.62506103515625,675.6084594726562,2576.1240234375,687.15185546875,1503.8306884765625,1448.102294921875,1615.34765625,840.2174682617188,1420.7349853515625,2079.478271484375,2557.46728515625,924.1431884765624,2365.72265625,3467.025146484375,1276.10107421875,2407.7109375,1927.0230712890625,520.6796875,735.9111328125,1070.3695068359375
2024-03-29,1276.7125244140625,1678.8499755859375,1690.0936279296875,3009.74365234375,1159.7318115234375,366.3488159179688,685.2625122070312,2839.38037109375,700.0233764648438,1595.4527587890625,1418.3912353515625,1635.0677490234375,965.1664428710938,1446.987548828125,2094.418212890625,2767.274169921875,952.938232421875,2414.314453125,3610.445556640625,1332.9971923828125,2565.9208984375,1936.1810302734373,568.22509765625,776.8009033203125,1220.641357421875
2024-04-30,1381.9444580078125,1650.595703125,1611.7606201171875,2933.58349609375,1320.3831787109375,373.7873229980469,651.4688110351562,2858.10986328125,762.4296875,1517.9124755859375,1485.979248046875,1716.5880126953125,978.6294555664062,1474.52685546875,2030.4560546875,2794.031982421875,971.8351440429688,2481.841064453125,3781.48046875,1381.765380859375,2620.91162109375,1845.8446044921875,603.0143432617188,841.1371459960938,1233.6466064453125
2024-05-31,1450.0357666015625,1734.447021484375,1694.8411865234375,3126.3349609375,1393.5791015625,393.31353759765625,666.4882202148438,3009.818115234375,708.8485107421875,1517.9124755859375,1430.375,1805.09619140625,1008.8056030273438,1547.8099365234375,2068.27294921875,3201.624755859375,977.6663208007812,2534.5673828125,3965.87744140625,1300.4852294921875,2626.03759765625,1832.8062744140625,545.7279663085938,891.1764526367188,1577.82275390625
2024-06-28,1385.03955078125,1708.015625,1863.3756103515625,3229.762451171875,1520.959716796875,371.92767333984375,652.8768310546875,3144.669921875,706.3270263671875,1600.15234375,1744.347900390625,1826.0584716796875,974.4513549804688,1614.0911865234375,2117.170654296875,3336.97021484375,1048.2857666015625,2442.989990234375,3958.524169921875,1332.9971923828125,2660.057373046875,2161.556640625,644.8379516601562,916.1961669921876,1566.67529296875
