Date,JYSK.VI,ASRN.VI,KRKG.VI,BG.VI,ROCK.VI,NN.VI,AGS.VI,ISS.VI,TRYG.VI,DRW8.VI,OBS.VI,BCVN.VI,BAMI.VI,CABK.VI,HOT.VI,BKHT.VI,BMED.VI,ISP.VI,BONY.VI,KLEP.VI,PST.VI,UCG.VI,BC.VI,AGEN.VI,^ATX
2023-09-29,,,,35.70307540893555,,23.93925094604492,31.328792572021484,,5.091971397399902,,58.94929504394531,,3.4444308280944824,3.08450984954834,87.52662658691406,,6.570513248443604,1.9210129976272583,37.690040588378906,,8.284883499145508,19.37908172607422,,17.053640365600586,3168.1298828125
2023-10-31,,,,34.454368591308594,,25.004871368408203,33.429237365722656,,6.009017467498779,,60.666259765625,,3.572307586669922,3.15864896774292,88.98844146728516,,6.108836174011231,1.9225802421569824,37.48843383789063,,8.068524360656738,20.37848472595215,,16.182445526123047,3085.5400390625
2023-11-30,,,,39.26845169067383,,29.25908851623535,33.903289794921875,,6.461852073669434,,61.04781723022461,,3.842268228530884,3.427504062652588,91.08981323242188,,6.73065996170044,2.1888132095336914,41.21862030029297,,8.395539283752441,21.648122787475582,,16.58319664001465,3290.780029296875
2023-12-29,,,,39.41632080078125,,29.68037986755371,33.217613220214844,,6.421130180358887,,61.42936706542969,,3.570812225341797,3.033997058868408,91.91209411621094,,7.018125534057617,2.1900553703308105,44.01626205444336,,8.773048400878906,20.957544326782227,,16.6877384185791,3434.969970703125
2024-01-31,,,,39.30131149291992,,31.49771499633789,33.733985900878906,,7.108657360076904,,65.81718444824219,,3.752530574798584,3.252340793609619,91.63799285888672,,7.830959320068359,2.370593309402466,48.80841064453125,,8.555745124816895,23.033565521240234,,17.990175247192383,3456.47998046875
2024-02-29,,,,42.9241943359375,,31.44815254211425,33.962547302246094,,7.063781261444092,,66.00794219970703,,4.036699295043945,3.413654327392578,100.04347229003906,,8.212594985961914,2.446369171142578,48.7143669128418,,8.909395217895508,26.96257209777832,,19.16628837585449,3348.1298828125
2024-03-28,,,,48.22297286987305,,35.07455825805664,35.748714447021484,,6.857342720031738,,66.38949584960938,,4.611020565032959,4.0225605964660645,98.67301940917967,,8.524842262268066,2.8008198738098145,50.21905899047852,,9.897908210754396,30.454065322875977,,20.586334228515625,3535.7900390625
2024-04-30,,,,50.36637878417969,,36.280609130859375,36.620635986328125,,7.414402484893799,,66.77104187011719,,5.051046848297119,4.603035926818848,94.51387786865234,,8.775191307067871,2.955270767211914,50.415069580078125,,10.149295806884766,31.80698013305664,,20.028772354125977,3560.419921875
2024-05-31,,,,54.30965423583984,,36.74259567260742,39.80356597900391,,7.586831092834473,,67.15812683105469,,5.454606056213379,4.673933506011963,95.8033676147461,,9.016551971435549,3.1398518085479736,51.14489364624024,,10.78842067718506,33.29489517211914,,21.66946220397949,3688.3701171875
2024-06-28,,,,52.9653549194336,,37.7822380065918,37.44969177246094,,8.180304527282715,,67.7387466430664,,4.977225303649902,4.4257917404174805,101.24781799316406,,8.973451614379883,3.0414481163024902,52.78463745117188,,10.58229637145996,31.476837158203125,,21.568418502807617,3609.469970703125
2024-07-31,,,,60.44861602783203,,40.05211639404297,38.593597412109375,,8.972554206848145,,67.7387466430664,,5.234781265258789,4.681023597717285,104.68641662597656,,9.438932418823242,3.240413188934326,57.53369903564453,,11.184324264526367,34.91395568847656,,21.963409423828125,3701.0400390625
2024-08-30,,,,61.97216033935547,,39.52332305908203,40.77581787109375,,8.937159538269043,,67.7387466430664,,5.036282539367676,4.805094242095947,105.7371063232422,,9.525135040283203,3.253792762756348,58.1165771484375,,11.22891902923584,33.733577728271484,,22.90955352783203,3730.0
2024-09-30,,,,62.33063888549805,,39.9870491027832,42.16610336303711,,9.423836708068848,,67.7387466430664,,4.978866100311279,4.753693580627441,105.35504150390624,,9.792354583740234,3.310763359069824,61.14567565917969,,11.18878173828125,35.70992660522461,,23.87407112121582,3655.090087890625
2024-10-31,,,,63.63012313842773,,40.27241134643555,41.884525299072266,,10.522632598876951,,67.93228149414062,,5.074013710021973,4.938027381896973,106.97882843017578,,9.818215370178224,3.397082090377808,66.98404693603516,,11.53662109375,36.7501106262207,,23.295360565185547,3526.659912109375
