Date,200429.SZ,560730.SS,201872.SZ,159552.SZ,159249.SZ,601939.SS,601988.SS,601398.SS,518800.SS,159533.SZ,159830.SZ,159509.SZ,518600.SS,513650.SS,600919.SS,518680.SS,508017.SS,159519.SZ,518860.SS,518880.SS,518660.SS,159934.SZ,513810.SS,513870.SS,159834.SZ
2023-09-28,4.84688663482666,,6.467406749725342,,,5.480247974395752,3.2998087406158447,4.09447717666626,4.395999908447266,,4.380000114440918,0.9340000152587892,4.382999897003174,1.1089999675750732,6.084517002105713,4.440999984741211,,1.0260000228881836,4.4070000648498535,4.435999870300293,4.4629998207092285,4.632286071777344,1.0199999809265137,,4.622000217437744
2023-10-31,4.806895732879639,,6.325357913970947,,,5.454151153564453,3.413595199584961,4.138222217559815,4.560999870300293,,4.519000053405762,0.912999987602234,4.574999809265137,1.0800000429153442,5.847238063812256,4.605999946594238,,1.003000020980835,4.650000095367432,4.619999885559082,4.616000175476074,4.818968772888184,0.9990000128746032,0.9861999750137328,4.822999954223633
2023-11-30,4.742910385131836,,6.258511066436768,,,5.567235946655273,3.49237060546875,4.2082133293151855,4.5329999923706055,,4.493000030517578,1.0329999923706057,4.548999786376953,1.1710000038146973,5.609959125518799,4.584000110626221,,0.9879999756813048,4.614999771118164,4.589000225067139,4.590000152587891,4.785219192504883,0.9850000143051147,1.0950000286102295,4.790999889373779
2023-12-29,4.84688663482666,,6.425627708435059,,,5.662922859191895,3.49237060546875,4.181966781616211,4.59499979019165,,4.539999961853027,1.0820000171661377,4.599999904632568,1.22599995136261,5.669278144836426,4.639999866485596,,0.9829999804496764,4.666999816894531,4.6479997634887695,4.644999980926514,4.8453369140625,0.9810000061988832,1.1519999504089355,4.855999946594238
2024-01-31,4.902873992919922,,6.651235103607178,,,5.967381000518799,3.7812132835388175,4.523173809051514,4.59499979019165,,4.537000179290772,1.1720000505447388,4.5970001220703125,1.2599999904632568,6.203157424926758,4.640999794006348,,0.9890000224113464,4.682000160217285,4.652999877929688,4.642000198364258,4.85166597366333,0.9729999899864196,1.180999994277954,4.860000133514404
2024-02-29,5.150816917419434,,7.052314281463623,,,6.0891642570495605,3.912505388259888,4.663155555725098,4.5920000076293945,,4.5320000648498535,1.3270000219345093,4.591000080108643,1.312999963760376,6.499755859375,4.632999897003174,,1.0609999895095823,4.669000148773193,4.646999835968018,4.642000198364258,4.848501205444336,1.0410000085830688,1.215000033378601,4.855999946594238
2024-03-29,5.46274471282959,,7.069025993347168,,,5.97607946395874,3.851235866546631,4.619410991668701,5.059999942779541,,4.988999843597412,1.3730000257492063,5.067999839782715,1.38100004196167,6.694664001464844,5.10699987411499,2.2111825942993164,1.0640000104904177,5.136000156402588,5.125999927520752,5.109000205993652,5.348433971405029,1.0540000200271606,1.25,5.354000091552734
2024-04-30,5.430752277374268,,7.511884212493896,,,6.193550109863281,4.017539024353027,4.750644207000732,5.21999979019165,,5.138999938964844,1.3170000314712524,5.215000152587891,1.3309999704360962,6.847200393676758,5.263999938964844,2.417776107788086,1.1469999551773071,5.296000003814697,5.285999774932861,5.26800012588501,5.512969017028809,1.128999948501587,1.218999981880188,5.513999938964844
2024-05-31,5.622708320617676,,7.862829208374023,,,6.123959541320801,3.886247158050537,4.750644207000732,5.27899980545044,,5.199999809265137,1.4479999542236328,5.270999908447266,1.3600000143051147,7.008212566375732,5.328000068664551,2.450559616088867,1.2170000076293943,5.357999801635742,5.3429999351501465,5.326000213623047,5.573087215423584,1.1950000524520874,1.274999976158142,5.578999996185303
2024-06-28,5.782671928405762,,8.514582633972168,0.9959999918937684,,6.437116622924805,4.043797016143799,4.98686408996582,5.232999801635742,0.9520000219345092,5.1570000648498535,1.7109999656677246,5.2230000495910645,1.4609999656677246,6.712589740753174,5.28000020980835,2.438734769821167,1.2510000467300415,5.314000129699707,5.296999931335449,5.28000020980835,5.527735233306885,1.2330000400543213,1.3799999952316284,5.539999961853027
2024-07-31,6.268396377563477,,9.254080772399902,0.9879999756813048,,6.827023506164551,4.286455631256104,5.384180068969727,5.369999885559082,0.9319999814033508,5.288000106811523,1.534000039100647,5.355999946594238,1.4539999961853027,6.947485446929932,5.418000221252441,2.463294506072998,1.190999984741211,5.452000141143799,5.435999870300293,5.420000076293945,5.673285007476807,1.1670000553131104,1.312999963760376,5.677999973297119
2024-08-30,6.1116862297058105,,9.067218780517578,0.9810000061988832,,6.909607887268066,4.406035423278809,5.503828525543213,5.455999851226807,0.8960000276565552,5.370999813079834,1.5460000038146973,5.442999839782715,1.4769999980926514,7.019761085510254,5.505000114440918,2.426433086395264,1.1959999799728394,5.541999816894531,5.521999835968018,5.502999782562256,5.766098976135254,1.1759999990463257,1.312000036239624,5.765999794006348
2024-09-30,6.216159343719482,,10.89134120941162,1.2059999704360962,,7.276652336120605,4.599201679229736,5.687902927398682,5.64900016784668,1.0850000381469729,5.559999942779541,1.4539999961853027,5.632999897003174,1.4470000267028809,7.588929653167725,5.695000171661377,2.396044969558716,1.287999987602234,5.730999946594238,5.706999778747559,5.695000171661377,5.967548847198486,1.2669999599456787,1.3289999961853027,5.968999862670898
2024-10-31,6.242278099060059,,11.38074016571045,1.2380000352859497,,7.276652336120605,4.43363094329834,5.559051036834717,6.033999919891357,1.1510000228881836,5.940999984741211,1.5490000247955322,6.015999794006348,1.4859999418258667,7.95934247970581,6.085999965667725,2.3767075538635254,1.2790000438690186,6.124000072479248,6.103000164031982,6.083000183105469,6.374667167663574,1.2549999952316284,1.371000051498413,6.372000217437744
2024-11-29,6.416399955749512,,10.232877731323242,1.3350000381469729,,7.322533130645752,4.608400344848633,5.660292625427246,5.85099983215332,1.2139999866485596,5.764999866485596,1.5160000324249268,5.840000152587891,1.5959999561309814,8.176169395446777,5.9079999923706055,2.439699649810791,1.241000056266785,5.936999797821045,5.922999858856201,5.90500020980835,6.184819221496582,1.22599995136261,1.434999942779541,6.181000232696533
2024-12-31,7.130300045013428,,10.944730758666992,1.3029999732971191,,8.065797805786133,5.0683207511901855,6.368978977203369,5.855999946594238,,6.1579999923706055,1.6100000143051147,5.8379998207092285,1.5950000286102295,8.871820449829102,5.909999847412109,2.6374874114990234,1.3389999866485596,5.945000171661377,5.927999973297119,5.9079999923706055,6.190092086791992,1.3329999446868896,1.5140000581741333,6.181000232696533
2025-01-27,7.025826930999756,,11.745563507080078,1.3609999418258667,,8.016678810119629,5.129831314086914,6.413186073303223,6.130000114440918,1.180999994277954,6.447000026702881,1.6050000190734863,6.099999904632568,1.6360000371932983,9.25872802734375,6.183000087738037,2.97615385055542,1.3559999465942385,6.198999881744385,6.202000141143799,6.186999797821045,6.475918769836426,1.343999981880188,1.5110000371932983,6.466000080108643
2025-02-28,6.9648847579956055,,10.829054832458496,1.4479999542236328,,7.988517761230469,5.082768440246582,6.460203170776367,6.367000102996826,1.2890000343322754,6.704999923706055,1.47599995136261,6.348999977111816,1.537999987602234,8.512807846069336,6.425000190734863,3.0172038078308105,1.4259999990463257,6.4670000076293945,6.443999767303467,6.427000045776367,6.726940155029297,1.4249999523162842,1.4229999780654907,6.72599983215332
2025-03-31,6.921353816986084,,10.953628540039062,1.47599995136261,,8.288907051086426,5.271018981933594,6.479010105133057,6.926000118255615,1.3079999685287476,7.2870001792907715,1.3550000190734863,6.915999889373779,1.4459999799728394,8.857796669006348,6.986000061035156,3.0256006717681885,1.472000002861023,7.019999980926514,7.01200008392334,6.994999885559082,7.31652307510376,1.4539999961853027,1.3179999589920044,7.297999858856201
2025-04-30,6.903941631317139,,10.740072250366213,1.4579999446868896,,8.504814147949219,5.31601095199585,6.59185266494751,7.377999782562256,1.2929999828338623,7.775000095367432,1.3930000066757202,7.354000091552734,1.4470000267028809,9.473180770874023,7.781000137329102,3.1428163051605225,1.4170000553131104,7.48799991607666,7.47100019454956,7.459000110626221,7.802743911743164,1.3960000276565552,1.3480000495910645,7.791999816894531
2025-05-30,7.321835041046143,,11.55870246887207,1.5540000200271606,,8.668456077575684,5.306397914886475,6.648273944854736,7.281000137329102,1.3380000591278076,7.664000034332275,1.534000039100647,7.256999969482422,1.52400004863739,10.237747192382812,7.682000160217285,3.546531438827514,1.4730000495910645,7.386000156402588,7.36899995803833,7.360000133514404,7.694108963012695,1.4529999494552612,1.4570000171661377,7.683000087738037
2025-06-30,7.731022357940674,,12.866907119750977,1.6829999685287476,1.0019999742507937,9.062040328979492,5.402527809143066,7.137256145477295,7.223000049591064,1.4589999914169312,7.61299991607666,1.656999945640564,7.625,1.597000002861023,11.132850646972656,7.625999927520752,3.446562051773072,1.5549999475479126,7.333000183105469,7.314000129699707,7.307000160217285,7.641373157501221,1.534000039100647,1.5420000553131104,7.629000186920166
2025-07-31,8.057943344116211,,13.943873405456545,1.8109999895095823,1.031000018119812,9.033242225646973,5.3352370262146,7.258195877075195,7.263000011444092,1.5269999504089355,7.650000095367432,1.807000041007996,7.6620001792907715,1.659999966621399,10.722718238830566,7.664999961853027,3.6598305702209473,1.6050000190734863,7.36299991607666,7.349999904632568,7.342000007629394,7.677234172821045,1.5829999446868896,1.6169999837875366,7.664000034332275
2025-08-29,8.030061721801758,,13.282578468322754,1.9850000143051147,1.159999966621399,8.639657974243164,5.306397914886475,7.13338565826416,7.3979997634887695,1.6959999799728394,7.796000003814697,1.8530000448226929,7.809999942779541,1.6649999618530271,10.276728630065918,7.809000015258789,3.579263210296631,1.625,7.498000144958496,7.486000061035156,7.480999946594238,7.81751012802124,1.6050000190734863,1.6030000448226929,7.808000087738037
2025-09-30,7.649004936218262,,14.085578918457031,1.9889999628067017,1.2109999656677246,8.26527214050293,4.979554176330566,7.008575916290283,8.243000030517578,1.715999960899353,8.694999694824219,2.062000036239624,8.704000473022461,1.715000033378601,9.517598152160645,8.71399974822998,3.5908029079437256,1.6449999809265137,8.369000434875488,8.33899974822998,8.347999572753906,8.729999542236328,1.6239999532699585,1.6799999475479126,8.723999977111816
