Date,ELEVR.RG,DGR1R.RG,SCM1R.RG,VIRSI.RG,MDARA.RG,IDX1R.RG
2023-09-29,,1.0602352619171145,7.544479846954346,4.229612350463867,12.916576385498049,13.699999809265137
2023-10-31,,1.004010796546936,7.446499824523926,4.191161155700684,12.374913215637209,13.449999809265137
2023-11-30,,1.040155053138733,6.858618259429932,4.17193603515625,13.083242416381836,12.899999618530272
2023-12-29,,1.0653942823410034,7.838420867919922,4.229612350463867,12.49991226196289,12.550000190734863
2024-01-31,,1.0449843406677246,7.446499824523926,4.229612350463867,12.416580200195312,12.100000381469728
2024-02-29,,1.036820650100708,7.348519325256348,4.133484840393066,12.12491512298584,11.899999618530272
2024-03-28,,1.008246660232544,7.348519325256348,4.008518695831299,11.583251953125,11.800000190734863
2024-04-30,,1.0141526460647583,7.446499824523926,3.998905897140503,10.41659450531006,12.0
2024-05-31,,0.9067912101745604,8.380702018737793,4.066195011138916,10.916590690612791,13.100000381469728
2024-06-28,,0.9113913178443908,7.88771915435791,4.001856327056885,11.416586875915527,13.5
2024-07-31,,0.908643126487732,6.556666851043701,3.943434953689575,11.181641578674316,13.5
2024-08-30,,0.886646032333374,7.3947367668151855,3.9336979389190674,11.09462547302246,13.350000381469728
2024-09-30,,0.8904039263725281,6.704561233520508,3.992119073867798,11.09462547302246,12.300000190734863
2024-10-31,1.462141036987305,0.9335439205169678,6.507368087768555,4.099225044250488,10.354982376098633,12.199999809265137
2024-11-29,1.4930624961853027,0.9490739107131958,5.028420925140381,3.992119073867798,10.093934059143066,11.949999809265137
2024-12-27,1.4753930568695068,0.9466726779937744,4.929824352264404,4.011592388153076,9.310783386230469,11.699999809265137
2025-01-31,1.4930624961853027,0.9625093340873718,5.422806739807129,4.0408034324646,9.354291915893556,10.850000381469728
2025-02-28,1.4930624961853027,1.02233624458313,5.422806739807129,4.011592388153076,8.614649772644043,10.5
2025-03-31,1.4930624961853027,1.036413073539734,5.176315784454346,3.992119073867798,8.597246170043945,10.399999618530272
2025-04-30,1.501897215843201,1.0334044694900513,5.176315784454346,3.992119073867798,8.597246170043945,10.25
2025-05-30,1.5063145160675049,1.053139567375183,5.028420925140381,3.992119073867798,8.597246170043945,9.65999984741211
2025-06-30,1.586695432662964,1.074391484260559,5.127017498016357,4.0407490730285645,8.597246170043945,8.899999618530273
2025-07-31,1.574858784675598,1.1562646627426147,4.979123115539551,4.0407490730285645,9.479999542236328,10.199999809265137
2025-08-29,1.6178146600723269,1.1856768131256104,4.979123115539551,4.0407490730285645,9.479999542236328,9.960000038146973
2025-09-30,1.603495955467224,1.200354814529419,5.176315784454346,4.0407490730285645,9.479999542236328,9.640000343322754
2025-10-31,1.608268976211548,1.1984851360321045,5.422806739807129,4.0407490730285645,9.479999542236328,9.65999984741211
2025-11-28,1.6336272954940796,1.207833766937256,5.373508453369141,4.0407490730285645,9.479999542236328,9.68000030517578
2025-12-30,1.6629773378372192,1.2283200025558472,4.693192958831787,4.0407490730285645,9.479999542236328,9.460000038146973
2026-01-30,1.6631730794906616,1.258837342262268,6.31017541885376,4.0407490730285645,9.479999542236328,9.479999542236328
2026-02-27,1.67256498336792,1.2779107093811035,5.570701599121094,4.0407490730285645,9.479999542236328,9.5
2026-03-31,1.6504546403884888,1.3217791318893433,4.712912559509277,4.0407490730285645,9.479999542236328,8.880000114440918
2026-04-30,1.6533896923065186,1.3964999914169312,4.87066650390625,4.0407490730285645,9.479999542236328,8.65999984741211
2026-05-29,1.658281326293945,1.4651000499725342,5.150000095367432,4.0407490730285645,9.479999542236328,8.720000267028809
2026-06-30,1.6799999475479126,1.524999976158142,5.349999904632568,4.099999904632568,9.479999542236328,8.699999809265137
2026-07-31,1.6799999475479126,1.5049999952316284,6.199999809265137,4.099999904632568,9.880000114440918,8.979999542236328
2026-08-31,1.7000000476837158,1.524999976158142,6.699999809265137,4.099999904632568,9.880000114440918,9.279999732971191
