Date,MEC.XA,RND.XA,CDO.XA,WQG.XA,CDO.AX,IAGPF.AX,JYC.XA,GCAP.AX,GCI.AX,DBI.AX,GROW.AX,DBI.XA,GNP.AX,LFSPA.AX,MQGPG.AX,AGX1.AX,GNP.XA,TRA.AX,GLOB.AX,GCI.XA,SHA.AX,PCX.AX,CCL.AX,CCL.XA,DNL.XA
2023-09-29,1.029984951019287,,,1.0788146257400513,,,,6.967286109924316,1.5871814489364624,2.3273351192474365,3.0127954483032227,2.310931444168091,1.109310507774353,69.64334869384766,,3.848733901977539,,2.782639265060425,3.053895711898804,1.5857874155044556,1.306159257888794,,,,
2023-10-31,,,,1.0342352390289309,,,,6.904442310333252,1.614680528640747,2.252528429031372,2.9696319103240967,2.256898164749145,1.099079728126526,69.91452026367188,,3.76076340675354,,3.0633039474487305,2.99668025970459,1.605376958847046,1.3311176300048828,,,,
2023-11-30,,,,1.1189355850219729,,,2.781300544738769,7.144560813903809,1.6058087348937988,2.285776138305664,3.04732608795166,2.2776806354522705,1.16777241230011,68.32217407226562,,3.8780579566955566,,3.541944980621338,3.0467443466186523,1.60856294631958,1.4018332958221436,,,,
2023-12-29,,,,1.1925408840179443,,,,7.398814678192139,1.6702438592910769,2.280477285385132,3.1509177684783936,2.280611515045166,1.3738497495651243,71.5777816772461,,3.929374217987061,,3.541944980621338,3.118263959884644,1.677073955535889,1.4808686971664429,,,,
2024-01-31,,,,1.2467472553253174,,,2.924851894378662,7.424485683441162,1.649897575378418,2.356776237487793,3.1613380908966064,2.3611531257629395,1.3100638389587402,76.34300231933594,,4.054000377655029,,3.661234378814697,3.186909914016724,1.640586018562317,1.5474244356155396,,,,
2024-02-29,1.0119045972824097,,,1.3506426811218262,,,3.122234344482422,7.454475879669189,1.6777126789093018,2.3859517574310303,3.170168399810791,2.386007785797119,1.3885695934295654,77.17280578613281,,4.215280532836914,,3.82003402709961,3.244591236114502,1.6766356229782104,1.4878309965133667,,,,
2024-03-28,1.046123743057251,,,1.3596770763397217,,,3.1917734146118164,7.501846313476562,1.6892664432525637,2.3686625957489014,3.258474111557007,2.368718385696411,1.658432960510254,80.49372863769531,,4.3912224769592285,1.663323998451233,3.932914257049561,3.3960061073303223,1.6841635704040527,1.6743521690368652,,,,
2024-04-30,,,,1.3687114715576172,,,3.839379549026489,7.471545696258545,1.6930075883865356,2.411886215209961,3.2054905891418457,2.41626501083374,1.854697227478028,80.28617858886719,,4.369229316711426,1.8693996667861936,3.861407518386841,3.359954833984375,1.6921361684799194,1.7958078384399414,,,,
2024-05-31,,,,,,,,7.593314170837402,1.697026014328003,2.438883781433105,3.223151206970215,2.4475934505462646,1.864510416984558,81.46809387207031,,4.347236633300781,1.8546799421310425,3.897160768508911,3.3527443408966064,1.70464825630188,1.9432893991470337,,,,
2024-06-28,0.9724324345588684,,,1.4116618633270264,,,3.5988402366638184,7.623915672302246,1.7170920372009275,2.6061720848083496,3.258474111557007,2.5928642749786377,1.972455739974976,82.1856918334961,,4.339906215667725,1.9724373817443848,3.932914257049561,3.2950632572174072,,1.9519647359848025,1.6463829278945925,,,
2024-07-31,,,,,,90.21261596679688,3.7376129627227774,7.733770370483398,1.7291179895401,2.676608800888061,3.2975013256073,2.66770076751709,2.237412691116333,84.01383972167969,,4.495133399963379,2.237391710281372,4.066824913024902,3.4796462059021,1.7242313623428345,2.0647451877593994,1.6708343029022217,,,
2024-08-30,,,,,,90.54601287841795,3.8578827381134033,7.773520946502685,1.750002145767212,2.776819229125977,3.351707220077514,2.7767107486724854,2.2962918281555176,82.21170806884766,,4.3427557945251465,2.286457300186157,3.9034264087677,3.456240653991699,1.7494633197784424,2.396822214126587,1.6803425550460815,,,
2024-09-30,0.9823552370071412,,,1.507038712501526,,93.7775421142578,3.7376129627227774,7.902268886566162,1.770690679550171,2.893266201019287,3.3697762489318848,2.9110679626464844,2.404237031936645,82.0400619506836,,4.563703536987305,2.40421462059021,3.9034264087677,3.5264577865600586,1.7702417373657229,2.423752784729004,,,,
2024-10-31,0.997239351272583,,,,,93.45687103271484,3.9041402339935294,7.888880252838135,1.7655977010726929,3.000755548477173,3.405912637710572,2.991682291030884,2.3298792839050293,83.79823303222656,,4.69322395324707,2.349685907363892,3.86189341545105,3.612279176712036,1.7738935947418213,2.5224978923797607,,,,
2024-11-29,,1.5742193460464478,,1.509350061416626,,93.66175842285156,,7.911303520202637,1.7772254943847656,3.081373453140259,3.442049741744995,3.072296619415283,2.4984235763549805,84.12992858886719,,4.723699569702148,2.488486289978028,4.229692935943604,3.713703870773315,1.7856228351593018,2.504544258117676,,2.309532642364502,2.309894561767578,
2024-12-31,,,,,,93.52572631835938,,8.042033195495605,1.806936264038086,3.2775182723999023,3.45108413696289,3.363877773284912,2.597567319869995,84.62748718261719,92.98391723632812,4.769413471221924,,4.257277011871338,3.705901622772217,1.815435528755188,2.585336208343506,1.6816614866256714,2.174809455871582,2.194399833679199,
2025-01-31,,,,,,95.02661895751952,4.394470691680908,8.037823677062988,1.8104054927825928,3.295726537704468,3.521042823791504,3.281942844390869,2.657053709030152,85.49564361572266,93.57283782958984,5.043692111968994,2.7066006660461426,4.491362571716309,3.859372615814209,1.8146063089370728,2.657151222229004,1.6746976375579834,2.53086256980896,2.550508737564087,
2025-02-28,,,1.561387062072754,1.626351237297058,,94.59262084960938,4.348212718963623,8.07880973815918,1.8127716779708865,3.409664392471313,3.511801242828369,3.409665584564209,2.8949990272521973,87.10539245605469,93.71317291259766,5.104642868041992,2.875143527984619,4.491362571716309,3.88295316696167,1.8125803470611568,2.707468748092652,1.66769278049469,2.588600873947144,2.5986313819885254,
2025-03-31,,,1.579975128173828,1.5648558139801023,,95.85696411132812,,8.037615776062012,1.8163964748382568,3.557508707046509,3.474834442138672,3.5390288829803467,2.805769443511963,87.24847412109375,95.14797973632812,5.051311016082764,2.776000499725342,4.565908432006836,3.8986737728118896,1.8162047863006592,3.0134494304656982,1.6858090162277222,2.501993417739868,2.502385377883911,
2025-04-30,,1.819739818572998,1.567173957824707,1.5506728887557983,,95.71935272216795,4.382410049438477,8.06061840057373,1.8462038040161133,3.7977564334869385,3.4471099376678467,3.7885165214538574,2.756197690963745,88.23884582519531,94.62374114990234,4.997979164123535,2.7660861015319824,4.625983715057373,3.788630723953247,1.8369888067245483,2.9670889377593994,1.6871588230133057,2.4827470779418945,2.4735121726989746,2.170817613601685
