Date,003690.KS,002960.KS,015360.KS,005945.KS,316140.KS,000815.KS,055550.KS,105560.KS,086790.KS,338100.KS,033780.KS,139130.KS,003475.KS,024110.KS,175330.KS,003300.KS,021240.KS,138930.KS,453340.KS,066620.KQ,003650.KS,003610.KS,034950.KQ,016360.KS,001800.KS
2024-07-31,6210.81884765625,296794.34375,7578.92333984375,10512.052734375,14100.5322265625,252915.828125,55666.15234375,82118.53125,58422.16796875,2777.49462890625,85364.9375,7461.90185546875,2660.5634765625,12328.9306640625,12929.9599609375,12186.2314453125,57402.78515625,8415.9208984375,11805.5625,15301.935546875,80347.4296875,2486.92041015625,76978.046875,39410.03125,13270.4873046875
2024-08-30,6330.40185546875,288141.4375,7923.01904296875,10547.2099609375,14351.3671875,241338.703125,52221.9296875,80250.0703125,55893.84375,2768.28759765625,98997.7109375,7672.48291015625,2677.867919921875,12161.6103515625,12679.2412109375,12727.25,61917.61328125,9168.42578125,11225.57421875,16082.2568359375,85328.03125,2825.605712890625,76178.96875,41611.7109375,13892.6796875
2024-09-30,6158.50146484375,273431.53125,8073.0087890625,10380.212890625,14042.52734375,244455.609375,52157.53125,76326.2265625,53622.9453125,2823.530517578125,99638.1796875,7406.9677734375,2509.1494140625,12302.5107421875,13801.7587890625,12310.3994140625,61456.9140625,8157.7333984375,11094.6083984375,16034.677734375,86925.5859375,3111.43994140625,76001.390625,38353.2265625,14132.66796875
2024-10-31,7055.37060546875,280353.8125,8999.419921875,10564.7890625,13979.109375,232878.484375,48210.4765625,85194.7890625,54626.09375,2841.944580078125,100370.1328125,7480.21337890625,2535.10595703125,12416.994140625,16145.6240234375,12381.3525390625,58047.7578125,8518.6953125,10916.8701171875,15920.4833984375,91436.3125,3170.611572265625,75735.03125,40422.80078125,14941.5185546875
2024-11-29,7273.60888671875,297226.96875,8928.8359375,10617.5244140625,15138.75,258704.390625,49808.0859375,90761.2109375,56905.9921875,2938.000244140625,111441.046875,8121.11279296875,2530.77978515625,13103.8916015625,17741.255859375,12505.5205078125,60719.80078125,9529.38671875,12862.63671875,16234.5166015625,84482.2734375,3777.120361328125,78132.2734375,41919.9453125,14337.1025390625
2024-12-30,7130.10986328125,296826.96875,8893.544921875,10687.83984375,13924.751953125,244455.609375,44780.2890625,78213.1484375,51799.03515625,2796.451416015625,97991.265625,7489.36865234375,2491.844970703125,12619.5419921875,14676.201171875,13218.75,64128.7890625,9330.8583984375,13508.107421875,17661.828125,86912.71875,4211.04541015625,77599.546875,41322.27734375,13386.037109375
2025-01-31,7390.2021484375,294497.125,8928.8359375,11267.935546875,14586.1083984375,253361.09375,48022.51953125,86515.6328125,55173.26953125,2830.9755859375,101193.59375,8441.5625,2491.844970703125,13676.306640625,17822.388671875,13303.7275390625,74097.9765625,10973.2353515625,13096.5029296875,17319.35546875,87009.9375,3915.1875,80973.4453125,43317.14453125,13492.6982421875
2025-02-28,7210.828125,294497.125,9229.8935546875,11470.091796875,15618.1943359375,257368.5625,43574.35546875,74609.2421875,55870.38671875,3100.263427734375,93720.9453125,8941.474609375,2491.844970703125,13729.14453125,16138.0341796875,13303.7275390625,77644.7265625,10469.76171875,12834.572265625,17025.806640625,86912.71875,3954.635009765625,81549.421875,43317.14453125,13958.109375
2025-03-31,7327.42138671875,307078.46875,8602.7099609375,11859.447265625,15542.8359375,257867.4375,44714.796875,75276.2421875,55964.28515625,3048.477294921875,96390.5078125,8671.10546875,2639.31982421875,13445.9423828125,16297.16796875,12982.7001953125,77644.7265625,9616.044921875,13358.4326171875,15832.04296875,97217.8046875,3643.984130859375,82292.46875,42984.66796875,15006.60546875
2025-04-30,7753.37841796875,345288.53125,9492.0,13189.833984375,16682.642578125,268334.375,49407.671875,85948.3203125,60565.375,3152.0498046875,109356.9921875,9926.388671875,2884.399658203125,14504.974609375,15978.9013671875,14002.4326171875,84067.1875,9709.8603515625,14876.8427734375,16614.83984375,100328.7734375,3870.80859375,83407.0390625,49586.734375,17122.322265625
2025-05-30,8844.5947265625,375111.03125,9847.7158203125,14577.2373046875,18358.0703125,280704.40625,55847.97265625,100352.1796875,69234.6484375,3192.41357421875,114600.78125,10785.7744140625,3148.33154296875,14883.2001953125,17828.54296875,15871.94140625,85217.4765625,10497.6591796875,16418.13671875,17867.3125,101592.6015625,4072.978271484375,87308.03125,57471.21484375,17693.37890625
2025-06-30,9801.8017578125,398875.84375,10240.875,16905.4140625,21387.580078125,308299.0625,59020.0625,106702.3671875,82186.390625,3235.0263671875,121751.421875,12137.6171875,3511.238037109375,17266.025390625,19415.82421875,16787.8125,92790.2265625,11816.9853515625,16628.748046875,18982.796875,106939.5859375,4329.388671875,91673.4375,69915.390625,20595.466796875
2025-07-31,10203.8291015625,423994.375,11214.4140625,16069.171875,23531.103515625,315911.40625,65909.5078125,106702.3671875,81329.2890625,3284.741455078125,124611.671875,13392.8994140625,3402.83740234375,18362.8828125,21825.083984375,17684.798828125,104389.015625,13848.177734375,16695.759765625,21477.95703125,111314.3828125,4388.56005859375,92416.484375,67255.5703125,20923.12109375
2025-08-29,10376.1259765625,404339.0,11551.408203125,16211.712890625,23816.51953125,313532.53125,63292.50390625,104944.1171875,79123.796875,3231.475341796875,129756.1796875,13238.4033203125,3318.002197265625,17984.65625,22361.318359375,16853.90625,99883.703125,13780.7958984375,15412.9443359375,20793.01171875,106356.28125,4561.14404296875,90558.8671875,65355.69140625,19425.26953125
2025-09-30,10433.55859375,387491.53125,11420.3544921875,17038.453125,24920.916015625,324951.03125,68623.4140625,112024.453125,83936.671875,3444.53955078125,128696.546875,13286.68359375,3492.3857421875,18400.705078125,21837.970703125,15598.125,94419.8046875,13962.625,14821.8056640625,20548.38671875,103536.9609375,4935.0,90001.578125,68110.515625,19004.0
2025-10-31,10155.96875,412294.75,11588.8515625,17409.060546875,24392.728515625,321620.625,71046.5703125,113091.34375,82300.2890625,3355.762939453125,129274.5234375,12774.9140625,3614.92578125,18277.78125,21362.1953125,15277.09765625,85505.046875,13216.1650390625,14704.5595703125,19863.44140625,105870.1875,4990.0,91023.265625,73430.1640625,17796.35546875
2025-11-28,11094.03125,435693.96875,11776.0703125,18026.740234375,25690.283203125,352069.9375,76194.578125,121886.1328125,90675.546875,3659.473876953125,140159.78125,13808.1083984375,3577.22119140625,19431.37109375,23086.80078125,15390.4013671875,82437.6015625,14514.3505859375,15222.39453125,21477.95703125,106356.28125,5870.0,91766.3125,74855.0703125,18957.189453125
2025-12-30,11046.1708984375,421654.4375,12450.05859375,18596.90625,27093.328125,359206.46875,75120.0390625,121788.46875,91453.046875,3630.947998046875,136884.5625,15015.1103515625,3530.09033203125,19809.59765625,24571.638671875,16380.0,83300.328125,15305.166015625,15251.7060546875,23400.0,121700.0,5720.0,92230.71875,75400.0,19331.654296875
2026-01-30,11266.3291015625,407146.90625,14640.5205078125,21761.326171875,29270.470703125,357303.40625,82348.7578125,132043.296875,97284.265625,3594.271728515625,148251.484375,14966.8310546875,4095.658935546875,20944.275390625,24092.658203125,15600.0,79945.296875,16018.8291015625,14919.509765625,21650.0,121800.0,5400.0,90001.578125,90600.0,19565.693359375
2026-02-27,13324.32421875,475472.71875,15460.0,24327.072265625,35526.59375,391558.84375,95476.8203125,156788.1875,119671.25,3838.780029296875,161241.3125,18390.0,4543.40087890625,24348.3125,31023.673828125,17000.0,78507.4296875,19557.869140625,15574.1318359375,23900.0,134900.0,5930.0,102500.0,106800.0,22327.357421875
2026-03-31,12240.0,466500.0,15180.0,24200.0,31628.537109375,356500.0,86411.9453125,139926.0625,104736.90625,3716.52587890625,157385.765625,16710.0,4125.0,21128.044921875,29020.5703125,16760.0,69209.25,17555.9609375,15456.8857421875,21950.0,111700.0,5060.0,99500.0,92400.0,22514.396484375
2026-04-30,12350.0,509000.0,16070.0,27200.0,32911.4453125,372500.0,99167.3359375,158267.3125,125664.640625,3887.681640625,176268.09375,19100.0,4455.0,22365.048828125,26675.474609375,17550.0,84832.875,18380.275390625,16540.0,23600.0,125100.0,5720.0,106300.0,107500.0,25304.22265625
2026-05-29,12850.0,492000.0,15120.0,24600.0,29504.955078125,366000.0,92913.5390625,149581.0,114102.6953125,3815.0,182595.15625,17340.0,4215.0,19990.0,23630.05078125,16320.0,89359.1015625,16651.23828125,16720.0,25500.0,123300.0,5150.0,101200.0,119800.0,24521.11328125
2026-06-30,13280.0,472000.0,14100.0,23950.0,28809.552734375,407000.0,95097.40625,157924.171875,113607.03125,3780.0,167766.09375,16810.0,4090.0,19693.119140625,24519.884765625,16000.0,89656.96875,16878.9296875,16560.0,23650.0,131400.0,5150.0,99700.0,108500.0,23542.2265625
2026-07-31,13770.0,498500.0,14160.0,25250.0,33379.34375,383000.0,100700.0,167359.890625,124313.453125,3805.0,177058.984375,16950.0,4145.0,20650.0,26151.248046875,17850.0,90848.421875,15017.79296875,18080.0,23000.0,138400.0,5230.0,101300.0,99800.0,25500.0
2026-08-31,14280.0,498500.0,14100.0,23400.0,33800.0,426000.0,108900.0,173300.0,136300.0,3855.0,178100.0,18490.0,4270.0,20700.0,28350.0,18920.0,96900.0,15200.0,18900.0,25800.0,137500.0,5490.0,103800.0,88000.0,25800.0
