Date,003690.KS,002960.KS,015360.KS,005945.KS,316140.KS,000815.KS,055550.KS,105560.KS,086790.KS,338100.KS,033780.KS,139130.KS,003475.KS,024110.KS,175330.KS,003300.KS,021240.KS,138930.KS,453340.KS,066620.KQ,003650.KS,003610.KS,034950.KQ,016360.KS,001800.KS
2023-09-27,4799.39208984375,176971.71875,5229.708984375,8001.31982421875,10253.837890625,157915.265625,31992.099609375,49323.89453125,36478.84765625,2200.708251953125,74438.4765625,6776.17626953125,2000.8021240234373,9215.1552734375,8308.25390625,9196.7314453125,37169.33203125,5733.96875,10217.2099609375,12339.671875,64443.7109375,2061.14404296875,67044.40625,30610.9140625,12923.9853515625
2023-10-31,5166.3359375,176586.171875,5269.38818359375,7781.548828125,9952.7470703125,154407.890625,31228.2421875,45934.55078125,33685.99609375,2268.380859375,73575.9296875,6767.5654296875,1984.9852294921875,9182.2744140625,8425.037109375,9147.064453125,38879.29296875,5675.373046875,10289.9306640625,11710.6640625,65437.9375,1945.023193359375,64508.046875,29403.134765625,13423.013671875
2023-11-30,5402.8115234375,186610.71875,5570.94921875,8066.43701171875,10889.4765625,157581.25,33160.3515625,46737.2890625,35791.375,2491.317138671875,76077.3359375,7318.61474609375,2079.885009765625,9724.8251953125,8666.9443359375,9527.8466796875,44999.1875,6001.83349609375,10353.5615234375,12903.9306640625,69143.6796875,1898.574951171875,65353.49609375,32651.642578125,13017.0244140625
2023-12-28,4997.42578125,194258.203125,5678.119140625,7960.62158203125,10872.7509765625,158666.84375,36080.9765625,48253.578125,37295.21875,2390.237548828125,78406.21875,7310.00439453125,2249.58203125,9749.4873046875,9501.1044921875,9906.8564453125,52703.6796875,5976.7197265625,10739.1328125,13579.5166015625,67379.0703125,2099.85107421875,67833.015625,33905.8359375,12977.1669921875
2024-01-31,5297.97021484375,195117.78125,5875.9931640625,8074.57666015625,11608.75,159835.984375,36710.0390625,50483.40625,41076.30078125,2369.427001953125,81744.5859375,7757.7314453125,2176.0380859375,10292.0380859375,9542.814453125,9986.6787109375,50953.03515625,6303.1806640625,11010.41796875,14112.4189453125,69728.4140625,2090.174072265625,68809.671875,33157.26953125,12772.732421875
2024-02-29,5619.48291015625,206721.703125,6564.25048828125,8701.333984375,13019.5771484375,189982.671875,39619.5703125,58061.3671875,50084.9609375,2506.18212890625,83910.0,8111.95703125,2370.713623046875,11508.669921875,11604.2529296875,11503.3056640625,49939.5,6630.1884765625,10963.64453125,13988.708984375,75648.75,2070.82080078125,70496.625,36591.8828125,12710.5126953125
2024-03-29,5801.20751953125,218325.609375,6776.0341796875,9430.9638671875,12668.8583984375,201264.015625,42334.859375,64277.828125,51583.80859375,2538.88427734375,84361.1328125,7828.1298828125,2405.322265625,11888.611328125,11732.7822265625,11077.5849609375,51598.0078125,6868.876953125,11150.736328125,14179.0322265625,73393.3828125,2075.658935546875,74847.1640625,35314.91015625,12443.8583984375
2024-04-30,6121.1318359375,232508.203125,7031.89990234375,9931.9560546875,12589.234375,217293.875,42933.06640625,69919.4609375,52477.81640625,2559.69482421875,80661.875,7764.0400390625,2452.909912109375,12284.8984375,11830.5546875,11219.4921875,51321.59375,7416.9716796875,11375.248046875,14169.515625,73957.2265625,2056.305419921875,75379.8828125,33553.56640625,13110.4931640625
2024-05-31,6038.91943359375,253137.390625,7852.43505859375,9756.1689453125,12536.1552734375,235995.390625,43393.23046875,73433.9375,55159.8125,2648.59423828125,75338.5546875,7544.30322265625,2500.4970703125,12117.5771484375,12994.9443359375,11964.501953125,51966.56640625,7470.0126953125,11253.6376953125,14949.8388671875,74896.9609375,2312.739013671875,78487.421875,31792.228515625,13243.8212890625
2024-06-28,5964.1796875,260019.5,7764.20556640625,9993.4814453125,13159.8994140625,248017.828125,44821.5,73336.8046875,54810.2890625,2691.56103515625,80698.6796875,7342.8779296875,2574.041015625,12346.54296875,13109.044921875,11920.15625,59153.4296875,7487.693359375,11543.6318359375,14635.8056640625,71419.9375,2709.485107421875,79552.859375,35050.7109375,13519.36328125
