Date,BGLC39.SA,REME11.SA,LPLP15.SA,SPXH11.SA,KNCR11.SA,SPYR11.SA,ISTT11.SA,LSOP11.SA,EXIF11.SA,SPDE11.SA,KNUQ11.SA,FLCR11.SA,RCRI11.SA,PACG11.SA,GOAT11.SA,VHFA11.SA,E2LS34.SA,BHVN34.SA,NEXG11.SA,BEUW39.SA,LTNB11.SA,GDIV11.SA,H1SB34.SA,WEJR11.SA,VGIR11.SA
2023-09-29,,,,,69.14266204833984,,,,,,,,,,,,,,,,,,40.44624710083008,,6.325254440307617
2023-10-31,,,,,70.93244934082031,,,,,,69.4117660522461,,,,,,,,,,,,37.38523483276367,,6.316844463348389
2023-11-30,,,,,71.29208374023438,,,,,,69.74845123291016,,,,,,,,,,,,39.089805603027344,,6.381292343139648
2023-12-28,,,,,73.80587768554688,,,,,,70.87350463867188,,,,,,,,82.78440856933594,,,,40.7271614074707,,6.580352783203125
2024-01-31,,,,,74.11590576171875,,,,,,72.95795440673828,,,,,,,,83.6798095703125,,,,40.520416259765625,,6.55241060256958
2024-02-29,,,,,75.1865234375,,,,,,73.69801330566406,70.9300537109375,,,,,,,84.82318878173828,,,,40.2723388671875,,6.633257865905762
2024-03-28,,,,,75.30625915527344,,,,,,73.87012481689453,71.60801696777344,,,,,,,86.2253646850586,,,,42.410457611083984,,6.825747489929199
2024-04-30,,,,,77.16873168945312,,,,,,74.90665435791016,71.890380859375,,,,,,,88.03581237792969,,,,48.91856002807617,,6.79682731628418
2024-05-31,,,,,77.51312255859375,,,,,,76.88030242919922,72.37516021728516,,,,,,,90.13899993896484,,,,52.11119842529297,,6.937774658203125
2024-06-28,,,,,79.39754486083984,,,,,,77.47115325927734,72.35311889648438,,,,,,,91.31401824951172,,,,54.50752639770508,,7.1731157302856445
2024-07-31,,,,,79.99174499511719,,,,,895.0985717773438,77.61027526855469,72.98152923583984,,,,,,,93.85462188720705,,,,57.09162521362305,,7.1587910652160645
2024-08-30,,,,,80.38543701171875,,,,,895.0985717773438,79.39381408691406,74.11454010009766,,,,,,,,,,,57.12263107299805,,7.35615348815918
2024-09-30,,,,,81.89132690429688,,,,,895.0985717773438,80.3264389038086,73.76856231689453,,,,,,,97.74412536621094,,,,55.792930603027344,,7.216969013214111
2024-10-31,,,,,81.18912506103516,,,,,895.0985717773438,78.86663055419922,74.16329956054688,,,,,,,97.74168395996094,,,,60.65039443969727,,7.298353672027588
2024-11-29,,,,,81.6731185913086,,,,,942.1969604492188,79.79403686523438,74.66548156738281,,,,,,,,,,,64.53215789794922,,7.1045756340026855
2024-12-30,,,,,81.5284423828125,,,,,965.48583984375,81.03484344482422,76.77845001220703,,,,,,,109.61991119384766,,,,69.95633697509766,,7.080289363861084
2025-01-31,,,,,81.53409576416016,,,,,966.8758544921876,77.88584899902344,77.4918212890625,,,,,,,111.18685913085938,,,,70.23987579345703,,6.932814121246338
2025-02-28,,,,,82.71096801757812,,,,,1003.4928588867188,81.58002471923828,78.14806365966797,,,,,,,112.85242462158205,,,,79.4417724609375,,7.298269748687744
2025-03-31,,,,,85.46752166748047,,,,,1038.7557373046875,84.60163879394531,78.5787353515625,,,,,,,114.13534545898438,,,,77.11740112304688,,7.534939765930176
2025-04-30,,,,,85.08577728271484,,,,8.548713684082031,1042.674072265625,84.24534606933594,79.45955657958984,,,,,,,116.10931396484376,,,,74.77108764648438,,7.511448860168457
2025-05-30,,,,,87.23420715332031,,,,8.650483131408691,1047.5118408203125,86.31566619873047,80.29801177978516,,,,8.105011940002441,,,117.61199951171876,,,,80.85420227050781,,7.743030548095703
2025-06-30,,,,,88.73262786865234,,,,8.80588150024414,1052.9818115234375,87.50162506103516,80.75335693359375,,,,8.112959861755371,,,118.95075225830078,,,,78.61141967773438,,7.92454719543457
2025-07-31,,,,,89.57427215576172,,,,8.910713195800781,1057.582275390625,88.73662567138672,81.86349487304688,85.72891998291016,,,,,,120.31000518798828,,,,81.68099212646484,,7.918132305145264
2025-08-29,,,,,91.0919418334961,,,,9.370028495788574,1061.4873046875,90.59027099609376,81.98629760742188,86.00760650634766,,,,,,121.20647430419922,,,,84.59486389160156,,8.078224182128906
2025-09-30,,,,,92.00768280029295,,1016.3300170898438,,9.45521068572998,1066.5396728515625,90.99835968017578,83.54010009765625,87.0187759399414,106.17703247070312,52.220001220703125,,,,123.3295440673828,,103.91655731201172,,90.64624786376952,,8.170636177062988
2025-10-31,,,,,94.00303649902344,,1025.75,,9.427209854125977,1070.9613037109375,92.4242172241211,84.48133087158203,86.75635528564453,,52.880001068115234,8.871158599853516,,,119.3847427368164,,,,90.4738998413086,101.30999755859376,8.187614440917969
2025-11-28,,,699.0618286132812,,95.54774475097656,,1035.7900390625,9.635242462158203,9.623967170715332,1076.818603515625,92.5838394165039,85.58411407470703,88.17647552490234,109.43919372558594,53.59999847412109,,,,125.68621063232422,,107.3697280883789,,90.8346176147461,103.27999877929688,8.310604095458984
2025-12-30,,,699.0618286132812,,97.57161712646484,,1050.0699462890625,9.635242462158203,9.719255447387695,1086.572021484375,94.85419464111328,86.93490600585938,91.68203735351562,109.7062530517578,54.15999984741211,,,,123.31822204589844,,107.22711181640624,,105.11703491210938,103.6500015258789,8.754570007324219
2026-01-30,,,699.0618286132812,,98.2514190673828,,1080.97998046875,9.747830390930176,9.64264965057373,1095.5760498046875,96.2227020263672,86.47061157226562,93.90333557128906,110.97000122070312,54.150001525878906,8.77857494354248,,,124.77572631835938,,109.68000030517578,,111.809814453125,104.37999725341795,8.953619003295898
2026-02-27,,,699.0618286132812,,99.77511596679688,,1071.050048828125,10.089004516601562,9.834653854370115,1120.3414306640625,97.88560485839844,87.51284790039062,95.33019256591795,112.98999786376952,54.63999938964844,,,,125.66789245605467,,110.88999938964844,,114.91510772705078,107.51000213623048,8.972878456115723
2026-03-31,,,713.900634765625,,99.41876220703124,,1080.81005859375,10.3326997756958,9.90298843383789,1126.254150390625,98.77220153808594,88.39691925048828,95.00787353515624,113.06999969482422,53.959999084472656,8.768993377685547,,,127.24688720703124,,109.45999908447266,,105.3866729736328,106.52999877929688,9.065592765808104
2026-04-30,,,724.1036376953125,,101.05897521972656,,1091.6800537109375,10.3326997756958,10.001144409179688,1133.41259765625,99.95228576660156,88.8292465209961,97.27240753173828,115.26000213623048,55.61000061035156,8.76899242401123,,,128.725830078125,,110.79000091552734,,112.3029556274414,108.5199966430664,9.148809432983398
2026-05-29,,74.5687026977539,733.8579711914062,,102.50556182861328,,1112.68994140625,10.3326997756958,,1150.8663330078125,100.61051177978516,91.5701141357422,97.7583236694336,115.41999816894533,56.5099983215332,9.597902297973633,,,130.18760681152344,70.88455200195312,111.2699966430664,96.37999725341795,117.2720184326172,108.6999969482422,9.167927742004396
