Date,IVC-B.CR,PGR.CR,IVC-A.CR,CCR.CR
2023-09-29,,0.7070000171661377,,200.0
2023-10-31,,0.7400000095367432,,230.0
2023-11-30,,0.7889999747276306,,329.0
2023-12-29,,0.8339999914169312,,560.0
2024-01-31,,0.7900000214576721,,630.0
2024-02-29,,0.7699999809265137,,615.0
2024-03-27,,0.8199999928474426,,730.0
2024-04-30,,1.2000000476837158,,740.0
2024-05-31,,1.2000000476837158,,767.989990234375
2024-06-28,,1.340000033378601,,715.0
2024-07-31,,2.700000047683716,,800.0
2024-08-30,,2.640000104904175,,600.0
2024-09-30,,3.2799999713897705,,550.0
2024-10-31,,3.049999952316284,,550.0
2024-11-29,,3.180000066757202,,493.0
2024-12-30,,3.400000095367432,,700.0
2025-01-31,,5.5,,780.0
2025-02-28,,7.130000114440918,,555.0
2025-03-31,,11.59000015258789,,470.0
2025-04-30,41.889556884765625,10.789999961853027,85.2250747680664,431.0
2025-05-30,54.93712615966797,11.0,84.33214569091797,450.0
2025-06-30,56.37922668457031,13.449999809265137,84.33214569091797,480.0
2025-07-31,58.841583251953125,14.800000190734863,115.98149871826172,686.0
2025-08-29,106.93119049072266,39.97999954223633,272.829345703125,1198.0
2025-09-30,107.9122085571289,40.5,272.829345703125,1198.0
2025-10-31,166.7145538330078,46.45000076293945,362.1321411132813,4439.0
2025-11-28,146.15237426757812,48.5,436.5329284667969,9000.0
2025-12-30,200.0,70.0,398.989990234375,3000.0
2026-01-30,344.5,112.0,863.0,6790.0
2026-02-27,500.0,120.0,1029.0,7100.0
2026-03-31,479.0,108.0,845.0,6101.0
2026-04-30,530.0,101.5,865.010009765625,6000.009765625
2026-05-29,510.0,99.0,865.010009765625,6000.009765625
2026-06-30,510.0,98.0,865.010009765625,6000.009765625
2026-07-31,474.0499877929688,97.0,791.6199951171875,7199.0
2026-08-31,474.0499877929688,96.0,875.0,7199.0
