Date,XD3E.ST,AMBEA.ST,EXUS.ST,SWED-A.ST,XMN1.ST,ATT.ST,XSWC.ST,AVARDA.ST,CLA-B.ST,SEB-A.ST,XMME.ST,SEB-C.ST,SHB-A.ST,VPAB-B.ST,TELIA.ST,BESQAB-PREF-B.ST,XRS2.ST,TEL2-B.ST,NP3-PREF.ST,XDPU.ST,SHOT.ST,CLAS-B.ST,TINGS-PREF.ST,SHB-B.ST,TEL2-A.ST
2023-09-29,,32.520999908447266,,156.54676818847656,,26.98162269592285,,47.49189376831055,16.12215805053711,105.70038604736328,,106.01034545898438,67.48515319824219,22.83209228515625,18.83220863342285,58.66203689575195,,70.11080169677734,19.96711540222168,,34.206146240234375,110.21766662597656,206.3828125,89.50035095214844,75.73682403564453
2023-10-31,,38.99134063720703,,142.12081909179688,,33.58451843261719,,44.81449508666992,15.795476913452148,100.56301879882812,,104.5425033569336,65.71432495117188,24.377120971679688,20.10582160949707,57.269004821777344,,69.08134460449219,19.59864616394043,,34.56514358520508,110.12354278564452,209.5949859619141,89.19013214111328,73.40032196044922
2023-11-30,,41.64342880249024,,149.58653259277344,,33.01448440551758,,47.49189376831055,16.069181442260742,102.74742126464844,,106.3365249633789,68.7579345703125,25.578807830810547,21.204364776611328,59.17034149169922,,71.80479431152344,21.138242721557617,,39.77523040771485,120.47703552246094,223.3413543701172,94.30886840820312,78.64320373535156
2023-12-29,,49.4680290222168,,158.10211181640625,,34.297061920166016,,54.3128776550293,16.175132751464844,112.29402923583984,,113.18643188476562,75.7098159790039,25.92214775085449,21.91117286682129,65.83293914794922,,75.54080963134766,22.63623046875,,42.73006820678711,148.7138214111328,214.38931274414065,100.9787368774414,78.29368591308594
2024-01-31,,49.70314407348633,,165.4900665283203,,38.71482467651367,,55.77906799316406,16.53713035583496,119.85848999023438,,123.9505615234375,77.85417938232422,25.92214775085449,22.890491485595703,65.83293914794922,,77.56593322753906,22.343379974365234,,44.28572845458984,139.6780548095703,214.3893280029297,108.11394500732422,78.8179702758789
2024-02-29,,57.60298538208008,,176.84417724609375,,35.24711608886719,,54.567867279052734,15.78664493560791,124.4295425415039,,134.8777618408203,85.63613891601562,29.61305046081543,21.40911865234375,63.990535736083984,,75.87251281738281,22.76735496520996,,48.06902313232422,166.12652587890625,220.99835205078125,119.43721771240234,80.91512298583984
2024-03-28,,59.9541244506836,,176.6146240234375,,38.7623291015625,,53.29291534423828,16.060354232788086,126.5927734375,,132.83810424804688,83.78584289550781,29.183874130249023,23.80430030822754,65.93948364257812,,76.72795104980469,23.912084579467773,,57.6423225402832,136.47789001464844,219.3367462158203,114.76275634765624,81.2646484375
2024-04-30,,59.67198944091797,,176.69781494140625,,40.64679718017578,,66.93488311767578,15.35767936706543,126.8984603881836,,128.6321563720703,74.4436264038086,30.98640823364257,22.34481239318848,70.81184387207031,,89.99603271484375,24.51016998291016,,53.52764892578125,126.1243896484375,219.3432159423828,100.69288635253906,92.6242218017578
2024-05-31,,70.0848617553711,,181.439697265625,,41.327484130859375,,68.2098388671875,18.1228084564209,130.2608642578125,,133.71435546875,76.34767150878906,30.98640823364257,24.10515213012696,67.61803436279297,,92.57257080078124,24.855382919311523,,57.43981552124024,143.91357421875,215.1317443847656,102.81184387207033,92.97274780273438
2024-06-28,,75.42420959472656,,181.439697265625,,42.59161758422852,,73.94711303710938,19.26249122619629,136.68002319335938,,139.84803771972656,78.13561248779297,31.348819732666016,25.148969650268555,63.79687881469727,,96.2718505859375,24.51016998291016,,59.09672546386719,165.6559295654297,213.4379425048828,103.7441864013672,95.68069458007812
2024-07-31,,76.72296142578125,,189.6756134033203,,45.50885009765625,,81.9155502319336,21.46712112426757,144.10354614257812,,147.7342071533203,83.74713897705078,30.98640823364257,27.97007751464844,62.9661865234375,,99.42979431152344,26.23769187927246,,59.97121810913086,159.8203125,233.1854705810547,112.13526153564452,101.0965805053711
2024-08-30,,87.73836517333984,,182.52117919921875,,46.77298355102539,,80.32186126708984,21.597904205322266,137.9900665283203,,144.57974243164062,81.96693420410156,33.43270492553711,28.60800743103028,66.19489288330078,,105.11406707763672,26.325439453125,,63.2390251159668,164.90293884277344,253.91891479492188,112.89807891845705,104.70716857910156
2024-09-30,,86.58391571044922,,179.1103515625,,46.48126220703125,,84.14671325683594,22.849685668945312,135.5883331298828,,136.69357299804688,80.68982696533203,32.97968673706055,29.50650215148925,68.06673431396484,,103.67044067382812,27.55395698547364,,64.89594268798828,160.87339782714844,276.5675964355469,113.06759643554688,102.9018783569336
2024-10-31,,87.69026184082031,,179.85906982421875,,46.09230041503906,,99.44611358642578,24.998266220092773,131.39622497558594,,133.71435546875,85.75955200195312,32.617271423339844,28.25279235839844,71.29989624023438,,103.89759063720705,27.42020606994629,,63.28505325317383,167.0755157470703,270.4241638183594,121.62818908691406,104.2515640258789
2024-11-29,,92.35617065429688,,177.86248779296875,,47.25919342041016,,110.60192108154295,24.306983947753903,132.31324768066406,,134.4153289794922,87.84935760498047,33.160892486572266,29.156230926513672,71.71676635742188,,106.50316619873048,27.197275161743164,,62.272491455078125,187.9718780517578,265.1272888183594,123.49286651611328,106.11320495605467
2024-12-30,,92.8852996826172,,181.6060943603516,,49.59298324584961,,116.33920288085938,23.54096984863281,132.2695770263672,,133.3638458251953,88.39115905761719,35.154170989990234,27.98815155029297,72.06491088867188,,101.66423797607422,26.662248611450195,,65.60221862792969,200.3761138916016,270.447509765625,126.0356216430664,101.45911407470705
2025-01-31,,89.56624603271484,,200.90640258789065,,49.88470458984375,,117.61415100097656,26.436880111694336,137.11671447753906,,141.42526245117188,95.0475845336914,34.61054992675781,29.77676582336425,73.97967529296875,,114.7852020263672,27.111103057861328,,73.8144302368164,227.4744415283203,282.0624084472656,140.86831665039062,114.49055480957033
2025-02-28,,106.88302612304688,,214.88250732421875,,60.77571105957031,,119.52658081054688,25.87638282775879,150.78469848632812,,156.49661254882812,104.37432861328124,34.24813461303711,32.422733306884766,75.6136245727539,,118.74009704589844,27.15644264221192,,81.16722869873047,233.45046997070312,288.3560485839844,168.49954223632812,119.14464569091795
2025-03-31,,105.34375762939452,,207.1818084716797,,58.441925048828125,,108.37076568603516,26.4929313659668,143.6668701171875,,147.7342071533203,98.80646514892578,34.338741302490234,33.61774063110352,75.07988739013672,,126.13809204101562,27.02043342590332,,70.80647277832031,224.39002990722656,300.1637268066406,147.71383666992188,124.72955322265624
2025-04-30,,112.3666763305664,,218.0908966064453,,63.79018783569336,,113.4705581665039,27.316335678100582,143.050048828125,,152.8731689453125,110.3331527709961,35.063568115234375,33.999473571777344,76.50318908691406,,132.3728790283203,26.974321365356445,,71.28392791748047,264.2944641113281,300.62969970703125,174.9315643310547,130.87295532226562
