Date,MONET.PR,ERBAG.PR,DBK.PR,SABFG.PR,PKO.PR,KOFOL.PR,KOMB.PR,VIG.PR,UQA.PR,DSPW.PR,TABAK.PR,CEZ.PR,EFORU.PR,VOLVB.PR,EOAN.PR,VOE.PR,DTE.PR,GEN.PR,CTPNV.PR,WPS.PR,TOMA.PR,PVT.PR,FTSHP.PR,PRAB.PR,FILL.PR
2023-09-29,64.15690612792969,796.5164184570312,252.673828125,807.0819091796875,177.6031951904297,239.5297393798828,508.0056762695313,632.2891235351562,185.319564819336,,13963.98046875,860.6306762695312,138.714111328125,413.8571472167969,277.2714233398437,632.84228515625,480.8268127441406,423.8695068359375,,,1295.72900390625,1.600000023841858,,256.0,180.0
2023-10-31,68.67391204833984,823.4983520507812,251.8767547607422,807.0819091796875,217.35501098632807,240.4235382080078,514.0533447265625,614.365966796875,181.5436248779297,,13003.7529296875,872.486328125,137.9643096923828,461.5335388183594,276.97265625,585.1747436523438,499.5060119628906,393.9493103027344,306.2002868652344,,1249.452880859375,1.600000023841858,,232.0,190.0
2023-11-30,66.83648681640625,894.0897216796875,275.1913146972656,825.6893920898438,258.2177429199219,246.67990112304688,522.7468872070312,633.284912109375,186.1145172119141,,12775.90234375,867.65625,,461.5335388183594,290.26617431640625,626.2606201171875,530.687744140625,479.8585510253906,331.6249084472656,26.55408096313477,1258.7080078125,1.600000023841858,,238.0,190.0
2023-12-29,71.65973663330078,898.1718139648438,301.8934020996094,825.6893920898438,278.1178283691406,246.67990112304688,547.693603515625,647.22509765625,180.4506072998047,,12710.802734375,841.74951171875,134.965087890625,461.5335388183594,308.6878662109375,704.0446166992188,537.661376953125,508.7897033691406,353.73321533203125,27.153045654296875,1249.452880859375,1.7999999523162842,,240.0,100.0
2024-01-31,75.79395294189453,991.6629638671876,298.75494384765625,825.6893920898438,281.9992980957031,246.67990112304688,570.7504272460938,652.2037963867188,189.8904571533203,,13020.0283203125,764.4684448242188,133.46548461914062,461.5335388183594,310.6794128417969,686.2939453125,559.9766845703125,552.685302734375,365.7085571289063,26.753734588623047,1249.452880859375,1.7400000095367432,75.0,238.0,150.0
2024-02-29,78.85633087158203,931.127685546875,312.30523681640625,817.8997802734375,320.3302307128906,242.2110748291016,616.8640747070312,677.0969848632812,199.7277984619141,,12629.427734375,703.4338989257812,,461.5335388183594,297.73443603515625,640.4213256835938,556.2907104492188,495.4466857910156,348.0218505859375,23.359603881835938,1295.72900390625,1.0800000429153442,,230.0,150.0
2024-03-28,78.09073638916016,1037.4625244140625,371.6377868652344,825.6893920898438,335.1773986816406,241.3173065185547,635.007080078125,721.9049072265625,199.9265289306641,,12873.552734375,735.0488891601562,128.9666290283203,478.7692565917969,319.98980712890625,651.19140625,560.8733520507812,518.8969116210938,385.0533752441406,21.36305809020996,1258.7080078125,1.590000033378601,,232.0,152.0
2024-04-30,79.74958038330078,1105.16650390625,378.71185302734375,872.1446533203125,349.7334289550781,241.3173065185547,657.3079223632812,730.866455078125,208.2733764648437,,13020.0283203125,764.0293579101562,140.21372985839844,478.7692565917969,313.1190185546875,636.8312377929688,536.5072631835938,488.96044921875,368.72406005859375,20.165128707885746,1267.9632568359375,1.100000023841858,65.0,240.0,155.0
2024-05-31,83.52322387695312,1114.249755859375,375.2482299804688,863.9168090820312,320.2331848144531,265.4490051269531,649.5330810546875,729.2138061523438,202.7088165283203,,13193.77734375,832.9675903320312,161.95809936523438,478.7692565917969,301.8992614746094,661.3631591796875,530.5216674804688,563.92724609375,384.5816040039063,20.76409149169922,1277.218505859375,1.100000023841858,,234.0,155.0
2024-06-28,85.70353698730469,1101.77490234375,370.8094787597656,855.68896484375,352.1594543457031,271.70538330078125,653.2900390625,755.1502685546875,198.69200134277344,,13475.9970703125,818.7645874023438,160.45849609375,478.7692565917969,307.7337341308594,638.2273559570312,576.6106567382812,568.9176635742188,,19.965473175048828,1309.481201171875,1.7699999809265137,,274.0,155.0
2024-07-31,90.2319107055664,1215.545166015625,367.5178527832031,872.1446533203125,336.8270874023437,285.31103515625,677.9188232421875,756.1478271484375,199.0905914306641,,13546.552734375,841.5597534179688,158.95887756347656,478.7692565917969,331.1217346191406,608.9776000976562,612.5241088867188,608.841796875,386.6452331542969,20.76409149169922,1243.0582275390625,1.1100000143051147,,260.0,155.0
2024-08-30,91.40593719482422,1235.5050048828125,370.6099548339844,885.631103515625,328.4365234375,279.6983642578125,640.7669067382812,783.0818481445312,195.20443725585932,,13387.8046875,804.3432006835938,161.95809936523438,555.3723754882812,321.6468811035156,545.2845458984375,647.0409545898438,592.0015869140625,409.9077453613281,21.16340446472168,1252.547119140625,1.7000000476837158,,266.0,155.0
2024-09-30,93.25082397460938,1231.512939453125,385.6219177246094,885.631103515625,334.504150390625,310.5680847167969,666.2305908203125,761.1356201171875,188.7275238037109,,13493.6357421875,819.2298583984375,166.2281951904297,555.3723754882812,338.7514953613281,535.9002685546875,663.9003295898438,608.9730224609375,401.84478759765625,23.758913040161133,1252.547119140625,1.7000000476837158,95.0,274.0,155.0
2024-10-31,97.27603912353516,1288.3980712890625,390.858642578125,885.631103515625,319.1392822265625,310.5680847167969,671.2398681640625,740.1869506835938,184.3431396484375,,14322.6572265625,839.2337646484375,158.43624877929688,569.7354125976562,314.16668701171875,499.1619567871094,705.6995849609375,675.8602294921875,372.4322509765625,24.75718879699707,1271.525146484375,1.399999976158142,,270.0,160.0
2024-11-29,105.64161682128906,1290.89306640625,399.0877685546875,885.631103515625,313.0716247558594,355.469482421875,680.4234619140625,739.1893310546875,184.3431396484375,,14287.3798828125,894.5934448242188,,564.9476928710938,307.3847045898437,461.3255004882813,760.86669921875,736.8837280273438,,26.55408096313477,1309.481201171875,1.6699999570846558,93.0,268.0,160.0
2024-12-30,106.32872009277344,1483.5040283203125,412.9027404785156,894.0657348632812,348.7925109863281,366.6948547363281,708.3917846679688,754.1527099609375,193.8094024658203,,14798.9033203125,890.4065551757812,156.70469665527344,555.3723754882812,309.179931640625,463.12249755859375,730.3402099609375,639.031982421875,,24.95684242248535,1423.34912109375,1.399999976158142,100.0,268.0,88.0
2025-01-31,117.83763885498048,1499.970703125,474.14739990234375,885.631103515625,361.80865478515625,383.5328674316406,743.8740234375,811.0134887695312,203.2756805419922,,15134.0390625,989.9608764648438,181.8120880126953,555.3723754882812,289.9808349609375,509.3449096679688,801.06982421875,654.0092163085938,380.2628479003906,24.95684242248535,1281.0142822265625,1.350000023841858,93.0,260.0,158.0
2025-02-28,116.8069839477539,1617.2340087890625,514.4950561523438,885.631103515625,415.43890380859375,402.2417907714844,870.7750244140625,894.8081665039062,220.0160217285156,312.6272888183594,15116.400390625,951.8138427734376,,727.729248046875,308.63140869140625,563.0546875,865.8137817382812,673.1062622070312,396.4970703125,19.865646362304688,1281.0142822265625,1.5,102.0,250.0,158.0
2025-03-31,125.73928833007812,1595.77734375,535.5416870117188,894.0657348632812,450.2790222167969,417.20892333984375,932.5558471679688,1015.5125122070312,244.52867126464844,298.8348999023437,15786.671875,1063.463623046875,187.0067138671875,727.729248046875,343.88787841796875,593.6033935546875,857.9328002929688,619.1779174804688,395.9241333007813,18.76754570007324,1356.9261474609375,1.5,98.0,256.0,146.0
2025-04-30,124.86774444580078,1477.01708984375,565.4657592773438,919.3694458007812,417.2004699707031,411.5962219238281,889.142333984375,1025.4881591796875,248.1158905029297,296.9959411621094,15716.1162109375,1038.3424072265625,216.4429626464844,745.8856811523438,379.3936767578125,562.2560424804688,785.0064697265625,549.2706909179688,396.30609130859375,18.56789207458496,1281.0142822265625,1.4700000286102295,117.0,266.0,106.0
2025-05-30,132.42990112304688,1760.97900390625,608.1193237304688,940.5726928710938,443.4284362792969,450.8849792480469,928.179443359375,1074.8270263671875,304.4153137207031,301.1336364746094,16298.1962890625,1123.9405517578125,320.3355712890625,706.6285400390625,387.5316467285156,562.2560424804688,831.747314453125,624.2939453125,405.8556213378906,19.965473175048828,1337.9481201171875,1.399999976158142,124.0,260.0,107.0
2025-06-30,133.53656005859375,1778.473876953125,620.9007568359375,949.530517578125,425.8126525878906,490.1737060546875,927.265869140625,1078.8226318359375,281.5282592773437,311.6188659667969,16505.9375,1192.8558349609375,320.3355712890625,706.6285400390625,383.4865417480469,553.0714721679688,767.7283325195312,632.284912109375,422.08984375,24.98706817626953,1363.5211181640625,1.2599999904632568,119.0,260.0,125.0
2025-07-31,138.51649475097656,1966.418212890625,721.1556396484375,949.530517578125,462.414306640625,499.0,940.0557250976562,1128.7681884765625,298.49981689453125,330.562255859375,16411.509765625,1209.3023681640625,335.9194641113281,706.6285400390625,391.8264465332031,609.56982421875,777.5159301757812,649.2656860351562,439.279052734375,25.38686180114746,1353.7816162109375,1.4700000286102295,110.0,258.0,100.0
