Date,BLEKEDROS.AT,BOCHGR.AT,OPTIMA.AT,GD.AT,ETE.AT,BRIQ.AT,EUROB.AT,PPC.AT,TPEIR.AT,TITC.AT,EVROF.AT,ASCO.AT,ANDRO.AT,PROF.AT,AKTR.AT,PPA.AT,ALPHA.AT,EEE.AT,VIDAVO.AT,LAMPS.AT,SAR.AT,ALMY.AT,FOODL.AT,AVAX.AT,MEVA.AT
2023-09-29,2.460584878921509,,,1209.3399658203125,4.710651874542236,1.6139246225357056,1.2959939241409302,8.80184555053711,2.5152664184570312,15.611475944519045,0.8942949771881104,1.9350279569625848,5.387734889984131,3.933445930480957,3.0,19.246078491210938,,24.21885108947754,2.900000095367432,29.200000762939453,6.845034599304199,2.397271156311035,0.3379999995231628,1.243589162826538,3.2678098678588867
2023-10-31,2.5947980880737305,,2.166499853134156,1193.0999755859375,4.763580322265625,1.5592865943908691,1.3697208166122437,8.92229175567627,2.497364282608032,15.611475944519045,0.8568376302719116,1.918054223060608,5.431317329406738,3.63962197303772,3.009999990463257,18.41499710083008,,22.66232109069824,2.440000057220459,29.200000762939453,7.310683727264404,2.447007179260254,0.328000009059906,1.2214808464050293,3.016439914703369
2023-11-30,2.7111170291900635,,2.395355463027954,1275.1300048828125,5.541632175445557,1.6307364702224731,1.502073884010315,10.006308555603027,2.91806697845459,17.4107666015625,0.9645275473594666,1.9010798931121824,5.382533073425293,4.170400142669678,3.470000028610229,20.3396053314209,,23.57956314086914,2.900000095367432,29.0,7.292057037353516,2.586267471313477,0.4239999949932098,1.4075586795806885,3.4653148651123047
2023-12-29,2.8811209201812744,,2.380098819732666,1293.1400146484375,5.548688888549805,1.5887070894241333,1.4301235675811768,10.339851379394531,2.8643605709075928,18.91899299621582,1.1237215995788574,2.0283846855163574,5.252441883087158,4.028227806091309,4.570000171661377,20.29586601257324,,24.47827339172364,2.400000095367432,30.0,7.804271221160889,3.0537850856781006,0.4300000071525574,1.7133893966674805,3.411449909210205
2024-01-31,2.979544162750244,,2.239733457565308,1367.4100341796875,6.201476097106934,1.6265333890914917,1.587348222732544,11.340482711791992,3.356672525405884,21.035802841186523,1.2548223733901978,2.113254308700561,5.593932151794434,3.8386638164520255,4.945000171661377,21.87054252624512,,25.145357131958008,2.4600000381469727,29.600000381469727,8.176789283752441,2.884683132171631,0.4300000071525574,1.510730504989624,3.4653148651123047
2024-02-29,2.9884917736053467,,2.29771089553833,1424.77001953125,6.390254497528076,1.622330665588379,1.6979385614395142,11.173711776733398,3.643108606338501,23.15261459350586,1.5638457536697388,2.1981239318847656,5.675239086151123,3.96187973022461,5.5,22.6141414642334,,26.942777633666992,2.4600000381469727,29.200000762939453,8.539996147155762,2.7056338787078857,0.3840000033378601,1.5420504808425903,3.662819862365722
2024-03-28,3.015334367752075,,2.5143604278564453,1422.3499755859375,6.400840759277344,1.622330665588379,1.58290696144104,10.775311470031738,3.469456434249878,23.417213439941406,1.7043110132217407,2.266019821166992,5.593932151794434,4.179878234863281,5.380000114440918,25.19486618041992,,27.331911087036133,2.259999990463257,32.0,10.933430671691896,2.6757922172546387,0.3899999856948852,1.462829351425171,3.483270168304444
2024-04-30,3.024282217025757,,3.2466983795166016,1448.47998046875,6.669012546539307,1.6601568460464478,1.7854337692260742,10.41397190093994,3.3790504932403564,26.23962783813477,1.5685278177261353,2.2745065689086914,5.593932151794434,4.445267200469971,5.400000095367432,21.69557762145996,,28.128705978393555,2.1600000858306885,33.400001525878906,11.082437515258787,2.8448941707611084,0.382999986410141,1.367026925086975,3.5550899505615234
2024-05-31,3.042177438735962,,3.655587673187256,1431.8399658203125,7.039513111114502,1.6601568460464478,1.7872103452682495,10.395442008972168,3.2295663356781006,26.724729537963867,1.4748845100402832,2.3339152336120605,5.760138988494873,4.672743320465088,5.199999809265137,22.04550743103028,,29.84856414794922,2.1600000858306885,36.59999847412109,10.428326606750488,2.715580940246582,0.4580000042915344,1.367026925086975,3.474292278289795
2024-06-28,3.0869152545928955,,3.800509452819824,1404.260009765625,6.866612911224365,1.6466333866119385,1.795204758644104,10.41397190093994,3.0487537384033203,26.535728454589844,1.3952875137329102,2.5291152000427246,5.453385353088379,4.312249183654785,5.099999904632568,21.87054252624512,,30.058496475219727,2.1600000858306885,36.59999847412109,10.257370948791504,2.6210827827453613,0.44200000166893,1.2509585618972778,3.4922473430633545
