Date,BN-PFL.TO,BN-PFM.TO,NA-PK.TO,FFN-PA.TO,SERV.V,NA-PI.TO,ENB-PFC.TO,PIC-PA.TO,TRP-PD.TO,PVS-PV.TO,RY-PS.TO,ENB-PFA.TO,ENB-PB.TO,CSE-PA.TO,RBCY.NE,NA-PS.TO,NPI-PA.TO,POW.TO,ENB-PFG.TO,ACO-X.TO,ENB-PY.TO,ENB-PT.TO,IGM.TO,FFH-PK.TO,FTS-PM.TO
2023-09-29,,,,7.734075546264648,,,12.11201000213623,10.754043579101562,13.033387184143066,,17.602731704711914,12.59983730316162,11.687357902526855,10.388830184936523,,15.414987564086914,12.23244285583496,30.384002685546875,11.730313301086426,30.473182678222656,11.92227554321289,12.578856468200684,30.036779403686523,14.779541015625,14.424467086791992
2023-10-31,,,,7.753352165222168,,,12.363470077514648,10.580632209777832,12.75732707977295,,17.652690887451172,12.963457107543944,11.728079795837402,9.809159278869627,,15.349775314331056,12.094124794006348,29.35597801208496,12.03330898284912,31.491907119750977,12.30471897125244,12.783058166503906,27.22056007385254,14.448274612426758,14.29719352722168
2023-11-30,,,,7.963233470916748,,,13.265029907226562,10.879705429077148,13.844836235046388,,19.157962799072266,13.721280097961426,12.94301700592041,10.271370887756348,,16.489944458007812,12.967251777648926,32.993621826171875,13.050314903259276,32.8206787109375,13.005799293518066,13.662036895751951,29.374141693115234,15.747858047485352,15.145590782165527
2023-12-29,,,,8.138737678527832,,,13.060559272766112,11.154525756835938,13.958182334899902,,19.303354263305664,13.652501106262209,13.367514610290527,10.476799011230469,,16.294246673583984,13.875596046447754,33.75876998901367,12.708270072937012,34.69521713256836,12.794666290283203,13.479434967041016,31.01178550720215,16.23694610595703,15.09395694732666
2024-01-31,10.212550163269045,,,8.226592063903809,,,14.227743148803713,11.369808197021484,15.02797031402588,,19.54828643798828,14.95928955078125,13.833630561828612,11.717912673950195,,17.738080978393555,14.672239303588867,34.91702651977539,14.16415309906006,33.735198974609375,14.069910049438477,14.865559577941896,32.21646881103516,17.24797248840332,16.229875564575195
2024-02-29,,,,8.258336067199707,,,14.54025173187256,11.468317985534668,15.206265449523926,,19.71299934387207,15.12035083770752,13.90473461151123,11.630792617797852,,18.203516006469727,14.751029014587402,34.934844970703125,,33.79057312011719,14.368661880493164,15.191936492919922,31.57870483398437,17.239334106445312,16.186063766479492
2024-03-28,11.368330955505373,,,8.331360816955566,,,14.747719764709473,11.84594440460205,15.99587345123291,,20.22013092041016,15.216325759887695,14.269757270812988,11.7266263961792,,19.69461441040039,14.534419059753418,34.3460807800293,14.6839599609375,34.28147888183594,14.522797584533691,15.309770584106444,31.449575424194336,17.99201774597168,16.56085968017578
2024-04-30,,,,8.396660804748535,,,15.14537525177002,11.870844841003418,16.0938777923584,,20.88600730895996,15.975397109985352,14.36313247680664,12.129961013793944,,20.427940368652344,14.755983352661133,33.17047500610352,15.01224136352539,34.154205322265625,15.096513748168944,15.991510391235352,30.981388092041016,18.474729537963867,17.057687759399414
2024-05-31,,,,8.487364768981934,,,15.41069221496582,11.991677284240724,16.51536750793457,,22.01307678222656,16.006933212280273,14.834299087524414,12.059077262878418,,20.69810485839844,15.332039833068848,35.78395462036133,,36.375770568847656,15.52978515625,16.43982696533203,32.782108306884766,19.220739364624023,17.908348083496094
2024-06-28,11.657366752624512,,,8.528671264648438,,,15.419459342956545,12.16667938232422,16.730409622192383,,21.977855682373047,15.918449401855469,15.041890144348145,11.873007774353027,,21.046703338623047,15.52083683013916,34.89036178588867,15.419525146484377,35.869537353515625,15.3475923538208,16.41424560546875,34.51787185668945,19.29785919189453,17.49372100830078
2024-07-31,11.993175506591797,,,8.671432495117188,,,15.910355567932127,12.602806091308594,17.44437599182129,,22.29524612426757,16.794452667236328,15.48302936553955,12.84275245666504,,21.65570640563965,15.144030570983888,36.6706657409668,15.993607521057127,39.42242813110352,15.772708892822266,17.26693344116211,35.75162506103516,19.476133346557617,17.67015838623047
2024-08-30,,,,8.730371475219727,,,16.220932006835938,12.585890769958496,18.42666244506836,,22.652681350708008,16.911611557006836,15.773089408874512,13.131149291992188,,22.26684761047364,15.924558639526367,37.964599609375,16.273738861083984,41.85239028930664,15.87574577331543,17.887523651123047,36.26341247558594,19.96637535095215,18.402660369873047
