Date,AAGEET.JO,KST.JO,ART.JO,SDO.JO,GLD.JO,CPI.JO,ETFGLD.JO,AEL.JO,SBP.JO,OCT.JO,SAALG.JO,SYGT40.JO,FNBEQF.JO,ETFWLD.JO,FTB.JO,SYGEMF.JO,STXEME.JO,SEA.JO,STXWDM.JO,STXILB.JO,SYGESG.JO,STX40.JO,ETFT40.JO,PMR.JO,MTM.JO
2023-09-29,,1308.9775390625,1547.69287109375,515.7053833007812,32820.67578125,171528.046875,34294.0,798.5510864257812,6398.8818359375,900.8866577148438,10452.0,6692.5068359375,7712.060546875,7616.82421875,319.1484069824219,1532.2833251953125,4663.77001953125,748.1544799804688,7620.58984375,723.1564331054688,4497.6103515625,6740.28125,6689.623046875,6045.9208984375,1972.6260986328125
2023-10-31,,1444.871337890625,1438.85498046875,460.7367858886719,34700.75390625,165402.15625,36427.0,852.4532470703125,6597.81591796875,881.9521484375,10199.0,6451.04443359375,7462.05029296875,7297.0751953125,312.16705322265625,1477.001953125,4488.25,758.1298828125,7361.97021484375,713.2009887695312,4358.2509765625,6408.77490234375,6358.33837890625,6015.94140625,2094.170166015625
2023-11-30,,1513.958740234375,1503.75830078125,499.7145080566406,35737.890625,195968.109375,37436.0,978.462890625,7097.65087890625,887.6506958007812,10835.0,6912.2001953125,8192.08203125,8070.52197265625,344.0818786621094,1618.875732421875,4877.9501953125,767.48974609375,8138.81982421875,750.3530883789062,4805.3779296875,6988.673828125,6930.6240234375,6269.77001953125,2008.2860107421875
2023-12-29,,1533.945068359375,1499.3143310546875,521.7019653320312,35522.69921875,202529.65625,37467.0,1023.392333984375,7697.451171875,952.4791870117188,10941.0,7006.880859375,8272.291015625,8204.0263671875,343.2772827148437,1602.9739990234375,4878.52978515625,817.3915405273438,8238.830078125,765.8512573242188,4847.2783203125,7084.671875,7024.4248046875,6294.75341796875,2186.045654296875
2024-01-31,,1574.9169921875,1582.2210693359375,492.7185363769531,35534.17578125,199695.140625,37027.0,994.437744140625,7247.60009765625,981.402587890625,10603.0,6762.4638671875,8491.51171875,8514.6142578125,366.22894287109375,1512.4449462890625,4695.64013671875,848.3306884765625,8478.98046875,762.8440551757812,4946.71728515625,6806.3515625,6750.560546875,7050.244140625,2094.170166015625
2024-02-29,,1517.9560546875,1817.9561767578125,492.7185363769531,36566.0,201671.09375,38215.0,1028.384521484375,6813.74462890625,982.3999633789062,10288.0,6615.98974609375,9085.7802734375,9115.0,354.2541809082031,1655.9954833984375,5072.0,833.360107421875,9133.0,749.4734497070312,5367.00537109375,6632.2001953125,6634.60302734375,6495.6181640625,2081.187744140625
2024-03-28,,1528.948486328125,1855.9134521484373,484.7231140136719,39025.0,209469.0,40740.0,1099.2730712890625,6997.68359375,977.4131469726562,10459.0,6877.9501953125,9323.7216796875,9289.0,367.2268371582031,1716.9952392578125,5122.0,818.3896484375,9330.0,753.4706420898438,5474.98486328125,6877.3251953125,6896.39111328125,6105.880859375,2029.2576904296875
2024-04-30,,1509.9615478515625,1847.9222412109373,469.832275390625,40111.0,232663.828125,41975.0,1138.2119140625,6728.349609375,966.4421997070312,10784.0,7130.9111328125,9016.7958984375,8955.0,355.2520446777344,1726.9952392578125,5057.0,773.4779663085938,8965.0,748.5431518554688,5305.0166015625,7103.48974609375,7080.74560546875,6036.92724609375,2058.81201171875
2024-05-31,,1619.1844482421875,2037.709228515625,454.8376159667969,40615.0,212909.46875,42435.0,1282.984619140625,6598.38134765625,986.3893432617188,10940.0,7135.91015625,9182.98828125,9134.0,384.1911315917969,1756.9952392578125,5083.0,825.3758544921875,9197.0,746.5443115234375,5430.9931640625,7143.4521484375,7100.72998046875,6145.85400390625,2125.740966796875
2024-06-28,,1733.126953125,2157.57421875,524.8126220703125,39317.0,262800.59375,41120.0,1309.285400390625,6898.3076171875,1000.9683837890624,11315.0,7405.869140625,9291.9658203125,9209.0,384.3902587890625,1837.994873046875,5178.0,863.7101440429688,9263.0,769.5303955078125,5490.98193359375,7429.06298828125,7310.57470703125,7084.22119140625,2287.569091796875
