Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
172,"Citizens Financial Group, Inc.",CFG.MX,21.55,0.346,0.097,Yes
173,"Corporativo GBM, S.A.B. de C.V.",GBMO.MX,14.04,0.233,0.808,Yes
174,GSK plc,GSKN.MX,16.35,0.271,0.087,Yes
175,"Merck & Co., Inc.",MRK.MX,15.08,0.253,0.452,No
176,"MercadoLibre, Inc.",MELIN.MX,21.33,0.349,0.23,Yes
177,B2Gold Corp.,BTGN.MX,32.59,0.515,0.717,Yes
178,TISI Inc.,3626N.MX,10.51,0.183,0.036,No
179,"Kuo, S.A.B. de C.V.",KUOB.MX,12.19,0.212,0.264,Yes
180,"Hasbro, Inc.",HAS.MX,17.09,0.293,0.155,No
181,Solstice Advanced Materials Inc,SOLS.MX,33.72,0.545,2.881,Yes
182,Financiera Independencia S.A.B. de C.V. SOFOM E.N.R.,FINDEP.MX,38.96,0.621,1.54,Yes
183,Southwest Airlines Co.,LUV.MX,22.7,0.387,0.042,No
184,Veeva Systems Inc.,VEEV.MX,25.47,0.431,1.693,No
185,"Cadence Design Systems, Inc.",CDNS.MX,16.86,0.297,0.256,No
186,TransDigm Group Incorporated,TDG.MX,13.67,0.247,0.478,No
187,Fideicomiso Irrevocable F/2061 FHipo,FHIPO14.MX,6.97,0.131,0.123,No
188,Regional S.A.B. de C.V.,RA.MX,14.17,0.26,1.085,Yes
189,"DocuSign, Inc.",DOCU.MX,25.44,0.448,0.194,No
190,DraftKings Inc.,DKNG1.MX,23.94,0.428,1.4,No
191,Ferrari N.V.,RACEN.MX,17.36,0.319,0.006,No
192,"Alterna Asesoría Internacional, S.A.B. de C.V.",ALTERNAB.MX,7.77,0.151,0.327,Yes
193,"Cirrus Logic, Inc.",CRUS.MX,16.1,0.303,0.319,Yes
194,"Kuo, S.A.B. de C.V.",KUOA.MX,9.37,0.184,0.395,Yes
195,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",GAPB.MX,19.08,0.361,1.276,Yes
196,"Tesla, Inc.",TSLA.MX,29.88,0.544,0.269,Yes
197,"Crocs, Inc.",CROX.MX,17.75,0.339,0.123,No
198,Lockheed Martin Corporation,LMT.MX,14.17,0.275,0.31,Yes
199,"NetApp, Inc.",NTAP.MX,22.79,0.439,0.718,No
200,"Fastly, Inc.",FSLY.MX,59.28,1.01,1.759,Yes
201,"Zoom Communications, Inc.",ZM.MX,15.85,0.315,0.246,No
202,Oracle Corporation,ORCL.MX,28.47,0.543,0.5,No
203,"MongoDB, Inc.",MDB.MX,32.44,0.614,0.495,No
204,Realty Income Corporation,O.MX,9.04,0.189,0.57,Yes
205,The Walt Disney Company,DIS.MX,14.25,0.298,0.44,No
206,The Sherwin-Williams Company,SHW.MX,12.61,0.268,0.239,Yes
207,"Moderna, Inc.",MRNA.MX,54.47,1.026,0.17,Yes
208,PBF Energy Inc.,PBF.MX,28.69,0.592,0.001,Yes
209,Vertiv Holdings Co,VRT.MX,29.47,0.608,1.27,Yes
210,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",OMAB.MX,14.6,0.323,1.292,Yes
211,"T-Mobile US, Inc.",TMUS.MX,11.6,0.263,0.463,No
212,"ServiceNow, Inc.",NOWW.MX,21.77,0.476,0.449,No
213,"Rocket Companies, Inc.",RKT.MX,28.45,0.615,0.658,Yes
214,Fair Isaac Corporation,FICO1.MX,18.8,0.425,0.085,No
215,Alibaba Group Holding Limited,BABAN.MX,19.82,0.456,0.306,Yes
216,The Kroger Co.,KR.MX,12.56,0.299,0.459,No
217,"Prologis, Inc.",PLD.MX,12.04,0.289,0.575,Yes
218,"GCC, S.A.B. de C.V.",GCC.MX,9.53,0.232,0.575,Yes
219,"American International Group, Inc.",AIG.MX,6.45,0.16,0.091,Yes
220,"Autodesk, Inc.",ADSK.MX,15.53,0.38,0.843,No
221,"Intuitive Surgical, Inc.",ISRG.MX,13.28,0.33,0.087,No
222,IQVIA Holdings Inc.,IQV.MX,16.67,0.409,0.078,No
223,Kimco Realty Corporation,KIM.MX,5.18,0.134,0.013,Yes
224,Shake Shack Inc.,SHAK.MX,24.0,0.576,0.435,No
225,Eagle Materials Inc.,EXP.MX,13.77,0.345,0.096,No
226,Honeywell International Inc.,HON.MX,7.67,0.198,0.077,No
227,Cognex Corporation,CGNX.MX,19.65,0.486,0.223,No
228,"Ulta Beauty, Inc.",ULTA.MX,13.86,0.351,0.375,Yes
229,"Zscaler, Inc.",ZS.MX,18.32,0.463,0.753,No
230,"Upstart Holdings, Inc.",UPST.MX,35.06,0.84,0.764,No
231,Fortuna Mining Corp.,FVIN.MX,20.15,0.511,0.656,Yes
232,"First Solar, Inc.",FSLR.MX,22.96,0.58,0.211,Yes
233,Keel Infrastructure Corp.,KEEL.MX,73.37,1.583,14.761,Yes
234,Thermo Fisher Scientific Inc.,TMO.MX,11.96,0.32,0.275,No
235,"Dropbox, Inc.",DBX.MX,11.05,0.297,0.022,Yes
236,"Five Below, Inc.",FIVE.MX,23.75,0.61,0.376,No
237,"Fideicomiso Irrevocable No. F/3277 en Banco Invex, S. A. Institución de Banca Múltiple, INVEX Grupo",EDUCA18.MX,5.69,0.159,0.307,No
238,"Dollar Tree, Inc.",DLTR.MX,11.22,0.308,0.169,Yes
239,"EOG Resources, Inc.",EOG.MX,10.73,0.3,0.806,No
240,Veralto Corporation,VLTO.MX,7.63,0.218,0.311,No
241,AstraZeneca PLC,AZN1N.MX,8.3,0.237,0.245,No
242,S&P Global Inc.,SPGI.MX,9.05,0.259,0.229,No
243,GoDaddy Inc.,GDDY.MX,15.5,0.442,0.601,No
244,Grupo Gicsa S.A.B. de C.V.,GICSAB.MX,9.1,0.275,0.09,Yes
245,HP Inc.,HPQ.MX,12.88,0.385,0.76,No
246,"Stanley Black & Decker, Inc.",SWK.MX,12.5,0.376,0.016,No
247,"USA Rare Earth, Inc.",USAR.MX,45.94,1.25,1.959,Yes
248,Stryker Corporation,SYK.MX,6.76,0.214,0.407,No
249,"AutoZone, Inc.",AZO.MX,7.43,0.248,0.331,No
250,3D Systems Corporation,DDD.MX,23.24,0.727,1.654,Yes
251,Trip.com Group Limited,TCOMN.MX,10.21,0.338,0.435,No
252,NXP Semiconductors N.V.,NXPIN.MX,9.14,0.316,0.074,Yes
253,"Corsair Gaming, Inc.",CRSR.MX,24.89,0.831,0.087,No
254,"Amkor Technology, Inc.",AMKR.MX,30.9,1.016,2.293,No
255,"Genomma Lab Internacional, S.A.B. de C.V.",LABB.MX,7.9,0.296,0.033,No
256,Symbotic Inc.,SYM.MX,21.29,0.76,0.553,No
257,Ambev S.A.,ABEVN.MX,6.16,0.239,0.909,Yes
258,Banco Bradesco S.A.,BBDN.MX,9.25,0.356,0.784,Yes
259,Public Storage,PSA.MX,5.96,0.238,0.332,No
260,Sunrun Inc.,RUN.MX,22.08,0.868,2.469,Yes
261,UP Fintech Holding Limited,TIGRN.MX,12.86,0.525,1.05,No
262,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",VOLARA.MX,13.37,0.548,1.081,Yes
263,"Tyson Foods, Inc.",TSN.MX,6.11,0.262,0.16,Yes
264,Vale S.A.,VALEN.MX,6.33,0.271,0.715,Yes
265,Medtronic plc,MDTN.MX,4.4,0.195,0.028,Yes
266,Centene Corporation,CNC.MX,11.97,0.515,0.352,Yes
267,"Esentia Energy Development, S. de R. L. de C. V.",ESENTIAII.MX,5.05,0.23,0.777,No
268,"Ambarella, Inc.",AMBAN.MX,9.98,0.456,0.096,Yes
269,"The Home Depot, Inc.",HD.MX,4.88,0.23,0.063,Yes
270,Alibaba Group Holding Limited,9988N.MX,10.05,0.467,0.827,Yes
271,Murphy USA Inc.,MUSA1.MX,7.9,0.375,0.978,No
272,The Boeing Company,BA.MX,6.85,0.331,0.634,Yes
273,Toyota Motor Corporation,TMN.MX,4.81,0.237,0.076,No
274,MSCI Inc.,MSCI.MX,4.75,0.235,0.075,No
275,Abbott Laboratories,ABT.MX,5.19,0.257,0.362,No
276,Bilibili Inc.,BILIN.MX,12.56,0.606,0.594,No
277,"Waste Connections, Inc.",WCNN.MX,4.29,0.216,0.263,No
278,Atlassian Corporation,TEAM.MX,16.67,0.805,1.465,No
279,"Axon Enterprise, Inc.",AXON.MX,11.09,0.549,0.366,No
280,"FuelCell Energy, Inc.",FCEL.MX,22.42,1.114,1.712,Yes
281,Kohl's Corporation,KSS.MX,11.17,0.582,0.013,Yes
282,"Bit Digital, Inc.",BTBTN.MX,16.33,0.848,0.247,Yes
283,Regal Rexnord Corporation,RRX.MX,3.71,0.219,0.223,No
284,"Grupo Televisa, S.A.B.",TLEVISACPO.MX,7.46,0.435,1.146,Yes
285,Fideicomiso Irrevocable db/1616,FINN13.MX,3.46,0.207,0.298,No
286,"BWX Technologies, Inc.",BWXT.MX,9.15,0.534,0.325,Yes
287,"Sitios Latinoamérica, S.A.B. de C.V.",LASITE.MX,6.07,0.37,0.845,Yes
288,ConocoPhillips,COP.MX,4.65,0.291,0.464,No
289,"Chipotle Mexican Grill, Inc.",CMG.MX,4.64,0.296,0.34,No
290,"Kyndryl Holdings, Inc.",KD.MX,8.95,0.565,1.102,No
291,GE HealthCare Technologies Inc.,GEHC.MX,4.41,0.29,0.224,No
292,Microchip Technology Incorporated,MCHP.MX,7.94,0.515,0.156,Yes
293,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",VESTA.MX,3.47,0.235,1.172,Yes
294,"Synopsys, Inc.",SNPS.MX,5.67,0.383,1.243,No
295,The Cigna Group,CI.MX,4.69,0.318,0.073,No
296,FuboTV Inc.,FUBO.MX,22.6,1.454,1.494,Yes
297,Actinver Casa de Bolsa - SMART TRAC 14 ETF,SMARTRC14.MX,1.24,0.092,0.15,No
298,"CEVA, Inc.",CEVA.MX,7.1,0.548,1.76,No
299,"Old Dominion Freight Line, Inc.",ODFL.MX,3.86,0.305,0.292,No
300,L'Oréal S.A.,ORN.MX,1.66,0.139,0.073,Yes
