Rank,Name,Ticker,Return (%),Risk
104,"FORLIFE Co., Ltd.",3477.T,19.07,0.131
105,"Noritake Co., Limited",5331.T,43.27,0.273
106,Nojima Corporation,7419.T,54.19,0.33
107,"Nicca Chemical Co.,Ltd.",4463.T,42.96,0.272
108,"Nippon Felt Co., Ltd.",3512.T,44.48,0.28
109,TOLI Corporation,7971.T,35.25,0.231
110,Toenec Corporation,1946.T,50.98,0.317
111,"Riken Vitamin Co., Ltd.",4526.T,20.97,0.145
112,"Kojima Co.,Ltd.",7513.T,36.31,0.237
113,MIRAIT ONE Corporation,1417.T,28.97,0.195
114,NPR-Riken Corporation,6209.T,46.6,0.294
115,"Nagase & Co., Ltd.",8012.T,32.71,0.218
116,"PS Construction Co., Ltd.",1871.T,56.03,0.345
117,"Nihon Parkerizing Co., Ltd.",4095.T,22.24,0.154
118,ITOCHU Corporation,8001.T,31.03,0.209
119,"Applied Co.,Ltd.",3020.T,29.91,0.203
120,"Chugoku Marine Paints, Ltd.",4617.T,52.39,0.329
121,"World Co., Ltd.",3612.T,34.37,0.23
122,"Nihon Tokushu Toryo Co., Ltd.",4619.T,38.16,0.252
123,Token Corporation,1766.T,25.65,0.178
124,"Japan Securities Finance Co., Ltd.",8511.T,27.6,0.19
125,FUJIKURA COMPOSITES Inc.,5121.T,43.51,0.283
126,UACJ Corporation,5741.T,58.3,0.362
127,UEKI Corporation,1867.T,31.3,0.214
128,"Nakanishi Mfg. Co., Ltd.",5941.T,26.53,0.187
129,"Toyo Securities Co., Ltd.",8614.T,48.99,0.319
130,"Hitachi, Ltd.",6501.T,54.09,0.346
131,Fujitsu Limited,6702.T,36.2,0.247
132,"Yamato Kogyo Co., Ltd.",5444.T,28.44,0.199
133,"Hayashikane Sangyo Co.,Ltd.",2286.T,26.89,0.19
134,"The Towa Bank, Ltd.",8558.T,45.85,0.303
135,Toyota Tsusho Corporation,8015.T,48.21,0.316
136,"NHK Spring Co., Ltd.",5991.T,60.25,0.382
137,"Takasago Thermal Engineering Co., Ltd.",1969.T,59.01,0.376
138,"CELSYS, Inc.",3663.T,49.71,0.327
139,"Tokai Soft Co., Ltd.",4430.T,23.82,0.172
140,"Tokyo Radiator Mfg.Co.,Ltd.",7235.T,49.57,0.328
141,SoftBank Corp.,9434.T,17.21,0.128
142,"SK Japan Co.,Ltd.",7608.T,45.64,0.307
143,"Foster Electric Company, Limited",6794.T,61.76,0.395
144,"Tokyo Theatres Company, Incorporated",9633.T,24.0,0.176
145,"Kamigumi Co., Ltd.",9364.T,22.59,0.166
146,"MITSUI-SOKO HOLDINGS Co., Ltd.",9302.T,40.85,0.282
147,Toda Corporation,1860.T,31.36,0.224
148,"SAXA, Inc.",6675.T,57.83,0.379
149,Harima B.Stem Corporation,9780.T,35.6,0.251
150,Nohmi Bosai Ltd.,6744.T,44.32,0.304
151,Noritz Corporation,5943.T,21.48,0.16
152,"Sato Foods Industries Co., Ltd.",2814.T,36.34,0.256
153,"Computer Management Co., Ltd.",4491.T,37.87,0.266
154,"Yuasa Funashoku Co., Ltd.",8006.T,34.3,0.244
155,ASICS Corporation,7936.T,66.83,0.428
156,"Raito Kogyo Co., Ltd.",1926.T,31.77,0.228
157,"Koryojyuhan Co., Ltd.",3495.T,20.9,0.157
158,Tosei Corporation,8923.T,32.06,0.231
159,"Denyo Co., Ltd.",6517.T,32.5,0.234
160,Toyo Denki Seizo K.K.,6505.T,49.94,0.338
161,Nakano Corporation,1827.T,65.94,0.424
162,"Nihon Kagaku Sangyo Co., Ltd.",4094.T,38.35,0.27
163,Meiwa Corporation,8103.T,23.14,0.173
164,Asia Pile Holdings Corporation,5288.T,42.86,0.298
165,"NANSO Transport Co.,Ltd.",9034.T,34.0,0.244
166,Ocean System Corporation,3096.T,19.87,0.151
