Rank,Name,Ticker,Return (%),Risk
90,PT Indo Oil Perkasa Tbk,OILS.JK,51.48,0.73
91,PT Wijaya Cahaya Timber Tbk,FWCT.JK,54.96,0.771
92,PT Eagle High Plantations Tbk,BWPT.JK,46.25,0.668
93,PT Bali Towerindo Sentra Tbk,BALI.JK,43.61,0.636
94,PT Paperocks Indonesia Tbk,PPRI.JK,61.75,0.868
95,PT Gozco Plantations Tbk,GZCO.JK,46.85,0.696
96,PT Indonesia Fibreboard Industry Tbk,IFII.JK,15.02,0.251
97,PT Wilmar Cahaya Indonesia Tbk.,CEKA.JK,15.52,0.259
98,PT Sinar Mas Agro Resources and Technology Tbk,SMAR.JK,28.85,0.459
99,PT Indonesian Paradise Property Tbk,INPP.JK,23.71,0.385
100,PT Pelayaran Kurnia Lautan Semesta Tbk,KLAS.JK,38.17,0.593
101,PT Jaya Agra Wattie Tbk,JAWA.JK,123.45,1.512
102,PT Visi Media Asia Tbk,VIVA.JK,96.62,1.265
103,PT Gunung Raja Paksi Tbk,GGRP.JK,26.84,0.438
104,PT Bank CIMB Niaga Tbk,BNGA.JK,10.23,0.179
105,PT Megapower Makmur Tbk,MPOW.JK,27.91,0.465
106,PT Alsok Indonesia Services Tbk,SOSS.JK,69.47,1.023
107,PT Tempo Inti Media Tbk,TMPO.JK,116.53,1.518
108,PT Indofood Sukses Makmur Tbk,INDF.JK,10.86,0.198
109,PT Surya Citra Media Tbk,SCMA.JK,33.95,0.566
110,PT Hensel Davest Indonesia Tbk,HDIT.JK,119.85,1.583
111,PT Sentul City Tbk,BKSL.JK,38.78,0.647
112,PT Sat Nusapersada Tbk,PTSN.JK,23.56,0.421
113,PT Bank Ganesha Tbk,BGTG.JK,22.48,0.408
114,PT Wahana Pronatural Tbk,WAPO.JK,34.55,0.602
115,PT Golden Energy Mines Tbk,GEMS.JK,24.6,0.446
116,PT Primadaya Plastisindo Tbk,PDPP.JK,23.43,0.427
117,PT Kusuma Kemindo Sentosa Tbk,KKES.JK,47.98,0.805
118,PT Mineral Sumberdaya Mandiri Tbk,AKSI.JK,63.97,1.03
119,PT Andalan Perkasa Abadi Tbk,NASA.JK,50.83,0.866
120,PT Saraswanti Indoland Development Tbk,SWID.JK,27.34,0.509
121,PT Metropolitan Land Tbk,MTLA.JK,22.92,0.436
122,PT Mastersystem Infotama Tbk,MSTI.JK,10.7,0.214
123,PT Bakrieland Development Tbk,ELTY.JK,84.0,1.313
124,PT Bayu Buana Tbk,BAYU.JK,14.53,0.29
125,PT Sentral Mitra Informatika Tbk,LUCK.JK,21.53,0.417
126,PT Ulima Nitra Tbk,UNIQ.JK,56.45,0.975
