Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
86,Safran SA,SAF.VI,37.6,0.241,0.838,Yes
87,SNP Schneider-Neureither & Partner SE,SHFG.VI,14.68,0.103,0.482,Yes
88,Spotify Technology S.A.,SPOT.VI,56.83,0.352,0.482,No
89,Engie SA,ENGI.VI,32.85,0.223,0.557,Yes
90,Philip Morris International Inc.,PMOR.VI,31.42,0.215,0.517,Yes
91,Newmont Corporation,NEWM.VI,60.31,0.376,0.941,Yes
92,MTU Aero Engines AG,MTX.VI,32.5,0.222,0.499,Yes
93,Heidelberg Materials AG,HEI.VI,40.12,0.268,0.47,Yes
94,"Kinder Morgan, Inc.",KMI.VI,30.46,0.211,0.299,No
95,International Consolidated Airlines Group S.A.,IAG.VI,56.33,0.359,1.371,Yes
96,Elmos Semiconductor SE,ELMO.VI,80.1,0.477,0.933,Yes
97,Broadcom Inc.,BROA.VI,79.23,0.474,0.443,Yes
98,Parker-Hannifin Corporation,PH.VI,38.1,0.26,0.563,Yes
99,Bank of America Corporation,BOAC.VI,34.53,0.24,0.586,Yes
100,Vodafone Group Public Limited Company,VOD.VI,25.23,0.182,0.239,Yes
101,Helvetia Baloise Holding AG,HBAN.VI,13.96,0.105,0.067,No
102,Roche Holding AG,ROGP.VI,30.56,0.219,0.733,Yes
103,Unibail-Rodamco-Westfield SE,UL.VI,40.14,0.28,1.134,Yes
104,Terna S.p.A.,TRN.VI,17.6,0.133,0.315,Yes
105,Telecom Italia S.p.A.,TIT2.VI,45.61,0.313,0.836,Yes
106,MLP SE,MLP.VI,36.0,0.256,0.693,Yes
107,Hilton Worldwide Holdings Inc.,HLTW.VI,27.91,0.205,0.348,Yes
108,Sandoz Group AG,SDZ.VI,38.08,0.271,1.224,Yes
109,Telekom Austria AG,TKA.VI,22.49,0.17,0.609,Yes
110,General Motors Company,GMOT.VI,41.26,0.292,0.412,Yes
111,"Altria Group, Inc.",ALTR.VI,25.93,0.195,0.084,Yes
