Date,BGLC39.SA,REME11.SA,PORD11.SA,LPLP15.SA,SPXH11.SA,SNME11.SA,KNOX11.SA,F2RT34.SA,SNEL11.SA,SPYR11.SA,ISTT11.SA,LSOP11.SA,BINC11.SA,KNIP11.SA,ARXD11.SA,S2EI34.SA,AFHI11.SA,VXXV11.SA,KNSC11.SA,VHFA11.SA,AJFI11.SA,VGIR11.SA,BONY34.SA,CXCO11.SA,ROST34.SA
2025-09-30,,,6.9574480056762695,,,8.064033508300781,89.95496368408203,,7.365644454956055,,1016.3300170898438,,86.1482925415039,78.55097198486328,6.5028605461120605,,82.70535278320312,685.0,7.743477821350098,,7.18347692489624,8.170636177062988,572.5081787109375,52.88923645019531,47.92093276977539
2025-10-31,,,7.097648620605469,,,8.14763069152832,91.1985855102539,,7.373501300811768,,1025.75,,87.14181518554688,79.29891204833984,6.581948757171631,,84.41468048095703,683.0,7.823397159576416,8.871158599853516,7.220707416534424,8.187614440917969,578.1190795898438,53.97947311401367,52.65337371826172
2025-11-28,,,7.159752368927002,699.0618286132812,,8.405877113342285,91.96538543701172,,7.531817436218262,,1035.7900390625,9.635242462158203,87.56607055664062,80.79631805419922,6.670894145965576,,85.22259521484375,683.0,7.778271675109863,,7.356100559234619,8.310604095458984,594.864501953125,56.92951202392578,58.86967468261719
2025-12-30,,,7.323290824890137,699.0618286132812,,8.582466125488281,94.31867980957033,,7.6840739250183105,,1050.0699462890625,9.635242462158203,91.63912963867188,82.83658599853516,6.976980686187744,,87.1563720703125,720.0,8.005270957946777,,7.598381996154785,8.754570007324219,647.2225341796875,61.62603759765625,62.41305541992188
2026-01-30,,,7.470704078674316,699.0618286132812,,8.769733428955078,93.44086456298828,,7.818361759185791,,1080.97998046875,9.747830390930176,94.49803161621094,84.65302276611328,7.213798522949219,,88.83740997314453,728.0,8.418209075927734,8.77857494354248,7.835414409637451,8.953619003295898,625.9164428710938,65.63273620605469,61.127227783203125
2026-02-27,,,7.783903121948242,699.0618286132812,,8.772041320800781,96.32645416259766,,7.882964134216309,,1071.050048828125,10.089004516601562,95.81484985351562,86.21394348144531,7.370419025421143,,88.88858032226562,728.0,8.520015716552734,,7.959777355194092,8.972878456115723,621.7593994140625,67.84310913085938,65.18511962890625
2026-03-31,,,7.85847806930542,713.900634765625,,8.772137641906738,97.12022399902344,,7.956336975097656,,1080.81005859375,10.3326997756958,97.2516098022461,85.75545501708984,7.454280376434326,,89.05265045166016,745.0,8.454398155212402,8.768993377685547,7.96903657913208,9.065592765808104,610.8992919921875,68.3122787475586,70.32952117919922
2026-04-30,,,8.016931533813477,724.1036376953125,,8.873496055603027,97.57781219482422,,8.05990982055664,,1091.6800537109375,10.3326997756958,96.29066467285156,89.73088073730469,7.642757415771484,74.38935852050781,92.31919860839844,755.0,8.74766731262207,8.76899242401123,8.065630912780762,9.148809432983398,670.6497192382812,69.4026107788086,70.69601440429688
2026-05-29,,74.5687026977539,7.967314720153809,733.8579711914062,,8.939167022705078,98.91999816894533,38.44826889038086,8.098243713378906,,1112.68994140625,10.3326997756958,96.30010223388672,89.07968139648438,7.566520690917969,75.18603515625,92.2263412475586,762.0,8.814464569091797,9.597902297973633,8.259687423706055,9.167927742004396,728.9779052734375,67.0173568725586,73.11563110351562
2026-06-30,87.12000274658203,75.14600372314453,8.158483505249023,743.6854248046875,56.5099983215332,8.98712158203125,100.25,40.560001373291016,8.041193962097168,112.5999984741211,1126.5,10.3326997756958,99.2987060546875,89.78828430175781,7.807493209838867,74.30000305175781,92.96261596679688,777.6199951171875,8.881994247436523,10.32443618774414,8.169806480407715,9.29238510131836,742.9790649414062,67.73390197753906,75.78982543945312
2026-07-31,88.83000183105469,76.1821060180664,8.185834884643555,760.2931518554688,56.95000076293945,9.18221950531006,102.3000030517578,43.869998931884766,8.137611389160156,113.33000183105467,1151.9599609375,10.600000381469728,102.89627075195312,89.99462127685547,7.670691013336182,81.83000183105469,92.41033172607422,790.0,8.891575813293457,10.556663513183594,8.048612594604492,9.202980041503906,796.3200073242188,69.26085662841797,79.84051513671875
2026-08-31,92.4000015258789,78.0999984741211,8.341999053955078,772.9113159179688,58.59000015258789,9.211273193359377,102.98999786376952,43.869998931884766,8.157008171081543,116.91000366210938,1148.3800048828125,10.899999618530272,102.55999755859376,90.63999938964844,7.730000019073486,88.55000305175781,92.81138610839844,790.0,9.050000190734863,10.470000267028809,8.284608840942383,9.440271377563477,839.1599731445312,69.33999633789062,74.23819732666016
