Date,OTP.BD,MOL.BD,BAYER.BD,VIG.BD,BET.BD,BASF.BD,RABA.BD,EON.BD,CHOME.BD,DMKER.BD,ANY.BD,ALTEO.BD,AKKO.BD,4IG.BD,STRT.BD,SAP.BD,NUTEX.BD,ENEFI.BD,BIF.BD,UBM.BD,BMW.BD,OPUS.BD,GRNT.BD
2025-09-30,27901.837890625,2538.29248046875,10983.9140625,17858.65625,7064.20166015625,16453.138671875,2270.0,6251.49951171875,45.0,37.400001525878906,7052.4140625,4500.0,268.0,2600.0,1000.0,89995.828125,16.450000762939453,255.0,363.7799987792969,1220.0,33624.8984375,533.81591796875,14450.0
2025-10-31,31208.43359375,2784.783447265625,10371.9189453125,17418.689453125,6715.96630859375,16598.123046875,3600.0,6349.49169921875,60.0,37.0,6530.01318359375,4670.0,263.0,4015.0,990.0,92345.7265625,17.0,254.0,374.1199951171875,1100.0,31515.216796875,519.5681762695312,13750.0
2025-11-28,33270.1953125,2737.7431640625,11657.9091796875,18698.59375,6467.22705078125,17103.06640625,3700.0,5835.53271484375,60.0,36.79999923706055,6641.9560546875,4390.0,264.0,4730.0,1090.0,80236.28125,15.800000190734863,235.0,356.260009765625,1160.0,33874.859375,511.9693603515625,12850.0
2025-12-30,34135.74609375,2765.96728515625,14169.8896484375,25498.08203125,6516.974609375,17208.0546875,2990.0,6249.49951171875,48.0,32.0,6623.298828125,4410.0,249.0,4170.0,1140.0,79656.3125,14.0,223.0,324.29998779296875,1180.0,36194.5078125,521.4678344726562,12500.0
2026-01-30,39426.30078125,3697.364501953125,17221.865234375,25598.07421875,8307.8994140625,17483.0234375,3980.0,6807.455078125,56.0,31.0,7145.7001953125,4640.0,270.0,3955.0,1100.0,64996.98828125,13.699999809265137,228.0,317.7200012207031,1180.0,33454.921875,522.417724609375,12450.0
2026-02-27,38230.08984375,3319.16064453125,15799.876953125,24798.134765625,8407.39453125,18197.94140625,3720.0,7403.4072265625,46.0,32.900001525878906,7015.099609375,4530.0,255.0,3515.0,1060.0,64077.03125,15.600000381469728,239.0,328.0599975585937,1100.0,33534.91015625,515.7687377929688,10700.0
2026-03-31,34446.953125,3721.825439453125,15077.8818359375,23348.244140625,7561.6806640625,20207.71484375,3410.0,7389.408203125,42.79999923706055,31.5,6343.44140625,4080.0,229.0,2600.0,1000.0,56887.3671875,15.0,228.0,264.1399841308594,925.0,30415.3828125,445.0049133300781,9200.0
2026-04-30,40457.1796875,3891.17041015625,13695.0,23098.26171875,13730.419921875,19901.75,3080.0,6810.0,38.400001525878906,32.599998474121094,6884.49951171875,4130.0,250.0,2320.0,980.0,53407.52734375,14.800000190734863,222.0,267.8999938964844,1020.0,28285.70703125,311.5509338378906,9080.0
2026-05-28,40460.0,3560.0068359375,13370.0,22500.0,10944.5380859375,18152.0,2540.0,6500.0,20.0,29.200000762939453,7453.54345703125,3620.0,234.0,2156.0,980.0,53500.0,13.199999809265137,220.0,276.0,1000.0,26540.0,316.3001708984375,8700.0
2026-06-30,45950.0,3480.979248046875,17000.0,23050.0,10845.0419921875,16680.0,2245.0,6410.0,15.0,30.600000381469727,7350.9287109375,3550.0,234.0,1821.0,920.0,49100.0,13.449999809265137,212.0,256.0,930.0,20580.0,359.0,8780.0
2026-07-31,46820.0,4261.84765625,16965.0,23950.0,11840.0,18494.0,2205.0,6814.0,18.0,30.0,6720.0,3830.0,238.0,1753.0,860.0,57280.0,13.199999809265137,228.0,281.0,950.0,22130.0,358.0,9060.0
2026-08-31,45240.0,4755.7705078125,17850.0,26500.0,12100.0,19406.0,3460.0,6482.0,26.0,34.79999923706055,6650.0,4170.0,248.0,1581.0,910.0,69420.0,13.0,220.0,276.0,900.0,22610.0,319.5,8720.0
