Date,RBI.PR,PKO.PR,FACC.PR,PKN.PR,RWE.PR,MOL.PR,ERBAG.PR,VOE.PR,OMV.PR,COLT.PR,UQA.PR,SABFG.PR,EFORU.PR,TABAK.PR,CEZ.PR,SHELL.PR,KOMB.PR,EOAN.PR,DBK.PR,DSPW.PR,KOFOL.PR,WPS.PR,GEN.PR,FILL.PR,PRAB.PR
2025-09-30,723.9087524414062,395.6371154785156,213.4468231201172,501.5014953613281,919.9624633789062,17.144407272338867,2025.4007568359373,711.8975830078125,1109.2774658203125,749.94287109375,305.48809814453125,967.4461669921876,249.34228515625,16996.9609375,1245.09765625,752.65283203125,949.1913452148438,387.18206787109375,727.1469116210938,452.7471618652344,485.5653991699219,27.98551750183105,618.4173583984375,90.0,258.0
2025-10-31,784.41748046875,445.7478637695313,213.4468231201172,568.5201416015625,1029.3746337890625,19.211820602416992,2159.361083984375,818.0226440429688,1146.6688232421875,746.05712890625,308.98223876953125,973.4152221679688,259.7315368652344,16996.9609375,1250.90234375,789.5867309570312,987.5609741210938,395.72174072265625,751.9110717773438,430.9622497558594,466.3730773925781,25.98655128479004,568.4644165039062,90.0,258.0
2025-11-28,842.5299072265625,438.4194030761719,252.93698120117188,527.3388061523438,1068.7431640625,18.757997512817383,2255.332763671875,895.3681030273438,1155.642822265625,702.3428344726562,362.8919067382813,973.4152221679688,259.7315368652344,17525.75390625,1233.4884033203125,798.9249877929688,1065.2137451171875,368.0052490234375,738.9298706054688,379.8150939941406,460.6153869628906,26.586240768432617,569.5877685546875,90.0,250.0
2025-12-30,924.606201171875,485.2620544433594,262.9344787597656,539.2180786132812,1098.11962890625,19.08071517944336,2474.26806640625,913.755126953125,1152.1529541015625,719.8285522460938,375.3710021972656,973.4152221679688,258.0,17487.982421875,1252.837158203125,770.962646484375,1061.5595703125,388.8300476074219,823.8069458007812,394.4962158203125,463.97406005859375,29.78458595275879,539.6094360351562,95.0,250.0
2026-01-30,1047.4210205078125,527.0540161132812,281.92974853515625,616.8289794921875,1309.550048828125,25.857797622680664,2677.2080078125,965.5186157226562,1210.4833984375,809.2000122070312,382.85845947265625,991.7815551757812,256.2684631347656,19027.15234375,1142.548828125,770.962646484375,1137.38525390625,435.9231567382813,803.8358764648438,405.388671875,458.6961669921875,35.58158493041992,509.631103515625,95.0,254.0
2026-02-27,1028.9488525390625,524.2810668945312,322.419677734375,648.803955078125,1320.1416015625,22.75163650512696,2443.277099609375,1124.20654296875,1343.09814453125,859.7142944335938,402.8250122070313,1000.9647216796876,258.0,18885.51171875,1127.06982421875,834.2659301757812,1073.435791015625,478.4717102050781,759.7996826171875,393.0754699707031,457.7365417480469,32.183345794677734,468.7803649902344,75.0,248.0
2026-03-31,885.4652099609375,487.7378540039063,321.419921875,744.4317626953125,1398.6787109375,25.09134292602539,2288.322998046875,1124.20654296875,1525.568115234375,878.1714477539062,365.3877258300781,1019.3310546875,252.8053741455078,17790.15234375,1160.93017578125,984.134033203125,985.7338256835938,468.7334899902344,619.5028686523438,367.9754638671875,431.8269348144531,29.98448181152344,419.8033142089844,95.0,210.0
2026-04-30,1099.5,548.7421875,314.4216613769531,756.1129760742188,1496.7999267578125,27.57223892211914,2325.0,1023.27783203125,1483.6898193359375,1033.5999755859375,392.9415588378906,1065.246826171875,256.2684631347656,17941.236328125,1158.0279541015625,899.2088012695312,1010.4000244140624,452.2999877929688,646.3638916015625,381.70941162109375,454.8576965332031,32.383243560791016,428.799072265625,90.0,240.0
2026-05-29,1204.0,591.8215942382812,401.3999938964844,812.4403076171875,1333.199951171875,26.22085762023925,2502.0,1132.7005615234375,1487.67822265625,1020.0,411.5104675292969,1060.0,283.9731750488281,18696.65625,1215.10693359375,849.6214599609375,988.5,439.25,680.2999877929688,415.3339538574219,503.798095703125,31.78355026245117,499.8960266113281,57.0,238.0
2026-06-30,1343.0,584.1961059570312,441.5,707.7000122070312,1375.0,26.543577194213867,2833.0,1062.75,1319.5,1020.0,423.3999938964844,1050.0,285.7047119140625,17700.0,1242.0,801.642822265625,972.5,440.8500061035156,718.7000122070312,495.3697814941406,493.0,28.600000381469727,521.8914184570312,70.0,222.0
2026-07-31,1430.5,619.8480224609375,405.5,821.5,1399.0,29.91194725036621,2723.0,1081.5,1494.0,,435.3999938964844,1060.0,290.8993225097656,18740.0,1353.0,929.5858154296876,1050.0,461.0,775.2000122070312,498.5,501.0,31.600000381469727,546.88623046875,56.0,216.0
2026-08-31,1537.0,636.0,412.0,867.0,1412.0,32.816410064697266,2961.0,1081.5,1634.5,,424.6000061035156,1050.0,282.2416076660156,19100.0,1380.0,900.0,1065.0,435.1000061035156,837.5,497.0,509.0,28.799999237060547,620.0,67.0,240.0
