Date,8381.T,6360.T,8359.T,5844.T,8341.T,7327.T,546A.T,8707.T,8358.T,9436.T,8309.T,2108.T,7337.T,8370.T,7167.T,7883.T,6960.T,5458.T,4578.T,7213.T,8334.T,6178.T,8609.T,9678.T,2207.T
2025-09-30,1352.1612548828125,3292.7998046875,1515.966064453125,3047.62158203125,2028.4725341796875,1409.3623046875,,2600.479248046875,1514.6470947265625,2585.917236328125,1052.6790771484375,2838.10400390625,1421.390625,2878.87109375,934.2180786132812,344.27099609375,6644.5908203125,938.3803100585938,7727.61181640625,427.5,1628.3414306640625,1450.1993408203125,645.9154052734375,3508.755859375,2191.459716796875
2025-10-31,1330.55810546875,3273.599853515625,1523.3203125,3026.3095703125,2170.902099609375,1461.4154052734375,,2699.909423828125,1512.683837890625,2547.306640625,1036.0281982421875,2880.47802734375,1415.4927978515625,2941.625732421875,949.71923828125,353.1490478515625,6881.193359375,925.8685302734376,8234.0009765625,418.9499816894531,1578.549560546875,1427.015869140625,653.469970703125,3552.615234375,2106.48876953125
2025-11-28,1426.790283203125,3528.0,1640.9891357421875,3293.678955078125,2369.1220703125,1590.074951171875,,3002.02392578125,1650.1112060546875,2776.989990234375,1107.039306640625,3500.681396484375,1522.146240234375,3010.263671875,1006.58984375,348.216796875,7019.21142578125,922.981201171875,8698.1103515625,421.7999877929688,1710.177490234375,1514.3238525390625,682.743896484375,3725.552001953125,2333.73681640625
2025-12-30,1462.140869140625,3547.199951171875,1664.5228271484375,3319.83447265625,2474.795654296875,1598.9141845703125,,3126.3115234375,1677.5968017578125,2803.720458984375,1169.7249755859375,3688.475830078125,1554.5845947265625,3196.566650390625,1024.8555908203125,359.0677490234375,7452.98291015625,986.5023803710938,8791.55859375,417.0499877929688,1703.275634765625,1628.26806640625,710.1292114257812,3868.842529296875,2383.138427734375
2026-01-30,1549.5355224609375,3744.0,1887.603271484375,3610.453369140625,2775.0791015625,1804.18017578125,,3322.303466796875,1903.3704833984373,3207.646240234375,1253.224365234375,3987.020751953125,1717.2679443359375,3696.642822265625,1148.766357421875,364.0,8359.9599609375,1004.7887573242188,9156.181640625,427.5,1912.3028564453125,1829.520263671875,834.779541015625,3676.1416015625,2533.319580078125
2026-02-27,1738.0721435546875,3844.7998046875,2039.101806640625,3755.7626953125,3228.2939453125,2004.5355224609373,,3771.651123046875,2083.989501953125,3321.497802734375,1342.6004638671875,4352.9794921875,1903.5428466796875,4201.6220703125,1325.9932861328125,367.94580078125,9927.4521484375,1030.774658203125,10611.6982421875,456.0,2230.280517578125,2008.575439453125,941.48779296875,4308.59619140625,2705.237548828125
2026-03-31,1729.0,3825.0,1927.0,4061.0,3056.0,1869.0,,3470.0,1991.0,3435.0,1225.5,4100.0,1719.0,3825.0,1193.0,363.0,9670.0,1016.0,10908.9443359375,461.0,2062.5,1789.0,821.0,4293.77294921875,2977.0
2026-04-30,1873.0,4060.0,2121.5,4336.0,3024.0,1958.0,1887.0,3700.0,2314.0,3355.0,1294.5,4025.0,1849.5,4160.0,1298.5,366.0,10060.0,1049.0,11295.365234375,500.0,2159.5,1823.0,904.0,4640.0,3225.0
2026-05-29,2063.0,4215.0,2323.5,4419.0,3154.0,2020.0,1932.0,3870.0,2317.0,3550.0,1368.5,4280.0,2017.5,4240.0,1329.5,372.0,11670.0,1221.0,11607.4736328125,584.0,2260.0,2068.0,941.0,4975.0,3000.0
2026-06-30,2279.0,4475.0,2388.5,4494.0,3316.0,2130.0,2242.0,3985.0,2432.0,3670.0,1514.25,4755.0,2098.0,4435.0,1412.0,387.0,11260.0,1240.0,10805.0,578.0,2342.5,2169.0,959.0,5310.0,3230.0
2026-07-31,2336.0,4490.0,2508.0,4437.0,3495.0,2308.0,2310.0,4195.0,2605.0,3870.0,1654.0,5040.0,2204.5,4690.0,1497.0,390.0,11330.0,1345.0,11100.0,618.0,2538.5,2382.0,1115.0,5240.0,3195.0
2026-08-31,2644.0,4650.0,2717.5,4989.0,3993.0,2602.0,2411.0,4715.0,2982.0,4160.0,1777.0,5430.0,2407.0,5090.0,1707.5,402.0,12220.0,1460.0,12250.0,684.0,2842.5,2486.5,1235.0,5530.0,3475.0
