Date,NDA-FI.HE,^OMXH25,ALEX.HE,WUF1V.HE,GRK.HE,EVLI.HE,ORNAV.HE,KESKOA.HE,AKTIA.HE,ORNBV.HE,ATRAV.HE,KSL.HE,KESKOB.HE,FONDIA.HE,BOREO.HE,VAIAS.HE,OUT1V.HE,FORTUM.HE,LAPWALL.HE,TALLINK.HE,ERIBR.HE,CONSTI.HE,FIA1S.HE,TEM1V.HE,HARVIA.HE
2025-09-30,12.83382797241211,5015.77978515625,9.50116729736328,2.723867177963257,12.831061363220217,18.54806137084961,63.1626091003418,17.419523239135742,9.379844665527344,63.5048713684082,12.451013565063477,7.37087345123291,17.264312744140625,4.082828521728516,16.649999618530273,43.65705108642578,3.706233978271485,15.560314178466797,3.855275869369507,0.5468562841415405,5.856937885284424,9.667458534240724,2.772999286651612,4.559999942779541,33.7144775390625
2025-10-31,13.605234146118164,5480.83984375,9.453897476196287,3.2589123249053955,12.905682563781738,20.39812469482422,59.88946533203125,17.908803939819336,10.036433219909668,59.73664093017578,13.121452331542969,7.521299362182617,17.677865982055664,4.215757846832275,15.399999618530272,42.08736038208008,3.686714410781861,18.68590545654297,3.874796152114868,0.5795586705207825,7.455513954162598,10.32916259765625,2.799065351486206,4.670000076293945,35.8539924621582
2025-11-28,13.995530128479004,5430.27001953125,9.283726692199709,3.871782541275024,12.341238975524902,21.25200080871582,60.97477722167969,18.024717330932617,10.317829132080078,60.82186508178711,13.600337982177734,7.750270366668701,17.72616958618164,4.272727489471436,14.699999809265137,42.6269416809082,3.994763374328613,17.096538543701172,3.806474924087525,0.5521193742752075,7.012779235839844,10.280670166015623,2.893415927886963,4.389999866485596,41.04663848876953
2025-12-30,14.771528244018556,5703.52978515625,9.973861694335938,3.871782541275024,13.718865394592283,21.44175148010254,62.45474624633789,18.604291915893555,11.631007194519045,62.79499816894531,14.653885841369627,8.290090560913086,18.595571517944336,4.690505027770996,14.0,43.21557235717773,4.423267364501953,17.56513786315918,3.786954641342163,0.55785071849823,7.076992511749268,10.32916259765625,3.0880136489868164,4.309999942779541,42.43134689331055
2026-01-30,14.982748985290527,5802.330078125,10.777442932128906,4.30954647064209,13.87193489074707,24.952125549316406,68.27596282958984,20.613977432250977,11.537209510803224,68.71440124511719,15.180659294128418,9.138378143310549,20.850236892700195,4.699999809265137,13.600000381469728,41.20440673828125,4.701696395874023,19.241458892822266,4.09928035736084,0.5712238550186157,7.732645511627197,11.541505813598633,2.909141063690185,5.610000133514404,40.55210113525391
2026-02-27,15.106724739074709,6147.52001953125,10.399287223815918,3.706404685974121,12.76600742340088,23.52899932861328,66.89466094970703,19.8324031829834,11.949921607971191,66.79059600830078,17.19197654724121,9.928829193115234,20.38125228881836,5.146262645721436,16.850000381469727,47.385066986083984,5.652501106262207,19.1400089263916,3.8357555866241455,0.5941492319107056,8.173689842224121,11.493013381958008,3.420206308364868,5.599999904632568,36.59579849243164
2026-03-31,14.393901824951172,5843.97998046875,9.809075355529783,3.2978248596191406,11.972000122070312,22.5,69.5,18.787168502807617,11.762325286865234,69.69999694824219,16.042652130126953,9.466126441955566,18.86670684814453,5.119999885559082,16.950000762939453,44.150001525878906,4.639999866485596,21.13999938964844,3.6991126537323,0.578865647315979,8.17199993133545,11.59000015258789,2.740000009536743,5.489999771118164,32.68894958496094
2026-04-30,15.68371295928955,6327.5400390625,10.004280090332031,3.3299999237060547,12.800000190734863,23.0,68.0999984741211,20.122047424316406,10.880000114440918,68.69999694824219,14.81999969482422,9.779999732971191,20.725690841674805,5.400000095367432,18.049999237060547,49.79999923706055,5.715000152587891,21.440000534057617,3.943117618560791,0.620895504951477,9.767999649047852,11.600000381469728,3.2060000896453857,5.889999866485596,35.5
2026-05-29,16.237890243530273,6468.72998046875,11.029109001159668,3.650000095367432,16.84000015258789,23.5,71.19999694824219,20.36924743652344,12.140000343322754,71.3499984741211,14.899999618530272,9.399999618530272,20.74546813964844,5.059999942779541,19.450000762939453,54.59999847412109,6.025000095367432,20.049999237060547,3.9821581840515137,0.6132537126541138,11.05500030517578,11.100000381469728,4.28000020980835,5.690000057220459,40.900001525878906
2026-06-30,16.282028198242188,6237.14013671875,13.469178199768066,3.809999942779541,19.200000762939453,24.600000381469727,71.69999694824219,19.30134391784668,11.279999732971191,71.94999694824219,15.199999809265137,10.75,19.34134101867676,4.980000019073486,19.64999961853028,57.20000076293945,5.034999847412109,20.290000915527344,4.210000038146973,0.6159999966621399,9.83199977874756,11.350000381469728,5.295000076293945,5.670000076293945,41.59999847412109
2026-07-31,17.1647891998291,6220.080078125,14.298800468444824,4.119999885559082,21.600000381469727,24.89999961853028,80.69999694824219,21.14999961853028,12.0,81.0999984741211,15.68000030517578,9.800000190734863,21.57999992370605,4.929999828338623,21.0,55.0,5.190000057220459,19.725000381469727,4.360000133514404,0.628000020980835,8.567999839782715,11.25,4.796000003814697,5.809999942779541,41.25
2026-08-31,17.614999771118164,6441.7099609375,13.957191467285156,4.440000057220459,21.450000762939453,24.799999237060547,78.9000015258789,21.850000381469727,12.220000267028809,79.0999984741211,15.739999771118164,9.68000030517578,22.440000534057617,4.949999809265137,23.100000381469727,57.20000076293945,5.639999866485596,20.71999931335449,4.550000190734863,0.6240000128746033,8.722000122070312,11.300000190734863,4.486000061035156,6.300000190734863,44.70000076293945
