Date,LUKN.SW,KNIN.SW,UBSGE.SW,WKBN.SW,BNP.SW,SGKN.SW,BEKN.SW,BCVN.SW,GRKP.SW,ELMN.SW,EMMN.SW,SIGN.SW,VPBN.SW,LLBN.SW,DKSH.SW,AAPL.SW,SFSN.SW,DHL.SW,EMSN.SW,BAER.SW,BAS.SW,BCGE.SW,SDZ.SW,VAHN.SW,BVZN.SW
2025-09-30,77.98130798339844,143.12796020507812,,125.26729583740234,,491.2301635742188,249.2100067138672,90.4910888671875,1697.0218505859375,1228.093017578125,672.4800415039062,8.204999923706055,78.94108581542969,74.97612762451172,51.539493560791016,,104.61148071289062,,550.007568359375,52.66558456420898,,23.223276138305664,46.60356140136719,596.3312377929688,1028.859130859375
2025-10-31,79.73589324951172,148.7796630859375,,125.75472259521484,,494.1368408203125,254.55368041992188,89.91287231445312,1736.1463623046875,1258.0465087890625,699.8883056640625,8.975000381469727,77.2208251953125,76.82139587402344,53.64706039428711,,106.76639556884766,,538.2740478515625,51.937313079833984,,24.39913749694824,52.857547760009766,597.2977905273438,1038.65771484375
2025-11-28,85.194580078125,155.6389923095703,,127.21697998046876,,525.1415405273438,267.1842041015625,93.86402893066406,1770.3802490234375,1258.0465087890625,709.6769409179688,9.734999656677246,78.74994659423828,72.74238586425781,53.74285507202149,,100.49754333496094,,535.82958984375,55.00372695922852,,23.909194946289062,56.03888320922852,645.622802734375,1058.2550048828125
2025-12-30,90.36083984375,165.44491577148438,,130.62893676757812,,553.239501953125,300.70367431640625,96.75511932373048,1794.8330078125,1278.0155029296875,719.465576171875,11.34000015258789,80.6613540649414,81.3860092163086,54.98823547363281,,106.37458801269533,40.485347747802734,537.2962646484375,59.79499053955078,39.756866455078125,24.10517311096192,57.14543151855469,703.6129150390625,1224.832275390625
2026-01-30,95.9170150756836,172.64236450195312,,135.01573181152344,,575.5241088867188,313.3341979980469,100.8026351928711,1975.783447265625,1278.0155029296875,765.4722290039062,11.9399995803833,80.6613540649414,93.623046875,54.31764602661133,197.34266662597656,111.07623291015624,41.12614822387695,587.6525268554688,61.92231369018555,40.03488540649414,27.24080276489257,60.4453239440918,710.37841796875,1342.4161376953125
2026-02-27,100.9857940673828,173.2703399658203,32.0,139.4025115966797,,620.0933227539062,359.4842224121094,113.61980438232422,2024.68896484375,1268.031005859375,792.8804321289062,12.520000457763672,82.95503997802734,90.6123504638672,59.68235397338867,207.838119506836,119.6958999633789,43.067684173583984,624.80859375,62.86139678955078,43.52451705932617,31.25833320617676,67.20318603515625,708.4454345703125,1322.81884765625
2026-03-31,102.9353256225586,174.18814086914062,30.790000915527344,151.1006317138672,,645.2846069335938,388.631591796875,124.31683349609376,2150.0,1268.031005859375,831.05615234375,11.850000381469728,81.99933624267578,96.05103302001952,57.900001525878906,197.98049926757807,115.58197021484376,39.00288772583008,608.6749877929688,55.73199462890625,45.61446380615234,33.708045959472656,60.99860000610352,777.0670166015625,1489.39599609375
2026-04-30,103.0,176.50677490234375,34.56999969482422,154.0,82.62999725341797,623.0,395.4326477050781,118.72738647460938,2370.0,1290.0,817.0,12.670000076293944,86.0,96.0999984741211,59.59999847412109,211.67941284179688,119.0,42.92422103881836,650.2311401367188,64.0999984741211,47.87217712402344,35.07988357543945,62.540000915527344,790.5980224609375,1460.0
2026-05-29,107.0,180.3500061035156,37.09999847412109,158.5,82.62999725341797,641.0,379.5,117.5,2110.0,1300.0,863.0,12.079999923706056,86.5999984741211,98.5999984741211,62.0,243.24888610839844,127.5999984741211,45.31999969482422,697.6539916992188,64.0199966430664,47.5,33.70000076293945,65.5999984741211,822.0,1560.0
2026-06-30,110.1999969482422,195.9499969482422,40.22999954223633,158.5,92.68000030517578,642.0,383.5,118.4000015258789,2320.0,1320.0,881.0,13.529999732971191,89.80000305175781,104.0,62.20000076293945,231.2417755126953,133.1999969482422,47.77000045776367,677.6093139648438,69.80000305175781,44.06999969482422,34.0,73.12000274658203,786.0,1650.0
2026-07-31,111.4000015258789,205.6999969482422,42.709999084472656,162.0,101.4000015258789,650.0,385.5,127.0,2380.0,1310.0,868.0,14.6899995803833,95.8000030517578,113.0,67.0,249.68197631835932,132.0,52.59999847412109,799.3442993164062,70.87999725341797,46.25,32.5,65.76000213623047,803.0,1710.0
2026-08-31,115.5999984741211,215.8000030517578,44.33000183105469,160.5,101.83999633789062,656.0,392.0,129.6999969482422,2690.0,1330.0,841.0,13.68000030517578,94.8000030517578,112.0,65.9000015258789,257.70001220703125,134.8000030517578,52.59999847412109,790.0,75.22000122070312,48.025001525878906,32.29999923706055,67.91999816894531,766.0,1500.0
