Date,DGR1R.RG,RKB1R.RG,IDX1R.RG
2025-09-30,1.200354814529419,0.3759999871253967,9.640000343322754
2025-10-31,1.1984851360321045,0.3519999980926513,9.65999984741211
2025-11-28,1.207833766937256,0.3980000019073486,9.68000030517578
2025-12-30,1.2283200025558472,0.3659999966621399,9.460000038146973
2026-01-30,1.258837342262268,0.3740000128746032,9.479999542236328
2026-02-27,1.2779107093811035,0.3860000073909759,9.5
2026-03-31,1.3217791318893433,0.3759999871253967,8.880000114440918
2026-04-30,1.3964999914169312,0.3459999859333038,8.65999984741211
2026-05-29,1.4651000499725342,0.3479999899864197,8.720000267028809
2026-06-30,1.524999976158142,0.3580000102519989,8.699999809265137
2026-07-31,1.5049999952316284,0.3319999873638153,8.979999542236328
2026-08-31,1.524999976158142,0.3600000143051147,9.279999732971191
