Date,CHI.NZ,SKL.NZ,ASR.NZ,HGH.NZ,USV.NZ,HFL.NZ,AUE.NZ,FSF.NZ,APA.NZ,EUF.NZ,LIV.NZ,LIC.NZ,EUG.NZ,INF.NZ,JPN.NZ,GGB.NZ,USS.NZ,GPR.NZ,TWF.NZ,FCG.NZ,AUS.NZ,BIT.NZ,EMG.NZ,OZY.NZ,AFI.NZ
2025-09-30,2.4845924377441406,4.885375499725342,6.621493816375732,0.9937961101531982,6.127717018127441,5.127665996551514,3.3070359230041504,5.805367946624756,2.9484734535217285,2.6712379455566406,3.092462539672852,0.8814834952354431,4.211520195007324,2.5779662132263184,3.102210760116577,1.9383071660995483,8.198667526245117,2.247688770294189,4.579802513122559,3.9163930416107178,3.88813066482544,2.9439690113067627,3.184828519821167,5.418967723846436,6.719407081604004
2025-10-31,2.5610413551330566,5.377716064453125,6.91660737991333,1.0269227027893066,6.204227447509766,5.293741703033447,3.4070138931274414,5.928731918334961,3.082271099090576,2.744516134262085,3.349673271179199,0.9624360799789428,4.344369411468506,2.58921217918396,3.246476650238037,1.9521523714065552,8.287355422973633,2.1973977088928223,4.742241382598877,3.94294548034668,3.930964469909668,3.000373601913452,3.3220973014831543,5.426723003387451,6.719407081604004
2025-11-28,2.5610413551330566,5.30914831161499,7.005111217498779,1.0505845546722412,6.395728588104248,5.116973876953125,3.291215181350708,5.623950004577637,3.087139368057251,2.766883134841919,3.5777719020843506,0.8994729518890381,4.376097679138184,2.64248275756836,3.194597721099853,1.9710103273391724,8.42825698852539,2.2413902282714844,4.738409519195557,3.876565456390381,3.818824529647827,3.0212368965148926,3.285969018936157,5.204011917114258,6.719407081604004
2025-12-31,2.790388584136963,5.142624855041504,7.500672340393066,1.107372760772705,6.432349681854248,5.210010051727295,3.3446121215820312,5.950502395629883,3.1487035751342773,2.877518892288208,3.4825234413146973,0.8994729518890381,4.497406959533691,2.5743911266326904,3.2344677448272705,1.9600907564163208,8.437186241149902,2.181455612182617,4.7631916999816895,3.949582576751709,3.938070297241211,3.059983491897583,3.320537567138672,5.471540451049805,6.719407081604004
2026-01-30,2.780832290649414,5.064261436462402,8.239562034606934,1.1404993534088137,6.306652069091797,5.80172061920166,3.397038698196411,5.942519664764404,3.2887120246887207,2.881469964981079,3.437875747680664,0.8994729518890381,4.482491970062256,2.662561178207397,3.2444355487823486,1.954630970954895,8.442147254943848,2.218401432037353,4.635314464569092,3.956220865249634,4.010997772216797,2.94739294052124,3.478564500808716,5.548257350921631,6.719407081604004
2026-02-27,2.752163887023926,5.691171646118164,9.235629081726074,1.216217279434204,6.612483024597168,,3.5067458152771,5.943244934082031,3.594546318054199,2.963459014892578,3.3942201137542725,0.8994729518890381,4.637609481811523,2.8458850383758545,3.5015981197357178,2.101247549057007,8.704072952270508,2.3817849159240723,4.778061389923096,4.088979721069336,4.238648891448975,3.017094612121582,3.660295248031616,6.114788055419922,6.914999961853027
2026-03-31,2.841271162033081,5.199999809265137,8.582794189453125,1.1577131748199463,6.601595878601074,5.30824089050293,3.345583200454712,6.247618675231934,3.3194940090179443,2.79157829284668,3.269206523895264,0.9444465637207032,4.330357551574707,2.8188230991363525,3.293276309967041,2.0697121620178223,8.480840682983398,2.2249696254730225,4.581784248352051,4.099999904632568,3.988330841064453,2.887648344039917,3.3294265270233154,5.852177143096924,6.914999961853027
2026-04-30,2.978435754776001,5.869999885559082,8.995266914367676,1.0993410348892212,6.677806377410889,5.787816047668457,3.492182970046997,6.550000190734863,3.535961389541626,2.8903605937957764,3.188840627670288,0.9984149932861328,4.506356239318848,2.773428440093994,3.427838087081909,2.078840732574463,9.020566940307615,2.3809640407562256,4.940634727478027,4.550000190734863,4.123344898223877,3.1884143352508545,3.737333059310913,6.050856590270996,6.914999961853027
2026-05-29,3.09600567817688,6.150000095367432,9.470000267028809,1.1090697050094604,6.860000133514404,6.148944854736328,3.594000101089477,7.199999809265137,3.884000062942505,2.943000078201294,3.3489999771118164,1.0883623361587524,4.605000019073486,3.2060000896453857,3.5910000801086426,2.49399995803833,9.373000144958496,2.8540000915527344,5.152999877929688,4.449999809265137,4.158999919891357,3.392991781234741,4.040999889373779,5.99399995803833,6.914999961853027
2026-06-30,3.13519549369812,6.599999904632568,8.855999946594238,1.1820348501205444,7.540999889373779,6.4612717628479,3.651999950408936,7.079999923706055,4.048999786376953,3.114000082015991,3.7730000019073486,1.0793676376342771,4.886000156402588,3.2880001068115234,3.8350000381469727,2.50600004196167,10.116000175476074,2.9600000381469727,5.340000152587891,4.300000190734863,4.250999927520752,3.4329092502593994,4.172999858856201,6.198999881744385,6.914999961853027
2026-07-31,3.340942859649658,6.949999809265137,8.789999961853027,1.2063565254211426,7.349999904632568,5.949999809265137,3.691999912261963,6.900000095367432,3.753999948501587,3.127000093460083,3.7260000705718994,1.1399999856948853,4.86299991607666,3.219000101089477,3.67300009727478,2.497999906539917,9.520000457763672,2.9670000076293945,5.185999870300293,4.25,4.276999950408936,3.319999933242798,3.7920000553131104,6.263999938964844,6.914999961853027
2026-08-31,3.3115503787994385,7.5,9.812999725341797,1.2549999952316284,7.388999938964844,6.0,3.822000026702881,7.25,3.859999895095825,3.0850000381469727,3.96399998664856,1.100000023841858,4.866000175476074,3.20199990272522,3.7160000801086426,2.483999967575073,9.583999633789062,2.9210000038146973,5.264999866485596,4.679999828338623,4.36899995803833,3.440000057220459,3.983999967575073,6.271999835968018,6.940000057220459
