Date,ABQK.QA,DOHI.QA,AKHI.QA,SIIS.QA,QIIK.QA,VFQS.QA,IGRD.QA,DHBK.QA,QCFS.QA,QAMC.QA,MHAR.QA,MCCS.QA,QATI.QA,CBQK.QA,ORDS.QA,QISI.QA,QNNS.QA,QIGD.QA,BRES.QA,MKDM.QA,QNBK.QA,AHCS.QA,MERS.QA,MFMS.QA,QIBK.QA
2025-09-30,3.328180313110352,2.345654487609864,2.278529167175293,0.6955921649932861,10.565763473510742,2.3395981788635254,3.624166011810303,2.417630195617676,2.323432922363281,1.4353549480438232,2.175851821899414,5.262024879455566,1.9872632026672363,4.294167995452881,12.914472579956056,8.062036514282227,10.879752159118652,1.4100661277770996,2.4838669300079346,2.318039655685425,18.238454818725582,0.7739859819412231,14.314777374267578,,23.36888885498047
2025-10-30,3.3844313621521,2.348446846008301,2.22981071472168,0.6974396705627441,10.838427543640137,2.296626091003418,3.4175000190734863,2.3834452629089355,2.323432922363281,1.5031518936157229,2.122370481491089,4.967711925506592,1.9501447677612305,3.872327327728272,12.801105499267578,8.310678482055664,10.687190055847168,1.376448631286621,2.4475722312927246,2.247876644134521,18.150110244750977,0.7438551187515259,14.18844223022461,,23.935998916625977
2025-11-30,3.453807592391968,2.394057035446167,2.1848397254943848,0.677116870880127,10.741046905517578,2.2899415493011475,3.2774999141693115,2.5448739528656006,2.1830267906188965,1.4876554012298584,2.0510618686676025,4.367836952209473,1.8873289823532104,3.755409240722656,12.158687591552734,8.37943172454834,10.62942123413086,1.3587061166763306,2.311699390411377,2.143076181411743,17.580772399902344,0.7956425547599792,14.08154296875,,22.7822208404541
2025-12-31,3.514746189117432,2.388472080230713,2.132373571395874,0.6706506013870239,11.130569458007812,2.3262290954589844,3.358333110809326,2.72529411315918,2.308046102523804,1.5496410131454468,2.05481481552124,4.203808784484863,1.9415788650512693,3.928447961807251,12.309844970703123,8.331398010253906,10.369462966918944,1.3727134466171265,2.4345431327819824,2.080906867980957,18.316984176635746,0.7937593460083008,14.159287452697754,8.87005615234375,23.41777801513672
2026-01-29,3.597247362136841,2.5476415157318115,2.2035775184631348,0.707601010799408,11.111092567443848,2.429362297058105,3.358333110809326,2.620840311050415,2.2176475524902344,1.8266394138336184,2.1204936504364014,4.574044227600098,2.085293769836426,4.442887783050537,13.415180206298828,8.180706024169922,10.879752159118652,1.428742527961731,2.547150135040283,2.60668420791626,19.43602752685547,0.806941568851471,14.29534149169922,9.011043548583984,24.44444465637207
2026-02-26,3.6094350814819336,2.5625345706939697,2.351607084274292,0.7353138327598572,11.033188819885254,2.5430002212524414,3.1549999713897705,2.801260471343994,2.563854217529297,1.7450000047683716,2.2227654457092285,4.77837610244751,2.381289482116699,4.536422252655029,12.801105499267578,8.081814765930176,11.18000030517578,1.4278087615966797,2.38242769241333,2.5871458053588867,19.299999237060547,0.8295396566390991,14.858991622924805,9.559930801391602,23.1733341217041
2026-03-31,3.799999952316284,2.697999954223633,2.3970000743865967,0.7200000286102295,11.119999885559082,2.359999895095825,3.104166030883789,3.076638698577881,2.5999999046325684,1.399999976158142,2.218074083328247,4.349999904632568,2.1728553771972656,4.265999794006348,12.420000076293944,8.260000228881836,10.199999809265137,1.337000012397766,2.319999933242798,2.469910860061645,17.040000915527344,0.7570374011993408,12.827906608581545,9.044736862182615,22.64999961853028
2026-04-30,3.750999927520752,2.950000047683716,2.5369999408721924,0.777999997138977,11.3100004196167,2.664999961853028,3.944999933242798,2.700000047683716,2.4800000190734863,1.6169999837875366,2.2890000343322754,5.179999828338623,2.182372808456421,4.304999828338623,13.699999809265137,8.51200008392334,10.3100004196167,1.409999966621399,2.3550000190734863,2.2780001163482666,17.350000381469727,0.7760000228881836,13.550000190734863,9.19200038909912,22.21999931335449
2026-05-31,3.859999895095825,2.994999885559082,3.1050000190734863,0.7940000295639038,11.31999969482422,2.427999973297119,4.289999961853027,2.618000030517578,2.697000026702881,1.722000002861023,2.2669999599456787,5.2820000648498535,2.13700008392334,4.260000228881836,13.699999809265137,8.510000228881836,10.40999984741211,1.4110000133514404,2.549999952316284,2.308000087738037,17.700000762939453,0.7670000195503235,13.170000076293944,8.5,22.700000762939453
2026-06-30,4.079999923706055,2.880000114440918,2.977999925613404,0.7950000166893005,11.109999656677246,2.650000095367432,4.420000076293945,3.0989999771118164,2.4800000190734863,1.6480000019073486,2.157000064849853,5.400000095367432,2.0280001163482666,4.048999786376953,13.25,8.710000038146973,10.18000030517578,1.3890000581741333,2.359999895095825,2.2679998874664307,17.25,0.7799999713897705,13.40999984741211,8.70300006866455,21.850000381469727
2026-07-30,4.063000202178955,2.9230000972747803,2.880000114440918,0.7360000014305115,10.81999969482422,2.5810000896453857,4.21999979019165,2.8980000019073486,2.3359999656677246,1.4199999570846558,2.059999942779541,4.880000114440918,1.924000024795532,4.119999885559082,12.5,7.991000175476074,9.902999877929688,1.3300000429153442,2.3289999961853027,2.111000061035156,16.56999969482422,0.703000009059906,13.40999984741211,8.5,21.65999984741211
2026-08-31,3.8320000171661377,2.799999952316284,2.940999984741211,0.7609999775886536,10.989999771118164,2.6050000190734863,4.070000171661377,2.630000114440918,2.470000028610229,1.4670000076293943,2.187000036239624,5.159999847412109,1.9600000381469729,4.199999809265137,12.649999618530272,7.869999885559082,10.489999771118164,1.3619999885559082,2.309999942779541,2.002000093460083,16.700000762939453,0.7039999961853027,13.0,8.293999671936035,21.700000762939453
