Date,AAYAN.KW,AAYANRE.KW,KFH.KW,ZAIN.KW,KIB.KW,KCIN.KW,SPEC.KW,NAPESCO.KW,OOREDOO.KW,BOUBYAN.KW,NICBM.KW,GFH.KW,ALG.KW,MABANEE.KW,TAM.KW,SENERGY.KW,JTC.KW,JAZEERA.KW,ALENMA.KW,AMAR.KW,MIDAN.KW,ALMANAR.KW,ALAQARIA.KW,STC.KW,ALIMTIAZ.KW
2025-09-30,192.99365234375,126.99581146240234,742.967529296875,514.9760131835938,254.2777862548828,1156.9290771484375,150.4645538330078,1386.9158935546875,1369.8831787109375,660.7398681640625,206.99159240722656,147.98171997070312,982.6766357421876,929.2239379882812,403.9840087890625,211.7680053710937,380.88714599609375,1379.9344482421875,92.89460754394533,96.1999969482422,768.9323120117188,109.995849609375,57.09999847412109,569.96728515625,64.83499908447266
2025-10-30,211.99302673339844,147.9951171875,750.4443359375,530.9752807617188,254.2777862548828,1190.927001953125,165.4173126220703,1596.903076171875,1424.87841796875,669.1507568359375,227.99073791503903,188.9766540527344,975.4039916992188,949.9784545898438,394.984375,259.2680053710937,417.2480773925781,1472.9300537109375,93.09459686279295,115.0,878.922607421875,123.99532318115234,65.0,593.9658813476562,79.2300033569336
2025-11-30,210.99305725097656,133.99559020996094,744.8364868164062,521.0,255.2307586669922,1384.9150390625,158.87542724609375,1529.9071044921875,1392.8812255859375,662.6088256835938,221.9909820556641,183.97726440429688,1022.6746826171876,1028.2777099609375,421.9833068847656,207.8099975585937,409.0665283203125,1729.9178466796875,84.29511260986328,102.0,789.9304809570312,121.99539947509766,61.70000076293945,648.9627685546875,69.12000274658203
2025-12-31,229.992431640625,132.99562072753906,757.9200439453125,519.0,260.944580078125,1499.907958984375,152.33352661132812,1597.903076171875,1413.87939453125,668.2167358398438,214.9912567138672,188.9766540527344,1028.12841796875,1028.2777099609375,453.9820251464844,219.6849975585937,404.5218200683594,1625.9227294921875,87.39492797851562,102.0,818.9279174804688,105.99600219726562,61.900001525878906,689.9603881835938,65.05400085449219
2026-01-29,208.9931182861328,129.99571228027344,755.1171875,510.0,259.0396423339844,1423.9127197265625,140.18373107910156,1567.9049072265625,1674.857177734375,633.6370849609375,209.9914703369141,174.97837829589844,1007.2203979492188,948.0914916992188,437.982666015625,199.8930053710937,392.7044677734375,1547.926513671875,84.99506378173828,96.3000030517578,818.9279174804688,96.79634857177734,54.09999847412109,658.962158203125,55.05400085449219
2026-02-24,224.9925994873047,141.9953155517578,751.3782958984375,542.0,265.7064514160156,1424.91259765625,149.52957153320312,1599.9029541015625,1633.860595703125,634.5720825195312,207.99154663085932,177.97801208496094,1059.0357666015625,924.507080078125,434.9827880859375,197.9140014648437,441.7926635742188,1904.9095458984373,86.49497985839844,94.1999969482422,818.9279174804688,105.99600219726562,48.79999923706055,654.96240234375,53.18600082397461
2026-03-31,212.9929962158203,142.9952850341797,752.3132934570312,570.0,269.5153503417969,1259.9227294921875,142.98768615722656,1549.906005859375,1484.0,640.1790161132812,249.9898376464844,168.0,980.8587646484376,856.5836181640625,433.9828186035156,192.7689971923828,440.88372802734375,1479.9296875,85.99501037597656,88.9000015258789,829.9269409179688,104.99604034423828,49.79999923706055,670.9614868164062,45.604000091552734
2026-04-30,254.0,165.99452209472656,789.989990234375,570.0,272.0,1361.0,171.0252227783203,1549.906005859375,1842.0,679.0,247.9899139404297,195.0,1008.97412109375,1005.0,426.0,249.3719940185547,463.6094055175781,1659.921142578125,97.8000030517578,109.0,824.9273681640625,117.0,59.400001525878906,648.0,61.97800064086914
2026-05-31,276.0,165.0,,,,,,,,,,,,,,249.3719940185547,463.6094055175781,,,,,,,,73.73600006103516
2026-06-30,279.0,168.0,766.990234375,610.0,259.0,1252.0,241.0,1474.0,1830.0,634.0,280.0,178.0,881.9774169921875,923.0,405.0,233.0,479.0625305175781,1760.0,115.0,105.0,935.9176025390624,111.0,66.0,660.0,75.5
2026-07-30,286.0,193.0,784.9900512695312,597.0,255.0,1297.0,270.0,1460.0,1619.0,644.0,269.0,168.0,895.97705078125,928.0,412.0,236.0,426.0,1656.0,129.0,107.0,1028.909423828125,112.0,65.0999984741211,627.0,74.0
2026-08-31,283.0,191.0,770.0,605.0,252.0,1290.0,264.0,1520.0,1755.0,664.0,277.0,169.0,930.0,977.0,413.0,265.0,430.0,1705.0,120.0,105.0,955.0,114.0,69.5,609.0,71.5
