Date,XCMC.ST,SHB-A.ST,SWED-A.ST,BESQAB-PREF-B.ST,INVE-B.ST,NAVIGO-PREF.ST,INVE-A.ST,SVOL-A.ST,SSAB-A.ST,ALM-PREF.ST,XD3E.ST,CLA-B.ST,SOBI.ST,EXUS.ST,ATT.ST,INDU-C.ST,XMN1.ST,INDU-A.ST,NDA-SE.ST,SAVE.ST,XSWC.ST,KARNEL-B.ST,ALCA.ST,MSON-A.ST,SDIP-B.ST
2025-09-30,,106.88388061523438,257.4545593261719,85.46472930908203,289.5699157714844,106.6077117919922,289.2680053710937,75.91365814208984,54.87086486816406,77.1072769165039,,32.974021911621094,286.79998779296875,366.6499938964844,69.89048767089844,366.2559814453125,,366.5870056152344,153.1255340576172,265.37725830078125,,58.29999923706055,20.39999961853028,11.326712608337402,173.6999969482422
2025-10-31,,108.89231872558594,262.7272644042969,88.98714447021484,308.7728576660156,102.34339904785156,308.5656433105469,80.32154083251953,58.85012435913086,76.2701644897461,277.6634521484375,34.412750244140625,327.20001220703125,373.3999938964844,80.00230407714844,388.15869140625,,388.7864990234375,161.06463623046875,267.3214111328125,,64.9000015258789,22.39999961853028,10.538766860961914,189.3999938964844
2025-11-28,,114.30636596679688,272.9999694824219,91.28881072998048,317.9685363769531,109.92439270019533,316.1364440917969,78.8057632446289,66.1844482421875,77.57233428955078,285.1011962890625,38.223426818847656,338.79998779296875,376.7000122070313,83.37290954589844,389.6319580078125,,389.3758850097656,165.7784881591797,263.43310546875,,70.0999984741211,23.39999961853028,10.538766860961914,188.3999938964844
2025-12-30,,117.31903839111328,291.9090881347656,91.85581970214844,326.8724365234375,119.2291259765625,325.1378173828125,80.77590942382812,68.73975372314453,78.2258071899414,288.0423889160156,39.331634521484375,332.79998779296875,381.4500122070313,81.19193267822266,407.60589599609375,99.88999938964844,408.0392150878906,172.62596130371094,262.65545654296875,264.8500061035156,72.69999694824219,25.0,10.538766860961914,191.6999969482422
2026-01-30,,122.77674865722656,315.18182373046875,93.17884063720705,339.5357971191406,120.19454956054688,337.1066589355469,83.73111724853516,72.23135375976562,79.08438110351562,283.6065368652344,42.32574081420898,337.0,382.5,88.13141632080078,437.8571166992188,104.12000274658205,437.1147155761719,170.591552734375,280.3472595214844,267.45001220703125,61.70000076293945,23.89999961853028,10.538766860961914,170.6999969482422
2026-02-27,,126.26969146728516,316.1817932128906,95.71651458740234,373.7169189453125,123.0907974243164,370.5404052734375,87.13704681396484,78.72691345214844,81.66011047363281,304.8998718261719,50.93864822387695,395.3999938964844,407.2000122070313,103.29913330078124,502.6811828613281,104.58000183105467,505.3831787109375,174.16416931152344,278.0142822265625,281.75,60.900001525878906,28.100000381469727,11.031232833862305,194.6999969482422
2026-03-31,,123.0500030517578,318.8999938964844,93.98321533203124,350.51727294921875,125.46173858642578,347.1961364746094,84.16647338867188,71.84123992919922,85.28981018066406,298.79217529296875,51.57051849365234,392.2000122070313,388.7000122070313,100.32506561279295,454.7506713867188,99.9000015258789,456.956787109375,160.76898193359375,296.4837646484375,271.04998779296875,61.29999923706055,30.299999237060547,11.917672157287598,200.8000030517578
2026-04-30,,130.5500030517578,323.70001220703125,96.29428100585938,368.0282897949219,128.90577697753906,363.2205810546875,86.64195251464844,82.44000244140625,87.82994079589844,302.4761657714844,47.34000015258789,427.7999877929688,398.7000122070313,105.48011779785156,482.1000061035156,106.41999816894533,486.7999877929688,171.79969787597656,303.0,285.8999938964844,69.0,32.5,13.49356174468994,226.1999969482422
2026-05-29,,136.4499969482422,341.3999938964844,97.7275161743164,380.75,137.76190185546875,375.2999877929688,89.578125,95.27999877929688,86.7552719116211,316.0282592773437,49.70000076293945,442.2000122070313,415.4500122070313,118.0,506.2000122070313,110.72000122070312,525.0,176.94070434570312,323.0,301.0,80.0,33.0,15.100000381469728,245.3999938964844
2026-06-30,137.55999755859375,142.60000610351562,362.0,98.610595703125,402.5499877929688,147.0,396.2000122070313,89.578125,89.86000061035156,89.0999984741211,333.1804504394531,49.18000030517578,462.0,436.5499877929688,122.6999969482422,532.0,110.83999633789062,543.5,183.3295440673828,368.3999938964844,319.29998779296875,81.80000305175781,32.5,15.199999809265137,243.1999969482422
2026-07-31,141.86000061035156,145.64999389648438,381.0,98.610595703125,411.0,143.5,404.0,93.0617218017578,100.0999984741211,89.69999694824219,340.46893310546875,57.25,470.6000061035156,437.2999877929688,109.4000015258789,544.5999755859375,113.16000366210938,549.0,191.9644470214844,365.0,308.5,89.5999984741211,31.39999961853028,15.899999618530272,241.8000030517578
2026-08-31,152.97999572753906,147.9499969482422,376.2000122070313,99.1999969482422,413.1000061035156,157.0,409.0,96.5,103.25,89.19999694824219,341.54998779296875,57.34999847412109,449.7999877929688,448.2999877929688,119.4000015258789,538.0,117.31999969482422,543.5,196.1000061035156,361.0,316.70001220703125,94.8000030517578,30.39999961853028,15.899999618530272,261.20001220703125
