Date,SMALLIETF.NS,HRMNYCP.BO,SMALLGROWW.NS,SBISMLETF.NS,ALCHCORP.BO,SHAMROIN.BO,GFSTEELS.BO,PMTELELIN.BO,MAHANIN.BO,PREMCAPM.BO,GFSTEELS.NS,HEXAGON.BO,PRABHATAM.BO,CRESANTO.BO,BARONINF.BO,BAGMANE.BO,PROGREXV.BO,CUBEINVIT.BO,HEXAGON.NS,ALTIUSINVIT.BO,AUROPHARMA.NS,RIIT.BO,AAYUSHBULL.BO,PSPLATINA.BO,TACENT.BO
2025-09-30,,66.26000213623047,,,23.86000061035156,17.600000381469727,9.050000190734863,10.050000190734863,8.300000190734863,6.809999942779541,10.210000038146973,,18.790000915527344,3.650000095367432,1.3799999952316284,,21.479999542236328,119.64134979248048,,128.6306915283203,1083.9000244140625,,993.6500244140624,914935.4375,34.95000076293945
2025-10-31,,69.56999969482422,,,23.86000061035156,17.600000381469727,9.050000190734863,10.050000190734863,8.300000190734863,6.809999942779541,10.210000038146973,,18.790000915527344,3.650000095367432,1.3799999952316284,,22.100000381469727,121.80027770996094,,135.8774871826172,1138.9000244140625,,998.9000244140624,952421.5,34.95000076293945
2025-11-28,,73.04000091552734,,,25.049999237060547,18.479999542236328,9.5,10.550000190734863,8.710000038146973,7.150000095367432,10.720000267028809,,19.71999931335449,3.829999923706055,1.440000057220459,,24.36000061035156,126.14116668701172,,144.06886291503906,1226.699951171875,,1062.199951171875,944472.9375,36.68999862670898
2025-12-31,,76.69000244140625,,,26.299999237060547,19.39999961853028,9.5,11.06999969482422,9.140000343322754,7.5,11.25,,20.700000762939453,3.829999923706055,1.5099999904632568,,25.56999969482422,128.45144653320312,,143.1333465576172,1183.0,,1065.0999755859375,980007.625,40.43999862670898
2026-01-30,,76.69000244140625,,,26.299999237060547,19.39999961853028,9.970000267028809,11.06999969482422,9.140000343322754,7.5,11.220000267028809,,20.700000762939453,4.019999980926514,1.5099999904632568,,25.56999969482422,128.45144653320312,,146.87538146972656,1207.699951171875,,1107.199951171875,993975.75,40.43999862670898
2026-02-27,,80.5199966430664,,,27.61000061035156,20.3700008392334,10.460000038146973,11.619999885559082,9.59000015258789,7.869999885559082,11.779999732971191,,21.729999542236328,4.21999979019165,1.5800000429153442,,26.84000015258789,133.3076629638672,,149.6819305419922,1220.4000244140625,,1112.4000244140625,1010350.5,42.459999084472656
2026-03-30,,84.54000091552734,,,28.989999771118164,21.3799991607666,10.979999542236328,12.199999809265137,10.0600004196167,8.260000228881836,12.359999656677246,,21.729999542236328,4.429999828338623,1.649999976158142,,28.18000030517578,139.0208282470703,,148.83984375,1304.4000244140625,107.94947052001952,1124.5,996848.5,42.459999084472656
2026-04-30,,84.54000091552734,,,28.989999771118164,21.3799991607666,10.979999542236328,12.199999809265137,10.0600004196167,8.260000228881836,12.359999656677246,,22.809999465942383,4.650000095367432,1.649999976158142,,28.18000030517578,141.0204620361328,,153.70574951171875,1389.5,108.13557434082033,1167.6500244140625,1028053.9375,42.459999084472656
2026-05-29,,88.76000213623047,,16.978500366210938,30.43000030517578,22.440000534057617,11.520000457763672,12.8100004196167,10.5600004196167,8.670000076293945,12.970000267028809,,22.809999465942383,4.650000095367432,1.7300000190734863,101.9858856201172,29.57999992370605,146.31185913085938,,162.197265625,1426.4000244140625,108.6742935180664,1168.75,1033928.5,44.58000183105469
2026-06-30,17.75,93.19000244140624,45.97999954223633,17.70949935913086,31.950000762939453,23.559999465942383,12.09000015258789,13.449999809265137,11.079999923706056,9.100000381469728,13.609999656677246,63.63999938964844,23.950000762939453,4.880000114440918,1.7300000190734863,102.202880859375,30.950000762939453,144.36102294921875,63.40999984741211,165.628662109375,1578.699951171875,111.94578552246094,1174.1500244140625,1042740.4375,49.13999938964844
2026-07-31,17.979999542236328,97.83999633789062,46.91999816894531,17.8799991607666,33.540000915527344,24.729999542236328,12.6899995803833,14.119999885559082,11.630000114440918,9.550000190734863,14.289999961853027,64.6500015258789,25.13999938964844,4.880000114440918,1.809999942779541,103.89934539794922,32.45000076293945,153.02268981933594,64.19000244140625,167.1432647705078,1580.199951171875,114.5512237548828,1201.0999755859375,1078500.0,49.13999938964844
2026-08-31,18.450000762939453,102.7300033569336,48.97999954223633,18.450000762939453,35.209999084472656,25.959999084472656,13.31999969482422,14.81999969482422,12.210000038146973,10.020000457763672,15.0,67.9800033569336,26.38999938964844,5.119999885559082,1.899999976158142,106.5199966430664,32.29999923706055,157.0399932861328,67.4000015258789,171.00303649902344,1717.0,121.48999786376952,1275.8499755859375,1100000.0,51.59000015258789
