Date,OBEL.BR,AGS.BR,KBCA.BR,MIKO.BR,SIP.BR,KBC.BR,SPA.BR,^BFX,LOTB.BR,MCC.BR,RECT.BR,TITC.BR,TEXF.BR,TINC.BR,EXM.BR,IBAB.BR,ELI.BR,DEME.BR,ABI.BR,MOUR.BR,ARGX.BR,FLUX.BR,ACKB.BR,DECB.BR,RET.BR
2025-09-30,19.0,55.43123245239258,63.82738876342773,49.802276611328125,70.35071563720703,96.78742980957033,225.4945068359375,4820.56982421875,7952.91796875,405.9735107421875,8.685742378234863,34.06171798706055,33.526798248291016,9.748013496398926,9.55263900756836,10.384082794189451,96.6727066040039,121.25221252441406,49.93868637084961,583.6431884765625,617.2000122070312,18.380443572998047,214.35079956054688,1.967964768409729,58.67956161499024
2025-10-31,19.100000381469727,54.019569396972656,64.5849838256836,50.969520568847656,74.55646514892578,99.458740234375,227.4725341796875,4902.3701171875,7506.68212890625,452.5462341308594,8.297119140625,37.73215866088867,34.29312515258789,9.709935188293455,9.866748809814451,10.758460998535156,102.92713165283205,127.8908233642578,52.00308227539063,591.4251098632812,705.5999755859375,16.78622055053711,212.38427734375,1.9775413274765008,58.1251106262207
2025-11-28,19.14999961853028,55.43123245239258,68.08885955810547,53.30399703979492,78.37987518310547,102.24847412109376,223.5164794921875,5036.85986328125,7675.26025390625,437.6078186035156,8.831477165222168,44.73047256469727,33.718379974365234,9.957443237304688,9.944068908691406,11.093432426452637,102.53314971923828,135.89620971679688,52.266448974609375,577.8067626953125,782.4000244140625,16.457998275756836,216.7106170654297,2.173858880996704,58.58715438842773
2025-12-31,19.299999237060547,57.76444625854492,69.41465759277344,53.88762283325195,77.61518859863281,107.16102600097656,225.4945068359375,5078.43017578125,7784.34033203125,452.5462341308594,9.521285057067873,51.58197021484375,35.0594482421875,10.071678161621094,9.738936424255373,12.728875160217283,108.04885864257812,136.48196411132812,54.119728088378906,548.6246337890625,716.7999877929688,17.348888397216797,228.116455078125,2.1690707206726074,58.956787109375
2026-01-30,19.25,57.90934371948242,73.48672485351562,54.27669906616211,80.29158020019531,114.52985382080078,274.945068359375,5385.3798828125,9817.193359375,456.93988037109375,9.929339408874512,55.79074478149414,35.0594482421875,10.109755516052246,9.5728759765625,14.935739517211914,120.45922088623048,164.20791625976562,59.22610855102539,603.0979614257812,703.7999877929688,17.583332061767578,245.61849975585932,2.207376480102539,59.7884635925293
2026-02-27,19.799999237060547,60.75893020629883,71.30863952636719,60.30744552612305,83.73265075683594,110.5805435180664,265.054931640625,5443.759765625,10432.0078125,487.6954345703125,11.192367553710938,52.16923904418945,37.35843276977539,10.68092918395996,10.061287879943848,15.152484893798828,132.7710723876953,192.5196228027344,67.84188842773438,690.6444702148438,657.4000244140625,18.66177749633789,285.73553466796875,2.207376480102539,63.66963577270508
2026-03-31,20.200000762939453,60.9038200378418,66.38426971435547,58.556583404541016,95.01170349121094,100.65911865234376,272.967041015625,5073.1201171875,9658.53125,452.5462341308594,9.181238174438477,43.99638366699219,38.124759674072266,10.890357971191406,9.719399452209473,12.78798770904541,129.8162384033203,180.02342224121094,58.87122344970703,680.9170532226562,620.7999877929688,19.59955406188965,258.2042236328125,1.911463618278504,60.98978042602539
2026-04-30,21.0,64.42957305908203,73.5814208984375,59.33474349975586,97.11457824707033,109.08751678466795,324.3955993652344,5352.669921875,10174.181640625,474.5144958496094,9.812752723693848,45.141563415527344,42.33955764770508,11.442492485046388,10.549699783325195,13.1820707321167,139.271728515625,189.39556884765625,63.484710693359375,721.7720947265625,668.0,20.443553924560547,275.5096130371094,2.0493648052215576,62.745548248291016
2026-05-29,21.5,64.33297729492188,77.0853042602539,60.30744552612305,91.37946319580078,113.9499969482422,356.0439453125,5583.39013671875,11000.0,483.3017883300781,10.699999809265137,50.2606086730957,44.0,11.800000190734863,11.300000190734863,15.487455368041992,133.3000030517578,185.3999938964844,69.0,778.19091796875,715.5999755859375,20.39999961853028,271.79998779296875,2.1449999809265137,65.61022186279297
2026-06-30,21.5,70.0,82.0999984741211,65.0,92.0999984741211,119.3000030517578,376.0,5751.35986328125,11620.0,520.0,10.960000038146973,50.75,41.0,11.4399995803833,11.350000381469728,16.899999618530273,139.8000030517578,175.0,72.66000366210938,754.0,811.4000244140625,19.299999237060547,285.79998779296875,2.184999942779541,63.48481369018555
2026-07-31,22.0,71.9000015258789,88.5999984741211,66.0,90.6999969482422,124.6500015258789,370.0,5685.81982421875,11140.0,550.0,12.399999618530272,52.150001525878906,41.59999847412109,11.380000114440918,11.399999618530272,15.800000190734863,124.6999969482422,165.1999969482422,75.19999694824219,730.0,745.0,20.299999237060547,269.20001220703125,2.190000057220459,66.0
2026-08-31,22.200000762939453,75.5,93.1999969482422,66.0,105.0,131.0,356.0,5834.27978515625,12760.0,535.0,13.140000343322754,53.70000076293945,41.79999923706055,11.140000343322754,11.449999809265137,16.040000915527344,128.3000030517578,174.60000610351562,68.27999877929688,740.0,875.5999755859375,23.0,273.3999938964844,2.430000066757202,65.30000305175781
