Date,BN-PFE.TO,BN-PR.TO,BN-PB.TO,RFA-PI.TO,ENB-PFG.TO,BN-PFK.TO,BN-PT.TO,BRF-PB.TO,IGM.TO,BN-PFG.TO,ENB-PFV.TO,PPL-PA.TO,LB-PH.TO,NA-PK.TO,ENB-PFA.TO,CIU-PC.TO,BN-PFM.TO,TRP-PF.TO,TVE.TO,BPO-PT.TO,AQN-PD.TO,AQN-PA.TO,PPL-PE.TO,FTS-PM.TO,CF-PA.TO
2025-09-30,20.56406211853028,19.26107406616211,11.99033546447754,19.440017700195312,20.53533172607422,15.896044731140137,19.14828491210937,19.54180335998535,49.313941955566406,21.7572078704834,23.06657600402832,23.20451736450196,22.539531707763672,26.27311897277832,20.896015167236328,15.918968200683594,,17.61069107055664,5.955205917358398,18.08065414428711,23.804981231689453,23.22108268737793,23.85229682922364,22.835662841796875,19.73677635192871
2025-10-31,21.08526992797852,19.43381690979004,12.08474826812744,19.613494873046875,21.232404708862305,16.265270233154297,19.359020233154297,19.96286392211914,52.51652908325195,22.7680721282959,23.103992462158203,23.598289489746094,22.5677433013916,26.68199348449707,21.479860305786133,16.632476806640625,,17.667654037475586,6.145229339599609,18.04356575012207,24.13274574279785,23.530696868896484,24.30198860168457,22.98714256286621,20.33979034423828
2025-11-28,21.60647964477539,19.79850196838379,12.056425094604492,19.75493812561035,21.422212600708008,16.146976470947266,19.53144073486328,20.12594413757324,55.53416061401367,22.975914001464844,23.557519912719727,23.51996612548828,22.9438705444336,26.720029830932617,21.712690353393555,16.684249877929688,24.394445419311523,18.27524375915528,7.716844081878662,18.432994842529297,24.320037841796875,23.455638885498047,24.47903251647949,23.425830841064453,19.97606658935547
2025-12-31,22.35465431213379,20.746746063232425,12.34703540802002,20.202842712402344,22.082387924194336,16.5117130279541,20.53599548339844,20.43291473388672,60.713809967041016,23.46451187133789,23.719263076782227,23.662914276123047,23.58229255676269,26.80561065673828,22.190942764282227,17.238445281982422,24.84353828430176,19.03852272033692,7.897460460662842,19.266658782958984,24.444276809692383,24.02448844909668,24.412357330322266,23.771455764770508,20.7506160736084
2026-01-30,22.575702667236328,21.463823318481445,12.529315948486328,20.72956085205078,22.18763542175293,,21.291921615600582,21.115583419799805,64.69197845458984,23.426172256469727,23.938093185424805,24.044113159179688,23.544086456298828,27.128623962402344,21.990074157714844,17.86070442199707,25.11108589172364,19.2313175201416,9.114737510681152,19.929393768310547,24.28239250183105,23.84327888488769,24.81240463256836,23.90586471557617,20.818397521972656
2026-02-27,22.681421279907227,21.51227378845215,12.5676908493042,20.9508056640625,22.569610595703125,,21.136859893798828,21.242082595825195,66.6565170288086,23.72331047058105,24.360740661621094,24.361650466918945,23.87838554382324,27.25435256958008,22.585674285888672,17.9322509765625,25.321298599243164,19.761505126953125,10.084601402282717,20.3080997467041,24.606157302856445,24.51089096069336,25.031124114990234,24.161523818969727,21.399375915527344
2026-03-31,22.935258865356445,22.2341423034668,12.823264122009276,21.162429809570312,22.53074836730957,,21.20293235778809,21.01827812194824,65.74422454833984,23.80673217773437,24.215621948242188,24.351964950561523,23.960634231567383,27.283367156982425,22.4205322265625,18.61818504333496,25.690460205078125,19.834793090820312,11.422550201416016,20.6938591003418,25.016849517822266,24.92120361328125,25.040809631347656,23.93762588500977,21.84127616882324
2026-04-30,23.46138381958008,22.86968231201172,12.94984245300293,21.295385360717773,23.055397033691406,16.979318618774414,22.07495880126953,21.530467987060547,75.11784362792969,24.117929458618164,24.35106658935547,24.923471450805664,24.20315170288086,27.420278549194336,23.187959671020508,19.60788917541504,25.40825653076172,20.40094375610352,12.654199600219728,22.189916610717773,25.35569953918457,25.144062042236328,25.612117767333984,24.60932159423828,22.89906120300293
2026-05-29,23.909568786621094,23.163009643554688,13.387993812561035,21.98233222961425,23.66080665588379,17.270000457763672,22.50607109069824,21.9940185546875,77.92495727539062,24.536104202270508,24.689186096191406,25.15753936767578,24.63968086242676,27.75467300415039,23.75812530517578,20.523494720458984,25.729387283325195,20.840200424194336,12.674064636230469,23.463977813720703,25.607419967651367,25.221576690673828,25.844257354736328,24.96489715576172,22.7717342376709
2026-06-30,24.019588470458984,23.29468536376953,13.723126411437988,22.953872680664062,23.611515045166016,17.6299991607666,22.77295112609864,22.092647552490234,79.18000030517578,24.88658332824707,,25.049272537231445,24.52726936340332,27.735002517700195,23.67926025390625,20.276817321777344,26.013904571533203,20.599363327026367,12.324555397033691,22.820093154907227,26.28232955932617,25.602758407592773,25.7163143157959,24.81688499450684,23.018007278442383
2026-07-31,24.207164764404297,23.68917655944824,13.979818344116213,23.190000534057617,24.350914001464844,,23.218509674072266,22.6200008392334,87.16000366210938,,24.836729049682617,25.492185592651367,24.82278060913086,28.559999465942383,24.576351165771484,21.11551856994629,,21.84421730041504,13.36073398590088,23.23268318176269,26.075693130493164,25.70119285583496,26.474124908447266,25.162250518798828,23.5427188873291
2026-08-31,25.026575088500977,24.26118850708008,14.22663688659668,23.6200008392334,24.84000015258789,,24.00071144104004,22.75,86.29000091552734,25.705286026000977,25.39999961853028,25.86000061035156,25.266042709350582,28.96999931335449,25.0,20.75,25.727819442749023,21.920000076293945,13.510183334350586,23.900684356689453,26.370887756347656,25.98665237426757,26.65999984741211,25.489999771118164,24.938650131225582
