Date,NBGRY,FFWC,TRUH,ERBKY,PZLV,ZINC,BORT,RWIN,CULL,DNKEY,PPBN,SBKO,FFMH,LRBI,UNTN,TGT,BOTJ,WIMA,FKKFY,SMCP,ATLO,VPX,KHNGY,CCFN,RPRX
2025-09-30,,42.929683685302734,,,,,38.21872329711914,,11.389599800109863,19.543270111083984,36.69889450073242,16.0,43.24131774902344,106.201904296875,19.505748748779297,86.2090835571289,15.312556266784668,,13.279999732971191,,19.545486450195312,,36.13481903076172,15.971543312072754,34.608829498291016
2025-10-31,,43.65151596069336,,,,,41.15862655639648,,11.508447647094728,20.46392059326172,38.32974243164063,16.450000762939453,45.24897766113281,109.1014404296875,19.593481063842773,89.11155700683594,16.735837936401367,,14.130000114440918,,20.164138793945312,,36.95606231689453,16.66151237487793,36.82583618164063
2025-11-28,,44.48065185546875,,,,,42.3162956237793,,11.73624038696289,21.01083755493164,40.28459930419922,16.68000030517578,47.413063049316406,111.06724548339844,20.665760040283203,88.19110107421875,17.769296646118164,,15.0,,21.09211540222168,,38.74347686767578,16.882911682128906,39.47725677490234
2025-12-31,,45.765262603759766,,,,,43.35079956054688,,12.380000114440918,22.751867294311523,44.73881149291992,17.989999771118164,48.20000076293945,116.53451538085938,21.231143951416016,95.12999725341795,18.34186363220215,,16.110000610351562,,22.399394989013672,,42.10575866699219,18.12335586547852,38.115970611572266
2026-01-30,,47.12054443359375,,,,,44.33604431152344,,12.380000114440918,23.253210067749023,43.942359924316406,19.200000762939453,49.47649002075195,121.20655059814452,22.274179458618164,102.64306640625,18.65776252746582,,18.40999984741211,,25.46272850036621,,44.646785736083984,19.12215232849121,41.114742279052734
2026-02-27,,47.63123321533203,,,,,45.07910919189453,,13.1899995803833,23.78190040588379,45.75325393676758,19.96999931335449,52.34613037109375,126.33296966552734,22.91754722595215,111.86634063720705,19.75996398925781,,18.6299991607666,,26.580310821533203,,44.9463005065918,19.66988182067871,45.82201766967773
2026-03-31,,48.18409729003906,,,,,46.56523132324219,,13.5,24.036901473999023,46.16874313354492,19.450000762939453,52.19770050048828,128.967529296875,25.0,119.15106964111328,20.434499740600582,38.71759414672852,20.299999237060547,,27.77106094360352,24.11000061035156,44.03810119628906,21.42407417297364,47.56724166870117
2026-04-30,,49.91378402709961,25.382041931152344,,27.049999237060547,,50.03285598754883,25.76485252380371,14.5,25.342294692993164,49.59158706665039,20.100000381469727,53.92900085449219,138.8881072998047,25.5,127.55653381347656,22.77553939819336,40.85592269897461,20.479999542236328,,27.73169708251953,26.729999542236328,45.35209274291992,23.966421127319336,49.66944122314453
2026-05-29,,50.299259185791016,25.980205535888672,,27.76000022888184,,51.78272247314453,26.07169342041016,15.149999618530272,26.38999938964844,51.5807991027832,21.0,57.46125030517578,142.85635375976562,27.989999771118164,126.1020965576172,22.845542907714844,41.9052848815918,20.299999237060547,23.979999542236328,28.282787322998047,28.88999938964844,46.09000015258789,27.04160499572754,55.536231994628906
2026-06-30,17.739999771118164,51.27161407470703,27.67500114440918,9.861000061035156,28.540000915527344,25.600000381469727,51.87232971191406,26.26000022888184,15.399999618530272,26.8700008392334,55.21255111694336,22.39999961853028,57.46125030517578,142.6929168701172,28.0,129.61514282226562,25.426002502441406,42.08000183105469,21.31800079345703,24.989999771118164,29.38432884216309,29.709999084472656,48.45000076293945,27.449365615844727,55.84498977661133
2026-07-31,18.46999931335449,52.05719375610352,28.3700008392334,10.295000076293944,30.520000457763672,26.15999984741211,54.75965881347656,27.15999984741211,16.239999771118164,28.770000457763672,59.6900520324707,23.540000915527344,59.0,146.6674041748047,29.100000381469727,143.38941955566406,26.940404891967773,43.11000061035156,22.0,25.1200008392334,30.35685920715332,30.01000022888184,50.95000076293945,28.7919979095459,58.19552230834961
2026-08-31,19.59000015258789,53.449363708496094,29.770000457763672,11.27079963684082,31.38999938964844,26.40999984741211,57.209999084472656,27.65999984741211,16.799999237060547,29.01000022888184,65.66000366210938,25.14999961853028,63.99990081787109,162.0,30.5,160.8800048828125,27.040000915527344,43.77999877929688,23.8799991607666,26.64999961853028,31.25,30.920000076293945,53.380001068115234,28.5,61.40999984741211
