Date,MJLF.BK,POPF.BK,PDG.BK,DMT.BK,WORLDA01.BK,WHAIR.BK,GOLDM01.BK,QHHRREIT.BK,SGX19.BK,JCT.BK,TMD.BK,KBSPIF.BK,SAUCE.BK,SPRIME.BK,BKNG03.BK,SSSC.BK,LHFG.BK,VCOM.BK,GC.BK,KO80.BK,TISCO.BK,BKIH-R.BK,BKIH.BK,INETREIT.BK,AMATAR.BK
2025-09-30,,6.300000190734863,2.54313588142395,9.329632759094238,,5.468069553375244,,5.684794425964356,,74.98402404785156,23.425926208496094,7.400000095367432,36.11341094970703,3.122142553329468,,1.9109209775924685,0.706002950668335,2.609247922897339,3.643224477767944,2.0849432945251465,95.37401580810548,284.3814697265625,284.3814697265625,10.35023593902588,5.971885681152344
2025-10-31,,6.400000095367432,2.561431884765625,9.51437759399414,,5.559969902038574,,5.639316082000732,4.167839050292969,76.87041473388672,23.894445419311523,7.800000190734863,36.35257339477539,3.122142553329468,,1.9294735193252563,0.7342430353164673,2.447294473648072,3.588576078414917,2.18237042427063,100.51673126220705,285.3139038085937,285.3139038085937,10.221860885620115,6.109698295593262
2025-11-28,,6.550000190734863,2.5980238914489746,9.625622749328612,,5.774285793304443,,5.775751113891602,4.154264450073242,77.57781219482422,24.12870407104492,8.050000190734863,36.83089828491211,3.140085935592652,,1.9294735193252563,0.7436564564704895,2.5552632808685303,3.588576078414917,2.2797975540161133,99.11417388916016,282.2232971191406,282.2232666015625,10.380027770996094,6.167334079742432
2025-12-30,,6.800000190734863,2.6895034313201904,9.814361572265623,,5.774285793304443,,6.073513984680176,4.174046993255615,79.22840118408203,24.36296272277832,8.050000190734863,37.07006072998047,3.213970184326172,,1.9294735193252563,0.8472034931182861,2.6632323265075684,3.643224477767944,2.158629894256592,103.32184600830078,284.1110534667969,284.1110534667969,10.920537948608398,6.355649471282959
2026-01-30,,6.849999904632568,2.6895034313201904,10.003100395202637,,5.868175983428955,,6.166953086853027,4.312522888183594,79.46420288085938,24.59722328186035,8.25,38.265869140625,3.269383668899536,,1.966578841209412,0.92251056432724,2.7352116107940674,3.66144061088562,2.2763729095458984,105.19193267822266,284.1110534667969,284.1110534667969,11.36819839477539,6.261491775512695
2026-02-27,4.774617671966553,6.949999809265137,2.854166984558105,10.569313049316406,,6.572357177734375,,6.774304389953613,4.436922550201416,78.99260711669922,25.30000114440918,8.350000381469727,39.70083618164063,3.3432679176330566,,2.077894687652588,0.9601640105247498,3.041123390197754,4.080411434173584,2.452988386154175,107.06201171875,296.38165283203125,296.3816223144531,12.204303741455078,6.468732833862305
2026-03-31,4.754190444946289,6.849999904632568,2.918719291687012,10.68871784210205,4.420000076293945,6.654073715209961,,6.7120795249938965,4.974128246307373,79.75,25.75,8.350000381469727,39.461673736572266,3.27158260345459,,2.1335525512695312,0.9507506489753724,3.1599998474121094,4.135059833526611,2.489142894744873,105.6594467163086,309.18243408203125,309.18243408203125,11.882610321044922,6.420815944671631
2026-04-30,4.8954033851623535,7.199999809265137,2.9573779106140137,10.68871784210205,4.800000190734863,7.329124927520752,,7.38328742980957,5.52128267288208,81.0,25.25,8.649999618530273,40.0,3.4047281742095947,2.33075213432312,2.115000009536743,1.1116260290145874,3.2756097316741943,4.22614049911499,2.548408269882202,107.7755889892578,313.0351867675781,313.03515625,11.94871997833252,6.564565658569336
2026-05-29,5.177830696105957,7.849999904632568,3.0346951484680176,11.000191688537598,5.099999904632568,7.372722148895264,,7.596802234649658,5.550000190734863,81.0,26.0,9.199999809265137,40.75,3.654612064361572,2.290910243988037,2.119999885559082,1.141138195991516,3.622438907623291,4.302631378173828,2.6076738834381104,111.22047424316406,346.8973999023437,346.8973999023437,12.210537910461426,7.148312091827393
2026-06-30,5.437419414520264,8.25,3.0346951484680176,11.58948802947998,5.150000095367432,7.618479251861572,3.7799999713897705,7.939883708953857,6.25,82.5,26.0,9.550000190734863,40.75,3.967305898666382,2.5351009368896484,2.1600000858306885,1.141138195991516,3.738048791885376,4.512982368469238,2.7436344623565674,116.14173126220705,366.6636352539063,366.6636352539063,12.57331085205078,7.197272777557373
2026-07-31,5.680161476135254,8.449999809265137,3.0733535289764404,12.276999473571776,5.199999809265137,8.060842514038086,3.839999914169312,8.430000305175781,6.400000095367432,84.0,26.75,9.649999618530272,41.5,4.221370220184326,2.6947925090789795,2.2799999713897705,1.2395122051239014,3.9307315349578857,4.9241228103637695,2.962330102920532,126.47637939453124,367.6519470214844,367.6519470214844,13.332499504089355,7.393117427825928
2026-08-31,5.971451759338379,8.850000381469727,3.220000028610229,12.199999809265137,5.300000190734863,8.449999809265137,4.179999828338623,8.449999809265137,6.650000095367432,83.75,27.25,9.5,41.5,4.340000152587891,2.7945995330810547,2.359999895095825,1.2296748161315918,3.9800000190734863,5.25,2.942448616027832,125.9842529296875,392.0,392.0,13.399999618530272,7.5
