Date,KBCA.VI,DLGI.VI,TGTC.VI,VID.VI,KNIN.VI,JYSK.VI,ALSY.VI,ASRN.VI,KRKG.VI,BKS.VI,OBS.VI,AGS.VI,BONY.VI,BION.VI,^ATX,CABK.VI,LOTB.VI,EVN.VI,STT.VI,ROCK.VI,PECN.VI,ISS.VI,ELE.VI,NN.VI,BMYS.VI
2025-09-30,,,71.32028198242188,,153.103515625,,,,,17.184906005859375,74.76978302001953,55.10487365722656,91.05968475341795,,4636.009765625,8.497137069702148,,22.688512802124023,95.82666778564452,,0.425954133272171,,25.79539680480957,56.66357803344727,36.3802490234375
2025-10-31,,,76.6258773803711,,160.78524780273438,,,,,17.184906005859375,74.76978302001953,53.787254333496094,91.844970703125,,4808.16015625,8.664304733276367,,24.530742645263672,97.28572082519533,,0.47503262758255,,29.56659507751465,56.132232666015625,38.49121856689453
2025-11-28,,,76.34623718261719,,166.63111877441406,,,,,17.184906005859375,74.96654510498047,55.34016418457031,95.55188751220705,,5009.77001953125,9.295068740844728,,25.742734909057617,100.6248779296875,,0.5152169466018677,,29.81545829772949,59.13050842285156,40.74776840209961
2025-12-30,,,80.70388793945312,,177.4532012939453,,,,,17.96603775024414,74.96654510498047,57.90470123291016,98.28279113769533,,5326.330078125,10.131102561950684,,26.324493408203125,109.28119659423828,,0.4889631271362304,,29.35602188110352,62.35649871826172,44.35150909423828
2026-01-30,,,85.39080810546875,,188.56515502929688,,,,,18.55188751220703,75.95035552978516,57.95299530029297,99.41545104980467,,5604.89990234375,10.745548248291016,,27.5849666595459,107.89988708496094,,0.5282902121543884,,30.27047538757324,63.32429885864258,45.11736297607422
2026-02-27,,,94.11727905273438,,188.32359313964844,,,,,19.72358512878418,77.32769775390625,60.80235290527344,100.24787902832033,,5701.7001953125,10.310113906860352,,28.700000762939453,107.56442260742188,,0.5513293147087097,,33.27516174316406,66.0189437866211,51.45399475097656
2026-03-31,,,101.77091217041016,,188.8067169189453,117.6999969482422,68.8499984741211,58.11813735961914,226.1569061279297,20.11415100097656,78.31150817871094,61.18870162963867,100.16859436035156,,5343.25,9.913385391235352,9727.1767578125,28.39999961853028,106.99217224121094,23.559999465942383,0.6316980123519897,31.420000076293945,35.30745315551758,63.85564041137695,50.92716217041016
2026-04-30,,,107.4058074951172,,192.52682495117188,118.6999969482422,72.69999694824219,63.07896041870117,236.3049774169922,20.504716873168945,80.27913665771484,64.23123931884766,114.48616790771484,48.900001525878906,5794.7001953125,10.704999923706056,10252.7021484375,28.950000762939453,129.51422119140625,24.86000061035156,0.7067087888717651,31.34000015258789,37.018856048583984,70.1747817993164,50.57164764404297
2026-05-29,77.5481185913086,35.68000030517578,107.63834381103516,77.30000305175781,197.75,122.6999969482422,71.8499984741211,63.07896041870117,245.9698028564453,21.0,82.4000015258789,64.8107681274414,119.46382904052734,47.79999923706055,6148.8701171875,11.69499969482422,11100.0,28.25,133.591064453125,27.07999992370605,0.6341090798377991,35.279998779296875,34.93794631958008,70.59445190429688,47.89543151855469
2026-06-30,82.5,37.040000915527344,113.783447265625,83.9000015258789,212.5,126.6999969482422,77.25,64.8044662475586,245.486557006836,21.600000381469727,82.4000015258789,70.0,127.42808532714844,52.70000076293945,6464.2001953125,12.354999542236328,11640.0,28.600000381469727,147.86000061035156,28.059999465942383,0.694344699382782,35.91999816894531,38.80805206298828,75.24449920654297,49.90999984741211
2026-07-31,88.9000015258789,40.47999954223633,123.89312744140624,88.19999694824219,218.8000030517578,137.39999389648438,83.19999694824219,69.4515609741211,260.0,21.600000381469727,83.0,72.1500015258789,137.0,55.70000076293945,6457.919921875,12.604999542236328,11160.0,29.299999237060547,160.39999389648438,27.700000762939453,0.7978358864784241,38.31999969482422,42.38999938964844,79.91416931152344,56.11000061035156
2026-08-31,93.9000015258789,42.400001525878906,139.39999389648438,89.80000305175781,231.6999969482422,146.39999389648438,90.75,73.08000183105469,263.5,21.799999237060547,83.4000015258789,75.30000305175781,140.0,59.5,6768.240234375,13.239999771118164,12780.0,29.450000762939453,165.85000610351562,27.68000030517578,0.8172863125801086,38.5,42.38999938964844,78.5,57.22999954223633
