Date,TDV-D.CR,DOM.CR,GZL.CR,BVL.CR,BVCC.CR,IVC-B.CR,ABC-A.CR,MTC-B.CR,SVS.CR,MVZ-A.CR,RST-B.CR,RST.CR,CRM-A.CR,MVZ-B.CR,EFE.CR,ENV.CR,PTN.CR,PGR.CR,IVC-A.CR,PCP-B.CR,BPV.CR,MPA.CR
2025-09-30,68.0,83.04338836669922,56.0,206.1325225830078,89.0,107.9122085571289,199.0791015625,63.5,54.900001525878906,1099.71337890625,37.94994354248047,58.95894241333008,49.89411926269531,1099.6767578125,22.5,95.77013397216795,134.0,40.5,272.829345703125,,15.874117851257324,11000000.0
2025-10-31,124.9800033569336,143.1650848388672,95.0,288.2122802734375,141.99000549316406,166.7145538330078,318.52655029296875,79.0,80.0,1549.5960693359375,71.49989318847656,76.95945739746094,159.34765625,1499.5592041015625,35.0,240.0,174.9499969482422,46.45000076293945,362.1321411132813,95.0,40.97737503051758,15000000.0
2025-11-28,127.9000015258789,133.7098846435547,107.0,278.27392578125,139.0,146.15237426757812,293.6416931152344,78.25,77.0,1344.6395263671875,63.799903869628906,68.8137435913086,149.772216796875,1381.5838623046875,36.4900016784668,216.9900054931641,160.0,48.5,436.5329284667969,99.0,40.1282958984375,15500000.0
2025-12-30,210.0,212.0256805419922,153.99000549316406,536.671142578125,205.0,200.0,423.0430908203125,143.0,199.94000244140625,1899.5048828125,86.99987030029297,93.94050598144533,204.688705444336,1843.4581298828125,53.0,335.0,230.0,70.0,398.989990234375,139.89999389648438,50.1326789855957,27000000.0
2026-01-30,426.0,405.9049987792969,314.0,888.98583984375,378.0499877929688,344.5,791.3394775390625,155.0,495.0,4298.87939453125,243.9996337890625,255.86520385742188,319.5240783691406,3998.82470703125,99.54000091552734,420.0,470.0,112.0,863.0,265.0,72.79944610595703,43000000.0
2026-02-27,705.0,553.9409790039062,800.0,1788.90380859375,792.0,500.0,1871.343505859375,229.0,1180.0,7198.12353515625,433.9993591308594,517.7272338867188,524.2027587890625,7097.91357421875,113.0,790.0,615.0,120.0,1029.0,295.0,129.20794677734375,96990000.0
2026-03-31,801.0,782.6803588867188,890.0,1685.544921875,485.0,479.0,1694.5487060546875,299.8999938964844,1339.9000244140625,8197.86328125,405.9993896484375,549.6903686523438,799.4225463867188,7997.6494140625,135.0,849.0,669.989990234375,108.0,845.0,420.0,105.76592254638672,99000000.0
2026-04-30,850.0,658.9987182617188,710.0,1605.0,590.0,530.0,1554.9976806640625,257.0,1015.0,8888.0,418.0,540.5499877929688,597.568359375,6500.0,135.0,690.0,632.0,101.5,865.010009765625,380.010009765625,91.55305480957033,100000000.0
2026-05-29,860.0,653.268310546875,850.0,1980.0,636.02001953125,510.0,1510.1419677734375,257.0,975.0,8100.0,385.0,545.0,574.5849609375,6650.0,135.0,710.0,614.5999755859375,99.0,865.010009765625,305.0,91.05040740966795,114350000.0
2026-06-30,860.0,573.0423583984375,850.0,1900.8900146484373,550.0,510.0,1495.1900634765625,257.0,970.0,6230.0,365.0,554.0,554.599365234375,5455.0,105.0,779.0,540.0,98.0,865.010009765625,310.0,93.02202606201172,104000000.0
2026-07-31,780.0,527.198974609375,800.010009765625,1601.0,471.0,474.0499877929688,1496.1868896484375,257.0,730.0,6400.0,320.0,512.0,504.635498046875,5300.0,90.0,674.989990234375,480.0,97.0,791.6199951171875,323.79998779296875,64.14087677001953,104000000.0
2026-08-31,800.0,640.43212890625,750.0,1725.0,643.5,474.0499877929688,1748.3756103515625,257.0,759.0,6501.0,344.989990234375,492.9100036621094,539.6102294921875,5700.0,85.0,600.0,490.0,96.0,875.0,240.0,60.0,102.0
