Date,R3N.F,Y7F.MU,NA1.F,4FWA.F,RZ2.DE,ALV1.F,3VU.DE,H5PA.F,2LW.DU,MCK.DE,94Y.DU,D27.F,34U.DE,Z4Q.HM,DW10.F,L0T.DE,KDB.DE,V1NC.DE,A2A.DE,K89.F,DSN0.F,DYH.F,EAC.DE,DYH.HM,DYH.HA
2025-09-30,,,,,,,,,,,,,,,,,98.88581085205078,,,,16.06365203857422,71.35404205322266,,71.33501434326172,71.33502197265625
2025-10-31,,,,,,,,,,,,,,,,,101.86017608642578,,,,16.60209846496582,76.50940704345703,,76.50948333740234,76.50948333740234
2025-11-28,,,,,,,,,,,,,,,,,103.71306610107422,,,,17.409767150878906,75.92056274414062,,76.33309936523438,76.3331069946289
2025-12-30,,,,,,,,,,,,,,,,,109.51554870605467,,,,18.307178497314453,81.05426025390625,,80.24662017822266,80.24662017822266
2026-01-30,9.720000267028809,,,,,,,,,,,,,,,,115.22049713134766,,,,18.66614151000977,85.19995880126953,,85.18696594238281,85.16758728027344
2026-02-27,10.399999618530272,,,,,,,,,,,,,,,,,,,,19.384071350097656,93.81954193115234,,94.09356689453124,94.09355926513672
2026-03-31,11.0,,,,,,,,,,,,,,,,102.0552215576172,,,,19.55258178710937,101.39606475830078,,101.7598648071289,101.7598648071289
2026-04-30,,,,,,,,29.856109619140625,,,,,,,,,,,,,20.921262741088867,106.83586883544922,,106.85765838623048,106.85765838623048
2026-05-29,,,15.79599952697754,,,7.5,,31.42233085632324,,,,,,,,,114.0500030517578,,,,21.600000381469727,107.63981628417967,,107.45880889892578,107.45880889892578
2026-06-30,8.5,14.31999969482422,16.8799991607666,1.7970000505447388,77.27999877929688,7.960000038146973,36.46500015258789,32.890663146972656,19.799999237060547,655.106689453125,0.5400000214576721,24.450000762939453,403.1000061035156,4.572000026702881,22.600000381469727,57.0976448059082,,16.760000228881836,33.83000183105469,1.25600004196167,22.799999237060547,115.56908416748048,58.20000076293945,113.40670776367188,113.40670776367188
2026-07-31,,15.395000457763672,17.81800079345703,1.901000022888184,81.66000366210938,8.4399995803833,39.52000045776367,34.55477523803711,21.200000762939453,719.2388305664062,0.5619999766349792,26.100000381469727,440.7000122070313,4.808000087738037,24.0,58.56999969482422,124.5999984741211,18.57999992370605,34.849998474121094,1.406000018119812,24.200000762939453,123.8948211669922,59.36000061035156,123.31988525390624,123.31988525390624
2026-08-31,,16.860000610351562,18.6879997253418,2.0439999103546143,85.22000122070312,8.800000190734863,41.93999862670898,35.599998474121094,22.200000762939453,764.7906494140625,0.5979999899864197,29.0,465.6000061035156,5.23199987411499,26.600000381469727,61.36000061035156,,19.57999992370605,35.349998474121094,1.4839999675750732,24.200000762939453,139.1999969482422,62.29999923706055,139.0,139.0
