Date,1TGT.MI,1UQA.MI,1NVT.MI,1CABK.MI,1NESTE.MI,1BMY.MI,1STT.MI,1ELE.MI,1CSX.MI,1VTRS.MI,1MRKX.MI,1KRYS.MI,1WFRD.MI,1LOG.MI,1BBVA.MI,1RWE.MI,1KO.MI,1INVEB.MI,TIT.MI,4GLEN.TI,PSQ.MI,PHN.MI,1JNJ.MI,BMED.MI,1UNP.MI
2025-09-30,71.39441680908203,11.011427879333496,,8.4745454788208,15.428949356079102,36.341609954833984,95.5772705078125,26.2532958984375,28.62288856506348,7.7981038093566895,66.8183364868164,138.64999389648438,57.62728118896485,27.36765480041504,15.550699234008787,37.09780883789063,54.97591018676758,21.67027282714844,4.453000068664551,3.808984041213989,0.824999988079071,38.947715759277344,151.7393035888672,15.9493408203125,178.41073608398438
2025-10-31,77.88134765625,11.913061141967772,,8.723684310913086,18.029390335083008,38.438133239746094,98.02496337890624,29.9306869506836,28.62288856506348,8.557347297668457,71.36314392089844,162.75,60.64472579956055,27.6494083404541,16.624799728393555,41.8147087097168,57.89541244506836,24.20441246032715,5.111999988555908,4.025920867919922,0.8299999833106995,45.59492111206055,159.2989959716797,16.286100387573242,183.38771057128903
2025-11-28,76.447021484375,13.083266258239746,,9.313359260559082,16.838348388671875,40.7359619140625,99.47399139404295,30.143030166625977,28.75148582458496,8.964132308959961,87.12490844726562,186.6000061035156,60.89225387573242,27.6494083404541,18.0268497467041,42.64826202392578,60.59183120727539,25.66712760925293,4.8480000495910645,3.998319387435913,0.8550000190734863,57.11674880981445,170.99249267578125,17.828781127929688,195.0397491455078
2025-12-30,79.31427001953125,14.253469467163086,86.52622985839844,10.132904052734377,19.39908790588379,44.1875114440918,106.6995620727539,29.70869255065918,28.75148582458496,10.34585189819336,88.30326843261719,206.1999969482422,65.72402954101562,28.212915420532227,19.45970344543457,46.09032440185547,58.20571517944336,27.12156867980957,5.138000011444092,4.497564792633057,0.8600000143051147,53.47309494018555,172.79820251464844,18.82463836669922,199.28488159179688
2026-01-30,85.37811279296875,14.982449531555176,94.18930053710938,10.762577056884766,20.9524040222168,45.09407043457031,108.51505279541016,30.29638671875,31.53611946105957,10.628232955932615,89.47543334960938,235.1000061035156,71.86276245117188,28.212915420532227,20.74733543395996,51.7780647277832,60.8265380859375,28.78378868103028,5.699999809265137,5.572564125061035,0.9100000262260436,62.13908386230469,186.851303100586,19.10502815246582,191.9541778564453
2026-02-27,94.38152313232422,16.056734085083008,97.179443359375,10.195870399475098,20.813447952270508,50.31897735595703,106.8179702758789,33.82558822631836,33.78715133666992,12.38581085205078,101.58782958984376,233.8000030517578,80.98125457763672,31.433847427368164,19.16925811767578,53.3078727722168,67.38837432861328,31.03396987915039,6.361999988555908,5.879568099975586,0.9700000286102296,65.97969055175781,205.70736694335932,17.63541030883789,222.2188720703125
2026-03-31,101.82340240478516,15.308571815490724,102.66136169433594,9.832597732543944,23.71999931335449,50.796630859375,106.32463073730467,35.25291061401367,33.78715133666992,11.560961723327637,102.84928894042967,222.6000061035156,78.37857055664062,31.138601303100582,17.576662063598633,56.74013137817383,64.82176208496094,29.0180892944336,5.992000102996826,6.281482219696045,0.959999978542328,77.50151824951172,208.6700439453125,16.707231521606445,208.1788024902344
2026-04-30,107.06900024414062,16.03754997253418,118.8202133178711,10.80500030517578,28.07999992370605,50.43833923339844,129.47499084472656,37.423221588134766,33.78715133666992,12.669869422912598,92.84019470214844,231.8000030517578,78.37857055664062,32.02434158325195,18.815000534057617,60.80000305175781,65.90607452392578,30.070236206054688,6.714000225067139,6.3628339767456055,1.0,77.5999984741211,193.1457061767578,18.6299991607666,224.24578857421875
2026-05-29,109.81436157226562,16.920000076293945,142.78395080566406,11.420000076293944,28.09000015258789,47.886810302734375,132.60745239257812,35.78082275390625,39.315372467041016,13.648776054382324,101.15483856201172,256.0,87.46499633789062,33.165958404541016,20.040000915527344,54.63999938964844,66.86223602294922,36.209999084472656,7.288000106811523,6.492195129394531,0.9549999833106996,90.5999984741211,193.3385162353516,19.809999465942383,230.56211853027344
2026-06-30,118.73429870605467,18.63999938964844,150.77186584472656,12.350000381469728,27.450000762939453,49.89546203613281,150.010009765625,39.07539749145508,41.93706130981445,14.00571060180664,110.73960876464844,325.20001220703125,87.46499633789062,33.69740295410156,21.780000686645508,56.560001373291016,71.1491470336914,35.724998474121094,7.958000183105469,5.855705738067627,0.9950000047683716,87.69999694824219,222.40988159179688,21.780000686645508,235.33648681640625
2026-07-31,127.65423583984376,18.63999938964844,139.0,12.595000267028809,28.540000915527344,56.22999954223633,155.39999389648438,42.38999938964844,41.93706130981445,15.088412284851074,112.58692169189452,304.1000061035156,87.46499633789062,36.39397811889648,24.200000762939453,57.02000045776367,75.84608459472656,35.93000030517578,7.353000164031982,6.20822286605835,1.0199999809265137,83.19999694824219,222.9567108154297,23.170000076293945,254.43394470214844
2026-08-31,141.1999969482422,18.3799991607666,148.0,13.175000190734863,32.119998931884766,57.36000061035156,167.1999969482422,42.27000045776367,44.30500030517578,14.05799961090088,127.70313262939452,300.29998779296875,87.73999786376953,36.59999847412109,25.049999237060547,58.619998931884766,76.3525161743164,36.130001068115234,7.835999965667725,6.860000133514404,1.0399999618530271,82.0,229.3500061035156,24.049999237060547,265.8999938964844
