Date,IAIFFS.CO,NDIGSEKL1.CO,SSIPEURR.CO,SPIVAKLA.CO,SSIGVEURR.CO,IIVGLA.CO,PMIPCSPKLNO.CO,SYIGLVADKK.CO,SYIGLVADKKAKK.CO,SSIBDKKR.CO,SSIGVDKKR.CO,PMIOSU.CO,IAIRIN.CO,SYIUSAVADKK.CO,SYIEUVADKK.CO,NDINOSKL1.CO,NBIOFKL.CO,GDIGV.CO,SPIUSVKL.CO,ISS.CO,NDIGUAKL1.CO,SPIVEUKLA.CO,IAIFBF.CO,STIGM.CO,BXIDKAIA.CO
2025-09-30,89.72335052490234,,,524.3377685546875,501.0,,167.57000732421875,83.28356170654297,210.66000366210932,1478.0,,,153.89999389648438,39.388973236083984,104.26258087158205,109.0500030517578,246.0,,81.35502624511719,198.55914306640625,68.79877471923828,118.0388641357422,143.85000610351562,,95.15968322753906
2025-10-31,94.56739807128906,123.0,,540.9690551757812,513.4000244140625,,176.14999389648438,84.3386001586914,213.009994506836,1511.0,3833.5,100.0,163.0,39.49948501586914,107.59618377685548,111.1999969482422,254.5,125.92518615722656,82.56165313720703,201.519760131836,70.98797607421875,123.42613220214844,149.60000610351562,1964.0,98.61031341552734
2025-11-28,95.79492950439452,127.25,,553.3521728515625,525.7999877929688,,175.80999755859375,86.27436065673828,218.1499938964844,1508.5999755859375,3933.5,100.8499984741211,163.3000030517578,40.337547302246094,110.52459716796876,109.5500030517578,253.3999938964844,129.06005859375,83.49287414550781,210.0068817138672,72.43670654296875,124.72483825683594,148.64999389648438,1979.4000244140625,100.50572967529295
2025-12-30,99.57195281982422,,270.70001220703125,568.26611328125,540.7999877929688,,179.42999267578125,87.54957580566406,221.3500061035156,1515.199951171875,4045.0,102.6999969482422,172.9499969482422,40.71513748168945,114.36469268798828,112.6999969482422,254.8999938964844,133.65200805664062,83.66354370117188,214.34913635253903,72.91961669921875,129.91970825195312,148.5,1991.5999755859373,103.9077606201172
2026-01-30,100.46900177001952,130.60000610351562,274.8999938964844,582.8184814453125,554.0999755859375,56070.0,184.7400054931641,89.33854675292969,225.94000244140625,1521.199951171875,4111.0,106.0999984741211,178.0,41.203243255615234,117.78117370605467,,258.29998779296875,135.4181365966797,84.91212463378906,235.8629913330078,74.8190689086914,132.66143798828125,150.75,2038.0,106.33778381347656
2026-02-27,,,,608.9000244140625,577.9000244140625,,186.32000732421875,91.12999725341795,230.63999938964844,,4331.0,108.8000030517578,177.0,41.310001373291016,123.62000274658205,110.5500030517578,,143.0500030517578,86.16999816894531,222.0467529296875,79.13999938964844,139.10000610351562,156.3000030517578,2118.5,101.6500015258789
2026-03-31,93.5,116.0500030517578,264.70001220703125,586.2000122070312,556.7000122070312,,182.4900054931641,88.2300033569336,223.3000030517578,1484.4000244140625,4159.0,,174.14999389648438,40.36000061035156,117.75,,,135.1999969482422,83.2654037475586,231.520751953125,74.80000305175781,130.60000610351562,,2024.0,99.87999725341795
2026-04-30,96.0999984741211,,280.29998779296875,620.0,587.9000244140625,55590.0,188.2100067138672,92.5,234.0500030517578,1549.5999755859375,4391.0,,185.3999938964844,42.34000015258789,122.76000213623048,111.4000015258789,264.8999938964844,140.35000610351562,88.8727035522461,233.6000061035156,78.13999938964844,137.35000610351562,157.89999389648438,2213.0,102.1500015258789
2026-05-29,99.4000015258789,131.0,,646.7000122070312,616.0999755859375,58180.0,193.2100067138672,95.30999755859376,241.1499938964844,1599.800048828125,4591.5,108.4499969482422,192.8500061035156,43.59999847412109,124.62000274658205,116.5,,143.14999389648438,92.0500030517578,263.79998779296875,81.44000244140625,143.9499969482422,170.10000610351562,2356.0,105.4499969482422
2026-06-30,102.1500015258789,,,662.0999755859375,628.5,58030.0,193.5399932861328,96.66000366210938,244.42999267578125,,4706.0,107.1999969482422,189.6499938964844,44.560001373291016,127.12999725341795,,281.0,145.10000610351562,93.6959991455078,267.6000061035156,84.95999908447266,143.0,174.10000610351562,2421.5,106.1500015258789
2026-07-31,105.75,135.10000610351562,292.6000061035156,675.9000244140625,643.2000122070312,59670.0,202.42999267578125,99.91999816894533,252.7100067138672,1596.800048828125,4807.0,107.3000030517578,198.4499969482422,45.68999862670898,133.6199951171875,118.6500015258789,,151.0,95.20909881591795,287.3999938964844,85.58000183105469,150.39999389648438,171.3000030517578,,109.9000015258789
2026-08-31,,136.64999389648438,295.29998779296875,685.2999877929688,,,212.4217987060547,101.6249008178711,257.0350952148437,1606.199951171875,4878.0,109.6999969482422,206.6999969482422,46.83869934082031,133.1737060546875,119.8499984741211,281.0,155.35000610351562,97.36573028564452,288.20001220703125,86.18000030517578,151.5,172.10000610351562,2436.0,114.5999984741211
