Date,ENELGXCH.SN,CFIMRCLP.SN,CFIMRCLPR.SN,HWM.SN,CFI4060ETF.SN,BANVIDA.SN,EDELMAG.SN,CGET.SN,ESTACIONAM.SN,OXIQUIM.SN,ENAEX.SN,HWMCL.SN,BSANTANDER.SN,ILC.SN,PARAUCO.SN,CFIPIONERO.SN,CFINRENTAS.SN,CFIASXIB-E.SN,EISA.SN,MALLPLAZA.SN,ANDINA-A.SN,NUAM.SN,ANDINA-B.SN,CFIBMPEM-E.SN,IVVCL.SN
2025-09-30,428.8143005371094,18824.283203125,18302.181640625,173.9600067138672,1013.5,540.143798828125,4936.05322265625,83.15769958496094,3892792.0,10647.263671875,20444.388671875,173.9474639892578,60.79430770874024,12466.66015625,2408.82080078125,11177.888671875,1634.6201171875,1210.989990234375,373.8478393554688,2553.4453125,3079.3154296875,4490.388671875,3594.142333984375,1847.98388671875,635077.1875
2025-10-30,447.3354187011719,19047.44921875,18713.759765625,173.9600067138672,1022.5999755859376,586.5819702148438,4935.685546875,101.63719177246094,3892792.0,11017.603515625,20149.515625,173.9474639892578,65.08084106445312,14385.7138671875,2602.793212890625,11556.77734375,1687.4888916015625,1210.989990234375,375.2633361816406,2607.46044921875,3236.715087890625,4470.0361328125,4065.682373046875,1902.2906494140625,640755.625
2025-11-28,455.8196716308594,19218.091796875,18822.1015625,205.20391845703125,1013.7999877929688,590.2662963867188,4935.685546875,101.72958374023438,3987738.25,11017.603515625,22016.326171875,205.18911743164065,66.4937744140625,15507.7998046875,2968.965576171875,12594.234375,1825.2017822265625,1210.989990234375,453.9476013183594,3142.701904296875,3384.881591796875,4269.740234375,4049.388916015625,1817.9775390625,630744.0
2025-12-30,469.49798583984375,19310.17578125,19107.724609375,205.20391845703125,1014.5,630.803466796875,5092.298828125,101.72958374023438,3987738.25,11304.490234375,23097.53515625,205.18911743164065,67.87806701660156,17455.625,2959.069091796875,14454.98046875,2049.76025390625,1250.0400390625,447.1042175292969,3129.051025390625,3446.81884765625,4610.79443359375,4065.642333984375,1824.037841796875,619893.0625
2026-01-30,473.326416015625,19706.177734375,19060.49609375,224.1656188964844,1007.7999877929688,739.3648071289062,5890.55126953125,109.79588317871094,3987738.25,11823.1669921875,23728.56640625,224.1494598388672,73.40569305419922,20906.279296875,3676.569091796875,16337.9375,2004.2352294921875,1250.0400390625,454.70904541015625,3731.95849609375,3627.680908203125,4741.4716796875,4422.01220703125,1880.3712158203125,597317.1875
2026-02-27,474.42095947265625,19899.763671875,19405.00390625,250.59036254882807,1008.2000122070312,714.873779296875,5890.55126953125,109.79588317871094,3987738.25,11589.4775390625,23429.7578125,250.57229614257807,71.60133361816406,19420.71484375,4102.12060546875,15312.7626953125,2001.23828125,1250.0400390625,451.0188903808594,4044.2646484375,3520.15966796875,4626.962890625,4051.19091796875,2000.888916015625,596577.1875
2026-03-31,485.8904418945313,19894.9609375,19112.87890625,250.59036254882807,1018.2000122070312,714.9125366210938,5890.55126953125,109.79588317871094,3987738.25,12332.3447265625,23686.30078125,250.57229614257807,73.22429656982422,18605.5234375,3740.896728515625,15197.578125,2085.084228515625,1293.3800048828125,465.6721496582031,3912.060791015625,3256.669189453125,4805.76416015625,3770.642578125,1896.9288330078125,602910.625
2026-04-30,520.4111328125,20282.279296875,19307.5078125,252.75830078125,1047.0999755859375,732.510009765625,6240.45166015625,109.86056518554688,4100000.0,12453.0,24128.609375,252.74005126953125,71.94999694824219,20120.818359375,4020.0,15660.5556640625,2289.079345703125,1293.3800048828125,479.42724609375,4435.951171875,3360.07373046875,5148.89990234375,4040.978515625,2101.730224609375,642418.375
2026-05-29,539.5999755859375,20204.275390625,19515.80859375,252.8782501220703,1066.0,745.0,6240.45166015625,119.45999908447266,4100000.0,12441.0,25099.7890625,252.8600006103516,70.0,23300.0,3900.0,16386.0,2176.1328125,1326.68994140625,551.0,3850.53173828125,3440.2509765625,5133.2998046875,4446.2861328125,2228.28857421875,675278.0
2026-06-30,533.22998046875,20804.90234375,20045.970703125,252.8782501220703,1075.300048828125,768.27001953125,6846.2998046875,126.72000122070312,4100000.0,12441.0,24837.791015625,252.8600006103516,75.5,22250.0,3864.89990234375,15816.98046875,2158.340087890625,1308.72998046875,589.8800048828125,3771.13916015625,3560.842041015625,6076.60009765625,4535.2119140625,2314.97998046875,687868.8125
2026-07-31,552.3800048828125,20850.0,20016.783203125,282.8638000488281,1078.199951171875,768.0,6846.2998046875,126.72000122070312,4200000.0,12441.0,24908.791015625,252.8600006103516,77.0,21450.0,4039.89990234375,15391.0,2183.56005859375,1308.72998046875,535.1799926757812,3920.0,3599.10009765625,5860.39990234375,4643.7998046875,2183.8798828125,695930.6875
2026-08-31,552.3800048828125,20825.0,20284.857421875,290.8999938964844,1099.4000244140625,768.0,6846.2998046875,126.72000122070312,4200000.0,12441.0,24909.0,253.0,77.0,21450.0,4039.89990234375,16322.0771484375,2183.56005859375,1308.72998046875,535.1799926757812,3920.0,3650.10009765625,5860.39990234375,4699.89990234375,2287.75,718645.4375
