Date,0NVC.IL,0QMW.IL,LUKNZ.XC,AIBGL.XC,SWEDAS.XC,0R7R.IL,SGLNL.XC,0FBS.IL,BNCL.XC,SHIP.L,NSI.L,SHBAS.XC,DANSKC.XC,0H6T.IL,COST.L,0MGD.IL,CGEOL.XC,BRAI.L,KLR.L,CGEO.L,KLRL.XC,ATC.L,COSTL.XC,SSABBS.XC,OCTVS.XC
2025-09-30,247.53485107421875,143.13291931152344,77.88005828857422,6.268966674804688,256.2922668457031,106.59383392333984,7427.47998046875,18.799999237060547,,1.053336501121521,116.46702575683594,106.96852111816406,250.5159149169922,258.3300170898437,134.96669006347656,687.5648193359375,2395.0,212.87451171875,1507.531005859375,2410.0,1513.5291748046875,,134.9665985107422,52.20015335083008,
2025-10-31,262.1573486328125,149.6543426513672,79.73202514648438,,262.6563720703125,108.7763442993164,7788.2099609375,18.950000762939453,,1.0616891384124756,121.96546936035156,108.46990966796876,262.9118347167969,262.4651184082031,153.36215209960938,741.5009765625,2595.0,217.87158203125,1587.5062255859375,2590.0,1583.5074462890625,,154.06187438964844,57.98715591430664,
2025-11-28,269.7191467285156,155.7168426513672,85.28791809082031,,271.97528076171875,115.10562896728516,8136.06005859375,19.125,,1.0664714574813845,122.98353576660156,114.736572265625,269.9300842285156,272.32574462890625,153.56211853027344,772.84228515625,2775.0,222.90234375,1623.4949951171875,2780.0,1615.4974365234375,,153.96189880371094,63.66681289672852,
2025-12-31,287.3025817871094,165.1608123779297,90.35646057128906,,292.7950439453125,117.13536834716795,8362.08984375,19.27499961853028,,1.0760362148284912,123.9833984375,115.6287078857422,288.02264404296875,292.3650817871094,159.5606231689453,845.72900390625,3105.0,227.9001617431641,1665.48193359375,3100.0,1661.4830322265625,128.5,157.76095581054688,67.99974822998047,
2026-01-30,294.591064453125,171.1750030517578,96.30225372314452,,315.9786071777344,123.42098999023438,9669.23046875,19.27499961853028,,1.0980945825576782,127.9828643798828,122.1782455444336,293.44586181640625,316.72125244140625,176.95632934570312,888.2462768554688,3390.0,233.89752197265625,1771.4488525390625,3375.0,1771.448974609375,145.0,176.35635375976562,71.93257141113281,
2026-02-27,299.5107727050781,171.46484375,100.68848419189452,7.23916482925415,316.38775634765625,127.15308380126952,10134.9697265625,19.825000762939453,,1.1223888397216797,128.48280334472656,126.70417022705078,305.0670166015625,314.90362548828125,186.553955078125,926.876220703125,3695.0,241.92958068847656,2014.373291015625,3725.0,2021.8709716796875,147.5,190.452865600586,77.07549285888672,
2026-03-31,308.28045654296875,173.83187866210938,103.2227554321289,7.717422485351562,320.45001220703125,123.9250030517578,,20.299999237060547,,1.144253492355347,126.98300170898438,123.3000030517578,309.6686096191406,321.1499938964844,181.3552398681641,879.0,3620.0,234.9316253662109,1921.4022216796875,3630.0,1923.401611328125,152.5,182.05496215820312,71.72763061523438,
2026-04-30,319.7599792480469,176.75442504882812,102.9000015258789,8.306538581848145,322.29998779296875,130.77499389648438,,21.0,,1.2033416032791138,130.0,130.625,320.5599975585937,323.1000061035156,186.5848693847656,881.5,3910.0,250.92697143554688,2235.304443359375,3920.0,2240.302978515625,160.0,187.78472900390625,82.72000122070312,
2026-05-29,333.04998779296875,182.0500030517578,107.0,8.640371322631836,337.95001220703125,136.22500610351562,,21.5,,1.2082734107971191,134.0,136.14999389648438,333.8500061035156,339.54998779296875,193.78428649902344,918.5,4140.0,262.4619140625,2367.782470703125,4205.0,2363.78369140625,157.5,194.5841827392578,94.6500015258789,159.6999969482422
2026-06-30,347.45001220703125,196.1000061035156,110.4000015258789,8.758193969726562,356.6499938964844,141.625,,21.600000381469727,10.350000381469728,1.2723857164382937,136.0,142.77499389648438,328.29998779296875,359.25,207.4831695556641,941.25,4170.0,272.9603881835937,2653.756103515625,4180.0,2671.755615234375,172.5,207.98309326171875,89.88999938964844,156.8000030517578
2026-07-31,372.7999877929688,205.0,111.5999984741211,8.797469139099121,372.5499877929688,145.75,,22.049999237060547,10.460000038146973,1.350000023841858,139.5,143.5749969482422,365.4500122070313,379.9500122070313,210.98287963867188,1027.0,3947.5,278.95953369140625,3023.72216796875,3955.0,3022.723388671875,182.5,211.2328186035156,100.4499969482422,172.25
2026-08-28,371.2999877929688,219.5500030517578,114.4000015258789,9.31999969482422,374.8500061035156,147.77499389648438,,22.049999237060547,10.899999618530272,1.3700000047683716,142.0,148.1999969482422,370.5499877929688,375.75,230.48130798339844,1078.5,4500.0,279.0,3020.0,4400.0,3008.0,182.5,230.48126220703125,104.0999984741211,187.8000030517578
