Date,PPG.OL,NOHAL.OL,JACK.OL,AKER.OL,MPCC.OL,WWIB.OL,B2I.OL,AKSO.OL,STB.OL,WWI.OL,SUBC.OL,TGS.OL,WAWI.OL,BNOR.OL,PLSV.OL,VEI.OL,KCC.OL,OET.OL,COSH.OL,SNTIA.OL,NORAM.OL,HAUTO.OL,DNB.OL,INSTA.OL,GOD.OL
2025-09-30,92.0607452392578,19.200000762939453,,735.9300537109375,15.24900722503662,460.6945495605469,15.87920093536377,24.502904891967773,147.60592651367188,491.3757019042969,191.36862182617188,70.10711669921875,87.7147216796875,319.36968994140625,35.68745803833008,148.5048065185547,66.35659790039062,288.7563781738281,103.37682342529295,60.81199264526367,24.462440490722656,97.56108856201172,255.64854431152344,2.98188591003418,8.389777183532715
2025-10-31,92.61869049072266,19.299999237060547,,739.6895751953125,16.382505416870117,464.56591796875,15.989599227905272,22.848630905151367,152.3580322265625,495.2601013183594,177.96783447265625,84.62220001220703,78.36969757080078,327.1419677734375,36.33473205566406,147.37692260742188,72.57950592041016,343.2664794921875,102.92366027832033,58.90580368041992,25.10284996032715,82.83573913574219,243.2192230224609,3.304516315460205,8.982221603393555
2025-11-28,94.38551330566406,18.89999961853028,,767.041259765625,16.581445693969727,489.72991943359375,15.54800033569336,25.076169967651367,152.64895629882812,533.1329345703125,187.68392944335932,83.99429321289062,90.13751983642578,331.32421875,38.38151168823242,158.84375,73.99522399902344,368.3116760253906,106.20905303955078,57.641212463378906,28.43127822875977,82.67544555664062,254.7069396972656,3.3925063610076904,8.772000312805176
2025-12-30,96.2803726196289,20.0,,746.625732421875,16.78900718688965,529.4115600585938,16.780799865722656,25.321853637695312,167.4871368408203,572.9479370117188,195.4760284423828,88.53453063964844,99.87810516357422,338.92340087890625,38.80294799804688,167.86683654785156,74.75027465820312,333.1289367675781,112.34558868408205,58.57106018066406,30.59847640991211,90.9801025390625,265.064697265625,3.353399515151977,9.345333099365234
2026-01-30,96.2803726196289,19.700000762939453,,863.2860107421875,17.745525360107422,589.4180297851562,19.13599967956543,28.745052337646484,163.41392517089844,665.2022705078125,236.26434326171875,97.5666961669922,110.45924377441406,340.8231811523437,41.01824569702149,167.1149139404297,83.52777099609375,381.3514404296875,111.40150451660156,59.789161682128906,31.11126136779785,99.93428802490234,260.5449523925781,3.6858065128326416,8.943999290466309
2026-02-27,99.1401824951172,20.200000762939453,,898.2840576171875,21.16709327697754,638.7781372070312,22.402000427246094,33.593223571777344,174.76075744628906,750.658935546875,264.3543701171875,110.46813201904295,130.039306640625,389.0779724121094,43.07530975341797,184.9730834960937,87.19446563720703,492.0663757324219,122.73046875,67.04196166992188,36.51725006103516,122.94608306884766,283.8970031738281,4.301737308502197,10.654443740844728
2026-03-31,101.5700912475586,21.39999961853028,3.953700065612793,1040.220703125,22.218624114990234,621.35693359375,21.48200035095215,37.95001983642578,169.03884887695312,704.0462036132812,288.9812927246094,129.15670776367188,121.35906219482422,462.7344055175781,42.57866668701172,177.077880859375,89.76461029052734,496.55810546875,126.60120391845705,66.87458801269531,45.44439697265625,133.8975372314453,283.6145324707031,3.8813400268554688,10.367777824401855
2026-04-30,103.03504943847656,23.0,4.441154479980469,1074.0,21.29568290710449,602.0,21.94200134277344,42.15999984741211,178.6999969482422,672.0,320.5345153808594,147.25823974609375,118.17063903808594,484.1039733886719,47.26876449584961,175.3860626220703,97.66541290283205,508.4044189453125,135.9475860595703,73.73686218261719,46.99747085571289,127.72802734375,280.6000061035156,4.300000190734863,10.75
2026-05-29,103.52336120605467,24.200000762939453,5.402641773223877,1246.0,23.49131393432617,634.0,22.25,42.65999984741211,175.89999389648438,695.0,305.0,149.21009826660156,118.27027893066406,457.43365478515625,44.41792297363281,180.3999938964844,86.90510559082031,432.146484375,139.4769744873047,78.0,43.71672058105469,136.3777313232422,287.3999938964844,4.199999809265137,12.699999809265137
2026-06-30,105.0,24.0,5.146553039550781,1148.0,25.015199661254883,614.0,24.0,44.5,185.8000030517578,687.0,338.0,127.37206268310548,130.82467651367188,436.005126953125,44.31710052490234,189.6000061035156,84.9565658569336,484.6780395507813,128.39730834960938,77.0,37.11484146118164,144.24185180664062,294.70001220703125,4.03000020980835,12.75
2026-07-31,106.5,26.600000381469727,5.337165832519531,1274.0,24.03827476501465,713.0,24.25,42.040000915527344,201.3999938964844,768.0,318.3999938964844,127.4000015258789,147.16529846191406,512.0,45.61207580566406,188.1999969482422,97.81696319580078,569.91796875,137.21849060058594,77.5999984741211,42.11387252807617,167.7346649169922,305.0,4.980000019073486,14.800000190734863
2026-08-31,108.0,28.799999237060547,5.689799785614014,1574.0,26.317766189575195,753.0,26.39999961853028,43.31999969482422,204.8000030517578,816.0,344.79998779296875,136.10000610351562,162.60000610351562,551.0,48.44184875488281,210.0,105.80599975585938,624.0,141.0,86.5,46.67327880859375,171.89999389648438,319.0,5.079999923706055,13.850000381469728
