Date,FAPA.JK,ADRO.JK,UNIC.JK,PANS.JK,MPMX.JK,SDPC.JK,AMAG.JK,ALDO.JK,TUGU.JK,INTD.JK,BJTM.JK,AADI.JK,ADMR.JK,PBID.JK,MSJA.JK,CASA.JK,MERK.JK,BJBR.JK,MPIX.JK,ISAT.JK,DGNS.JK,FORE.JK,ELSA.JK,MOLI.JK,SMMA.JK
2025-09-30,6066.86474609375,1490.2052001953125,8175.638671875,1198.8441162109375,786.4486083984375,134.50909423828125,335.7847595214844,493.64202880859375,929.847900390625,198.0,460.2134704589844,6588.19091796875,1021.8778076171876,441.3982238769531,295.3962097167969,1140.0,2656.243408203125,691.884765625,74.0,1668.0379638671875,145.0,505.0,458.4239807128906,211.21983337402344,14925.0
2025-10-31,6091.62744140625,1662.1519775390625,8061.0224609375,1250.779541015625,815.8878784179688,136.4727325439453,350.7085266113281,509.6304321289063,962.0703735351562,220.0,491.7967224121094,7560.94384765625,1357.6376953125,443.2072143554688,283.73583984375,1095.0,2656.243408203125,728.061767578125,64.0,1796.7152099609375,144.0,525.0,473.271728515625,292.6072998046875,13000.0
2025-11-28,6165.91552734375,1596.0185546875,8196.8828125,1281.0753173828125,807.4766235351562,135.49090576171875,358.17041015625,644.5326538085938,1003.4992065429688,222.0,491.7967224121094,7066.990234375,1235.9854736328125,441.3982238769531,326.4905700683594,1500.0,2944.157958984375,723.5396118164062,69.0,2278.063232421875,170.0,510.0,468.6318054199219,304.23406982421875,13000.0
2025-12-30,6314.49169921875,1724.7208251953125,8196.8828125,1294.0592041015625,811.6822509765625,152.18182373046875,374.9596557617188,799.4202880859375,1072.54736328125,220.0,487.2848510742188,6572.30126953125,1518.2183837890625,439.5892028808594,328.4339599609375,1610.0,3111.334228515625,728.061767578125,71.0,2211.341796875,184.0,540.0,462.1359252929688,296.4828796386719,14500.0
2026-01-30,6141.15283203125,2105.87451171875,8785.6083984375,1333.0107421875,841.1215209960938,188.50909423828125,402.9417114257813,544.6051025390625,1063.3409423828125,250.0,500.8205261230469,7161.216796875,1931.835693359375,441.3982238769531,345.9245300292969,1545.0,2925.5830078125,728.061767578125,98.0,2125.55712890625,296.0,498.0,635.6688842773438,271.2915344238281,13000.0
2026-02-27,6165.91552734375,2229.74951171875,9827.201171875,1514.784912109375,862.1495361328125,194.40000915527344,401.07623291015625,549.6014404296875,1330.326904296875,284.0,532.40380859375,8715.955078125,2043.755615234375,441.3982238769531,458.6415100097656,1370.0,2925.5830078125,750.67236328125,98.0,2201.81005859375,314.0,484.0,788.7861938476562,248.0379638671875,13450.0
2026-03-31,6611.64404296875,2458.44189453125,10257.4248046875,1454.193603515625,824.299072265625,189.49090576171875,410.4035949707031,569.5869750976562,1150.8018798828125,250.0,514.356201171875,10624.0419921875,1931.835693359375,456.7747802734375,439.2075500488281,1330.0,2851.282470703125,732.5838623046875,84.0,1992.114013671875,302.0,670.0,691.347900390625,257.7269592285156,15500.0
2026-04-30,6983.0849609375,2520.0,11231.087890625,1510.45703125,828.5046997070312,185.5636444091797,402.9417114257813,599.5652465820312,1164.6114501953125,236.0,523.3800048828125,10930.2783203125,1850.0,474.8648681640625,495.5660400390625,1350.0,3900.777099609375,786.849365234375,83.0,1901.5633544921875,266.0,935.0,733.107177734375,284.8561096191406,15600.0
2026-05-29,7131.6611328125,2300.0,13550.0,1501.8011474609375,954.6729125976562,184.58181762695312,398.0,679.5072631835938,1125.0,244.0,520.0,7915.029296875,1530.0,496.0,408.0,1350.0,3622.150146484375,765.0,84.0,2160.0,234.0,705.0,566.070068359375,217.03321838378903,17975.0
2026-06-30,7305.0,2260.0,12250.0,1585.0,945.0,178.0,396.0,694.4963989257812,1150.0,220.0,505.0,7775.0,1345.0,466.0,392.0,1800.0,3600.0,820.0,94.0,1730.0,226.0,580.0,520.0,238.0,21875.0
2026-07-31,7350.0,2460.0,15300.0,1525.0,1010.0,181.0,390.0,815.0,1220.0,252.0,520.0,9225.0,1515.0,530.0,392.0,1830.0,3800.0,790.0,96.0,1900.0,232.0,690.0,695.0,264.0,20175.0
2026-08-31,7475.0,2840.0,15000.0,1585.0,1015.0,200.0,390.0,940.0,1370.0,286.0,525.0,10825.0,1750.0,530.0,442.0,1805.0,3860.0,790.0,112.0,2500.0,242.0,825.0,720.0,312.0,20075.0
