Date,120240.KQ,007070.KS,055550.KS,078935.KS,332370.KQ,105560.KS,069730.KS,052330.KQ,033780.KS,037760.KQ,092230.KS,010955.KS,093190.KQ,000810.KS,155660.KS,003690.KS,086790.KS,001800.KS,339950.KQ,093050.KS,204610.KQ,002810.KS,017650.KQ,017670.KS,236200.KQ
2025-09-30,12055.9091796875,16224.89453125,68623.4140625,41210.55859375,4804.8388671875,112024.453125,3371.916259765625,8268.44140625,128696.546875,1723.08154296875,62175.47265625,39010.72265625,5413.55419921875,433532.125,3499.908447265625,10433.55859375,83936.671875,19004.0,1679.5655517578125,16982.029296875,1815.489990234375,14284.6240234375,7193.0224609375,53400.08203125,34375.0625
2025-10-31,12026.974609375,17277.3203125,71046.5703125,41733.4140625,4838.7099609375,113091.34375,3340.736083984375,8316.794921875,129274.5234375,1670.6314697265625,62547.22265625,42690.984375,5460.95849609375,423930.09375,3527.945068359375,10155.96875,82300.2890625,17796.35546875,1603.416015625,17729.23828125,1782.481201171875,14369.7646484375,7202.90283203125,51433.2265625,33579.11328125
2025-11-28,12576.724609375,20999.787109375,76194.578125,45155.7421875,4925.806640625,121886.1328125,3198.197998046875,8461.85546875,140159.78125,1642.4638671875,68030.5546875,43623.31640625,5641.09423828125,462338.25,3644.764404296875,11094.03125,90675.546875,18957.189453125,1689.8328857421875,17176.109375,1832.4661865234373,14908.9853515625,7193.0224609375,52613.33984375,33230.88671875
2025-12-30,13280.0,19586.80859375,75120.0390625,45726.1328125,5080.0,121788.46875,3840.0,9020.0,136884.5625,1789.0,67751.7421875,47303.57421875,5990.0,477221.40625,3905.0,11046.1708984375,91453.046875,19331.654296875,1665.0201416015625,17700.126953125,1744.7567138671875,15164.40625,8090.0,52613.33984375,38902.0234375
2026-01-30,12910.0,21584.46875,82348.7578125,52570.79296875,5060.0,132043.296875,3810.0,9630.0,148251.484375,1780.0,70911.6328125,58785.97265625,6060.0,481062.25,3855.0,11266.3291015625,97284.265625,19565.693359375,1818.174560546875,18680.232421875,1764.56201171875,16384.748046875,8470.0,71298.453125,43478.734375
2026-02-27,13490.0,22000.0,95476.8203125,56500.0,5040.0,156788.1875,4295.0,10130.0,161241.3125,1830.0,80881.109375,53977.10546875,7420.0,508908.15625,4025.0,13324.32421875,119671.25,22327.357421875,2121.916748046875,21882.55859375,2126.717041015625,20900.0,10030.0,78477.4609375,46961.01171875
2026-03-31,13710.0,21900.0,86411.9453125,52000.0,5000.0,139926.0625,4880.0,9820.0,157385.765625,2110.0,76485.3984375,50542.19921875,7270.0,440500.0,4100.0,12240.0,104736.90625,22514.396484375,2224.590087890625,24200.0,2532.3408203125,18700.0,8690.0,75133.8125,45518.35546875
2026-04-30,13880.0,23500.0,99167.3359375,57900.0,5220.0,158267.3125,5640.0,11770.0,176268.09375,2365.0,88891.078125,60675.515625,8370.0,461000.0,4505.0,12350.0,125664.640625,25304.22265625,2635.65576171875,24800.0,3423.530029296875,20300.0,9520.0,93523.8984375,55517.46875
2026-05-29,13940.0,25550.0,92913.5390625,54700.0,5140.0,149581.0,5130.0,11460.0,182595.15625,2435.0,82346.34375,51287.61328125,7300.0,569000.0,4145.0,12850.0,114102.6953125,24521.11328125,2437.376953125,22500.0,2672.6533203125,20850.0,9230.0,99757.4375,42434.05078125
2026-06-30,13460.0,23500.0,95097.40625,52200.0,5220.0,157924.171875,5610.0,11170.0,167766.09375,2355.0,77169.171875,54943.953125,8100.0,618000.0,4320.0,13280.0,113607.03125,23542.2265625,2379.34423828125,22200.0,2707.23486328125,18860.0,8550.0,87659.6171875,43800.0
2026-07-31,14320.0,24750.0,100700.0,57000.0,5400.0,167359.890625,5440.0,11780.0,177058.984375,2385.0,83300.0,60971.9765625,8690.0,632000.0,4310.0,13770.0,124313.453125,25500.0,2746.88525390625,22400.0,3008.58740234375,22350.0,9450.0,80718.2421875,51100.0
2026-08-31,15060.0,26350.0,108900.0,65500.0,5400.0,173300.0,5570.0,11800.0,178100.0,2395.0,103500.0,69800.0,8550.0,665000.0,4405.0,14280.0,136300.0,25800.0,2570.0,23250.0,3375.0,22450.0,10800.0,94200.0,56200.0
