Date,ZDCSZX,ZDAKSX,ZDAKUX,ZDAADX,ZDAACX,ZDAAEX,ZDAFPX,MKJQX,MKKAX,BMCKKXX,JDNFX,JDNGX,BMDCCXX,MEQWX,MEQVX,NBBOIXX,MDNEX,MDNFX,BMDAAXX,BMCKLXX,ZDBEPX,ZAHNHX,ZDBEQX,BMCNBXX,ZDCHRX
2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-28,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-30,6.909999847412109,13.630000114440918,13.630000114440918,17.1200008392334,17.1200008392334,17.1200008392334,17.579999923706055,,19.623699188232425,,,,,,,,,,,,9.520000457763672,9.520000457763672,9.520000457763672,,7.539999961853027
2026-02-27,7.090000152587891,13.970000267028809,13.970000267028809,17.540000915527344,17.540000915527344,17.540000915527344,18.010000228881836,10.53090000152588,,,,,,,,,,,,,9.779999732971191,9.779999732971191,9.779999732971191,,7.739999771118164
2026-03-31,,,,,,,,,18.766000747680664,175.30589294433594,10.66160011291504,10.66160011291504,184.54872131347656,4.472700119018555,4.472700119018555,136.52999877929688,8.624600410461426,8.624600410461426,187.9550170898437,175.19361877441406,,,,177.96243286132812,
2026-04-30,7.139999866485596,14.039999961853027,14.039999961853027,17.6200008392334,17.6200008392334,17.6200008392334,18.100000381469727,,,183.4149627685547,11.12049961090088,11.12049961090088,193.1415100097656,4.686500072479248,4.686500072479248,142.47000122070312,8.978799819946289,8.978799819946289,196.5799865722656,183.27703857421875,9.770000457763672,9.770000457763672,9.770000457763672,186.0401153564453,7.760000228881836
2026-05-29,7.389999866485596,14.529999732971191,14.529999732971191,18.21999931335449,18.21999931335449,18.21999931335449,18.71999931335449,,,189.10125732421875,11.446000099182127,11.446000099182127,199.2273712158203,4.838399887084961,4.838399887084961,146.1999969482422,9.341500282287598,9.341500282287598,202.6367950439453,188.8109741210937,10.170000076293944,10.170000076293944,10.170000076293944,191.47750854492188,8.069999694824219
2026-06-30,7.710000038146973,15.140000343322754,15.140000343322754,18.979999542236328,18.979999542236328,18.979999542236328,19.5,10.463700294494627,16.805099487304688,194.5541381835937,,,204.9514923095703,4.980599880218506,4.980599880218506,150.63999938964844,9.56630039215088,9.56630039215088,208.33853149414065,194.2352294921875,,,,196.8534545898437,
2026-07-31,,,,,,,,10.75759983062744,17.264699935913086,,,,,,,,,,,,,,,,
2026-08-31,7.869999885559082,15.420000076293944,15.420000076293944,19.31999969482422,19.31999969482422,19.31999969482422,19.850000381469727,11.19480037689209,17.954700469970703,186.63755798339844,11.419400215148926,11.419400215148926,196.43760681152344,4.8277997970581055,4.8277997970581055,159.36000061035156,9.24940013885498,9.24940013885498,200.00997924804688,186.6028289794922,10.359999656677246,10.359999656677246,10.359999656677246,189.4909210205078,8.239999771118164
