Date,EYDAP.AT,VIDAVO.AT,BLEKEDROS.AT,KARE.AT,PPC.AT,MODA.AT,REALCONS.AT,ACAG.AT,KRI.AT,EYAPS.AT,INLIF.AT,ETE.AT,TITC.AT,GD.AT,PROFK.AT,CENER.AT,BOCHGR.AT,PERF.AT,BRIQ.AT,TREK.AT,ADMIE.AT,KYSA.AT,HTO.AT,OPTIMA.AT,ANDRO.AT
2025-09-30,6.550000190734863,5.099999904632568,3.767305850982666,332.1547241210937,13.651052474975586,5.379769802093506,4.997925758361816,4.998258113861084,17.731170654296875,3.544740676879883,4.957988739013672,11.904417037963867,34.06313705444336,2034.219970703125,1.3200000524520874,12.075411796569824,7.463775634765625,6.118257999420166,2.739938974380493,,3.0365867614746094,1.149999976158142,15.37154483795166,8.252262115478516,7.123972892761231
2025-10-31,6.940000057220459,5.400000095367432,3.813136339187622,336.0169677734375,14.69289493560791,5.320000171661377,4.909029483795166,4.790410041809082,19.40578269958496,3.702284812927246,5.26665735244751,12.270262718200684,38.07632446289063,1995.199951171875,1.375,14.252944946289062,7.389693260192871,7.034518241882324,2.702533721923828,,2.971872568130493,1.350000023841858,15.55272102355957,7.861160278320312,7.06554651260376
2025-11-28,7.360000133514404,6.400000095367432,4.009550094604492,328.2924499511719,16.94210433959961,5.400000095367432,5.037435054779053,5.394159317016602,18.73593711853028,3.7121312618255615,5.691076755523682,13.230305671691896,44.48763275146485,2083.14990234375,1.3949999809265137,14.629064559936523,7.40821361541748,7.073927402496338,2.808051109313965,2.3627610206604004,2.802620410919189,1.2400000095367432,16.31557846069336,7.528723239898682,7.56070613861084
2025-12-31,7.860000133514404,6.599999904632568,4.057283401489258,343.74151611328125,17.721052169799805,5.400000095367432,5.728847980499268,6.057294845581055,18.71623611450196,3.830289363861084,6.019036769866943,12.740293502807615,51.38835525512695,2120.7099609375,1.559999942779541,14.84681797027588,7.352652072906494,8.620733261108398,2.846517562866211,3.303258180618286,3.0266308784484863,1.2400000095367432,16.077186584472656,7.538500785827637,7.56070613861084
2026-01-30,7.199999809265137,7.25,4.085923194885254,349.534912109375,19.43473625183105,5.739999771118164,6.24246883392334,7.353872776031494,21.375911712646484,3.6727452278137207,6.346997261047363,14.617036819458008,55.49942398071289,2314.8798828125,1.4199999570846558,19.201885223388672,8.649088859558105,8.157676696777344,2.788817882537842,3.0778133869171143,3.0564987659454346,1.2400000095367432,15.037795066833496,8.467369079589844,8.017776489257812
2026-02-27,7.840000152587891,8.100000381469727,4.124109268188477,364.9839477539063,18.402631759643555,5.900000095367432,5.985658168792725,7.225204944610596,23.64156150817871,3.771210193634033,5.922577857971191,13.509611129760742,51.38835525512695,2277.60009765625,1.715000033378601,21.775333404541016,8.575006484985352,7.487722873687744,3.000383377075196,3.087615489959717,3.04156494140625,1.399999976158142,16.687469482421875,9.562456130981444,8.493891716003418
2026-03-31,9.0,7.349999904632568,4.1527485847473145,366.91510009765625,17.487367630004883,5.980000019073486,5.432528018951416,6.6115570068359375,21.08039093017578,3.662898778915405,5.556034088134766,12.970599174499512,44.04716110229492,2065.0400390625,1.7000000476837158,18.726787567138672,7.741582870483398,7.034518241882324,2.846517562866211,3.0190014839172363,2.797642230987549,1.4600000381469729,15.562257766723633,8.310928344726562,7.484527587890625
2026-04-30,10.279999732971191,7.849999904632568,4.171841621398926,392.0198059082031,17.536052703857422,6.699999809265137,6.321486949920654,8.106085777282715,24.18334579467773,4.032142162322998,6.443456172943115,13.156804084777832,44.7714958190918,2188.679931640625,1.9700000286102293,23.59654235839844,8.519445419311523,8.748812675476074,2.942683696746826,3.180000066757202,3.2705535888671875,1.559999942779541,17.32636260986328,8.662919998168945,7.99873161315918
2026-05-29,10.380000114440918,8.399999618530273,4.420000076293945,410.3655700683594,20.99263000488281,6.860000133514404,6.617806434631348,9.501639366149902,26.596755981445312,4.361999988555908,6.539915084838867,14.52883529663086,49.92011642456055,2372.699951171875,1.919999957084656,24.72490119934082,9.187170028686523,9.487732887268066,3.0299999713897705,3.849999904632568,3.942584991455078,1.4800000190734863,17.345434188842773,10.403326988220217,8.420000076293945
2026-06-30,10.739999771118164,8.5,4.46999979019165,429.0,22.394737243652344,7.019999980926514,7.210446357727051,9.770000457763672,29.94597625732422,4.4309258460998535,7.019999980926514,15.085000038146973,50.85000228881836,2459.77001953125,2.049999952316284,23.0,9.348433494567873,9.949999809265137,3.059999942779541,3.880000114440918,4.629550457000732,1.4800000190734863,18.52786064147949,10.0,8.380000114440918
2026-07-31,11.380000114440918,9.5,4.5,424.0,22.299999237060547,7.0,7.684557914733887,9.8100004196167,27.72957992553711,4.426002502441406,6.800000190734863,16.100000381469727,52.09999847412109,2569.75,2.150000095367432,21.420000076293945,10.017925262451172,9.93000030517578,3.190000057220459,3.7899999618530273,4.480210304260254,1.4600000381469729,20.020000457763672,10.420000076293944,8.479999542236328
2026-08-31,12.739999771118164,10.399999618530272,4.53000020980835,420.0,23.979999542236328,7.0,8.279999732971191,9.899999618530272,31.700000762939453,4.599999904632568,7.119999885559082,16.8799991607666,54.54999923706055,2677.260009765625,2.059999942779541,23.0,10.457736015319824,10.020000457763672,3.2100000381469727,3.7899999618530273,4.505000114440918,1.559999942779541,19.799999237060547,12.149999618530272,8.880000114440918
