Date,S68.SI,U13.SI,WJP.SI,OV8.SI,AGS.SI,TKKD.SI,U10.SI,F34.SI,S61.SI,NPW.SI,HSHD.SI,G20.SI,U11.SI,N01.SI,C41.SI,BWM.SI,42E.SI,TS0U.SI,Q01.SI,P9D.SI,BTJ.SI,BLS.SI,T41.SI,DM0.SI,544.SI
2025-09-30,16.147811889648438,7.389562606811523,1.5308419466018677,2.0560736656188965,1.992377996444702,6.204106330871582,2.3213155269622803,2.739025592803955,2.6701254844665527,0.3451374769210815,3.507322072982788,0.4694200158119201,33.20064926147461,0.1049999967217445,3.2605128288269043,0.3889745771884918,0.4056956768035888,0.317474216222763,0.8476762175559998,1.0753196477890017,0.3271052539348602,1.315176486968994,0.1569361686706543,0.3923014104366302,0.7123110294342041
2025-10-31,16.63873863220215,7.515137195587158,1.5118252038955688,2.293312788009644,2.050977230072021,6.9482269287109375,2.379591226577759,3.0081229209899902,2.695474624633789,0.3938107192516327,3.507322072982788,0.4741142094135284,33.28705596923828,0.1220000013709068,3.2701027393341064,0.4170932173728943,0.4198478460311889,0.3221429586410522,0.8524384498596191,1.129014492034912,0.3320614099502563,1.362147092819214,0.1667446792125702,0.3827330768108368,0.8302107453346252
2025-11-28,16.674585342407227,7.437860488891602,1.540350317955017,2.688711643218994,2.2172727584838867,7.004035949707031,2.3504533767700195,3.113839626312256,2.6870248317718506,0.398235559463501,3.526557683944702,0.4975852072238922,32.62458038330078,0.1230000033974647,3.413948774337769,0.4124068021774292,0.4104130566120147,0.3268117010593414,0.8476762175559998,1.129014492034912,0.3469298183917999,1.3245705366134644,0.1736106425523758,0.375063806772232,0.93828547000885
2025-12-31,16.773483276367188,7.428201198577881,1.5593668222427368,2.5997471809387207,2.2172727584838867,7.450508117675781,2.4961423873901367,2.9600696563720703,2.7039241790771484,0.4513336420059204,3.9054439067840576,0.5047058463096619,33.6614990234375,0.1330000013113021,3.548205137252808,0.4217796623706817,0.415130466222763,0.3361491858959198,0.8524384498596191,1.1191970109939575,0.4807456135749817,1.333964705467224,0.167725533246994,0.375063806772232,0.967760443687439
2026-01-30,17.436115264892578,7.534456253051758,1.5688751935958862,2.688711643218994,2.207418203353882,7.087749004364014,3.059474468231201,3.2579989433288574,2.7630724906921387,0.5619546175003052,4.313475608825684,0.4998529255390167,36.74345397949219,0.1790000051259994,3.45230770111084,0.4358389973640442,0.415130466222763,0.3501554131507873,0.9095851182937622,1.354817509651184,0.4956140220165252,1.3433587551116943,0.1755723506212234,0.375063806772232,1.100397706031799
2026-02-27,18.104278564453125,7.631052017211914,1.682975172996521,2.5997471809387207,2.42421817779541,7.6551408767700195,3.020623683929444,3.382936716079712,3.219359874725342,0.5486800670623779,4.624356746673584,0.4998529255390167,35.49531173706055,0.1759999990463256,3.365999937057495,0.5623729228973389,0.4104130566120147,0.3574000000953674,0.9619696140289308,1.4726276397705078,0.5055263042449951,1.3903294801712036,0.2010744661092758,0.3702552914619446,1.296897292137146
2026-03-31,19.417335510253903,7.920837879180908,1.6924835443496704,2.787561416625977,2.2566909790039062,6.911020278930664,3.302289724349976,3.700087070465088,3.312307357788086,0.5177062153816223,4.106327056884766,0.5047058463096619,35.188079833984375,0.1809999942779541,3.2605128288269043,0.6092373132705688,0.4104130566120147,0.3380810916423797,0.9619696140289308,1.2899999618530271,0.4956140220165252,1.3903294801712036,0.1893042623996734,0.399106353521347,1.1691725254058838
2026-04-30,21.58587074279785,7.930497646331787,1.7619786262512207,2.995145797729492,2.3158180713653564,7.549779891967773,3.953035116195679,3.561216115951538,3.45835542678833,0.5309807658195496,4.532829761505127,0.524117648601532,35.388946533203125,0.1800000071525573,3.212563991546631,0.5529999732971191,0.434000015258789,0.3525702953338623,0.9905429482460022,1.409999966621399,0.5600438714027405,1.427905797958374,0.2354042530059814,0.4519999921321869,1.3601055145263672
2026-05-29,21.8799991607666,8.134794235229492,1.7326122522354126,3.014915704727173,2.5326180458068848,7.827563762664795,3.940000057220459,3.5414865016937256,3.327143907546997,0.6106278300285339,4.702053070068359,0.5435293912887573,36.80841827392578,0.1800000071525573,3.3755898475646973,0.6000000238418579,0.4382608830928802,0.3429107964038849,0.9798979759216307,1.5299999713897705,0.5699999928474426,1.5700000524520874,0.2750000059604645,0.4375744760036468,1.6777944564819336
2026-06-30,24.07999992370605,8.263446807861328,1.7424010038375854,3.192845106124878,2.581890821456909,8.422816276550293,3.680000066757202,3.561216115951538,3.5145888328552246,0.6000000238418579,4.831558704376221,0.5726470351219177,38.922943115234375,0.1650000065565109,3.596153736114502,0.5600000023841858,0.4382608830928802,0.3429107964038849,0.960102081298828,1.7400000095367432,0.5049999952316284,1.659999966621399,0.2349999994039535,0.4350000023841858,1.330322265625
